"label","col1","col2","col3","col4"
"Proportion of English-Language Signs Squared","@","@","@","@"
"","@","@","@","@"
"Proportion of English-Language Signs","@","@","@","@"
"","@","@","@","@"
"Campaign Primarily Nonviolent","@","@","@","@"
"","@","@","@","@"
"Campaign Purpose Regime Change","@","@","@","@"
"","@","@","@","@"
"Campaign Location V-Dem CSO Repression","@","@","@","@"
"","@","@","@","@"
"Time in Campaign","","","","@"
"","","","","@"
"Number of Images on Campaign (ln)","@","@","",""
"","@","@","",""
"Number of Images in Campaign-Year (ln)","","","@","@"
"","","","@","@"
"Campaign Location Population (ln)","@","@","",""
"","@","@","",""
"Campaign-Year Population (ln)","","","@","@"
"","","","@","@"
"English Colonial Legacy","@","@","@","@"
"","@","@","@","@"
"Constant","@","","","@"
"","@","","","@"
"","","","",""
"Observations","@","@","@","@"
"EPV (* = <5)","@","@","@","@"
