"Family","Main table","Model","Role","Moderator","Response / estimand","Cox estimand","Outcome source","Source","Note"
"H1","Table 1","M4","Main panel","","Hazard of first concession (CY)","first_concession","","H1_curvilinear_results.csv",""
"H1","Table 1","M4s","Appendix strict-success","","Hazard of success (CY, strict)","strict_success","","H1_curvilinear_results.csv",""
"H1","Table 1","M1_cox","Appendix robustness","","Hazard of concession (Cox PH, campaign-lvl)","campaign_level_concession","","H1_curvilinear_results.csv",""
"H1","Table 1","M4_AG","Recurrent-event robustness","","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H1_curvilinear_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M7","Main panel","domaut_c","Hazard of first concession (CY)","first_concession","","H21_results.csv",""
"H2.1","Table 2","M7s","Appendix strict-success","domaut_c","Hazard of success (CY, strict)","strict_success","","H21_results.csv",""
"H2.1","Table 2","M8","Main panel","stterr_c","Hazard of first concession (CY)","first_concession","","H21_results.csv",""
"H2.1","Table 2","M8s","Appendix strict-success","stterr_c","Hazard of success (CY, strict)","strict_success","","H21_results.csv",""
"H2.1","Table 2","M7_AG","Recurrent-event robustness","domaut_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M8_AG","Recurrent-event robustness","stterr_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M13","Appendix robustness","fdiin_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv",""
"H2.2","Table 3","M13s","Appendix strict-success","fdiin_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4","H22_results.csv",""
"H2.2","Table 3","M14","Appendix robustness","trade_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv",""
"H2.2","Table 3","M14s","Appendix strict-success","trade_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4","H22_results.csv",""
"H2.2","Table 3","M15","Appendix robustness","lnaid_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv",""
"H2.2","Table 3","M15s","Appendix strict-success","lnaid_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4","H22_results.csv",""
"H2.2","Table 3","M16","Appendix robustness","iodonor_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv",""
"H2.2","Table 3","M16s","Appendix strict-success","iodonor_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4","H22_results.csv",""
"H2.2","Table 3","M13_AG","Recurrent-event robustness","fdiin_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M14_AG","Recurrent-event robustness","trade_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M15_AG","Recurrent-event robustness","lnaid_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M16_AG","Recurrent-event robustness","iodonor_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M13","Appendix robustness","repress_c","Hazard of first concession (CY)","first_concession","","H3_results.csv",""
"H3","Table 4","M13s","Appendix strict-success","repress_c","Hazard of success (CY, strict)","strict_success","","H3_results.csv",""
"H3","Table 4","M14","Appendix robustness","civlib_c","Hazard of first concession (CY)","first_concession","","H3_results.csv",""
"H3","Table 4","M14s","Appendix strict-success","civlib_c","Hazard of success (CY, strict)","strict_success","","H3_results.csv",""
"H3","Table 4","M15","Appendix robustness","clpol_c","Hazard of first concession (CY)","first_concession","","H3_results.csv",""
"H3","Table 4","M15s","Appendix strict-success","clpol_c","Hazard of success (CY, strict)","strict_success","","H3_results.csv",""
"H3","Table 4","M16","Appendix robustness","polity_c","Hazard of first concession (CY)","first_concession","","H3_results.csv",""
"H3","Table 4","M16s","Appendix strict-success","polity_c","Hazard of success (CY, strict)","strict_success","","H3_results.csv",""
"H3","Table 4","M13_AG","Recurrent-event robustness","repress_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M14_AG","Recurrent-event robustness","civlib_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M15_AG","Recurrent-event robustness","clpol_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M16_AG","Recurrent-event robustness","polity_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
