"CAMPAIGN","LOCATION","ID","cow","iso3","BYEAR","EYEAR","target","success","limited","failure","ongoing","viol","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","Num_Image_sum","Num_Banner_sum","Eng_Banner_sum","v2svindep","v2svdomaut","v2svinlaut","v2svstterr","v2csreprss","v2xcl_dmove","v2x_clpol","v2cldmovem","v2cldmovew","v2x_civlib","v2mecenefi","v2mecenefm","v2peedueq","v2caassemb","p_polity2","lngdp","lnpop","wdi_fdiin","wdi_import","wdi_export","aid_crsc","aid_crsio","aid_crnc","aid_crnio","ht_region","wdi_trade","wdi_eneimp","wdi_debt","dr_eg","dr_sg","dr_ig","atop_number","oecd_tiva_t1","fi_ftradeint_pd","ht_colonial","lengthofcampaign","lnlengthofcam","success3","lnnum_image_sum","lnaid","goals","eng_prob_general","nonviolent_camp","colonized","colonized_english"
"2009 Anti-Saakashvili Campaign","Georgia",332,372,"GEO",2009,2009,"Government of Georgia","0","0","1",0,"0",1,0,1,0,0,30,45,2,1,1.76,2.271,79.333,2.408,0.754,0.785,1.094,1.312,0.718,1.638,0.527,2.19,0.602,6,7.97147617337898,15.1542989175249,6.13737283911673,48.6478372067163,29.5452018236406,776140096,865052032,27,12,"1",78.1930390303569,61.7229463324937,30.8567774936061,71.2338562011719,63.8063583374023,62.7755317687988,10,NA,8.49956513274127,0,0,0,"0",3.40119738166216,21.2186887226397,"REGCHANGE",0.0444444444444444,"1",0,0
"2012 Anti-Government Protests","Romania",517,360,"ROU",2012,2012,"Gov't of Romania","1","0","0",0,"0",1,0,1,0,0,115,275,26,1,1.933,2.08,99.636,2.712,0.879,0.892,1.631,2.076,0.911,2.125,1.155,1.291,1.805,9,9.01605595651379,16.8141403795684,1.70128984181448,40.7877139150902,35.7515194311254,NA,NA,NA,NA,"1",76.5392333462156,22.164301887136,40.3882426396179,65.8681335449219,75.5685272216797,77.0222015380859,24,NA,8.16909103128706,0,0,0,"2",4.74493212836325,NA,"REGCHANGE",0.0945454545454545,"1",0,0
"2013 Cambodian election protests","Cambodia",519,811,"KHM",2013,2014,"government of Cambodia","0","0","1",0,"0",1,0,1,0,0,536,907,122,1,1.808,1.511,95,-0.2845,0.6975,0.438,0.564,1.3905,0.4635,-0.1155,-0.258,-1.599,-0.082,2,6.98442468464881,16.5305529234769,12.3401204579436,67.3336545057566,62.4957049856651,734402752,464507200,25,13,"7",129.829359491422,32.3771289782909,NA,67.1096878051758,46.2679061889648,56.3960113525391,3,NA,7.35231329383526,6,1,0.693147180559945,"0",6.2841341610708,20.9046786084201,"REGCHANGE",0.134509371554576,"1",1,0
"2014 Mexican anti-Corruption Campaign","Mexico",525,70,"MEX",2014,2015,"Pena Nieto government","0","0","1",0,"0",1,0,1,0,0,146,502,53,1,1.897,1.969,87.2135,1.369,0.722,0.7815,1.321,0.815,0.683,1.189,0.9685,-0.961,2.2545,8,9.17505749407717,18.5984326424099,2.63488495460576,34.8080604319173,33.1991635757442,NA,NA,NA,NA,"2",68.0072240076615,-7.73004314757081,NA,57.6939105987549,66.8760528564453,68.9618644714355,1,NA,7.55847068163096,2,1,0.693147180559945,"0",4.98360662170834,NA,"REGCHANGE",0.105577689243028,"1",1,0
"2017 Anti-Gnassingbe","Togo",555,461,"TGO",2017,2019,"Gov't of Togo (Faure Gnassingbe)","0","0","1",1,"0",1,0,1,0,0,275,545,73,1,0.408333333333333,1.01933333333333,83.636,0.042,0.804,0.678333333333333,0.934,1.952,0.642666666666667,-1.10366666666667,0.465666666666667,1.60466666666667,1.91,-2,6.40009779903738,15.9008748587608,1.20932096474872,32.3071070212884,24.0917651763748,NA,NA,NA,NA,"4",56.3988721976632,NA,NA,44.8147900899251,43.9170875549316,50.9352099100749,5,NA,5.03466546121173,6,2,1.09861228866811,"0",5.61677109766657,NA,"REGCHANGE",0.13394495412844,"1",1,0
"2017 Iran Anti-Government Protests","Iran",551,630,"IRN",2017,2019,"Iranian Government","0","0","1",1,"0",1,0,1,0,0,1070,2391,254,1,1.27633333333333,1.51833333333333,89.0476666666667,-1.44,0.502,0.171,1.333,-0.836,0.261666666666667,-1.61466666666667,-1.35366666666667,0.788666666666667,-1.116,-7,8.55831496817084,18.2647550897898,0.759427650735917,25.8155994086016,25.4791023791657,NA,NA,NA,NA,"3",51.2947017877673,NA,NA,26.7338651021322,56.8522122701009,53.8624280293783,1,NA,4.04172996116358,0,2,1.09861228866811,"0",6.97541392745595,NA,"REGCHANGE",0.106231702216646,"1",0,0
"2018 Anti-government protests","Armenia",558,371,"ARM",2018,2018,"Gov't of Armenia","1","0","0",0,"0",1,0,1,0,0,663,1395,125,1,0.915,0.728,100,1.541,0.903,0.852,2.161,1.995,0.886,1.961,0.776,1.714,1.761,7,8.34661824177623,14.8581015507346,2.1420476257108,53.0802129926047,39.3928940286073,NA,NA,NA,NA,"1",92.473107021212,NA,NA,69.2689361572266,65.3825073242188,67.8694076538086,14,NA,8.46097861304486,0,0,0,"2",6.49677499018586,NA,"REGCHANGE",0.0896057347670251,"1",0,0
"2019 Georgian Protests","Georgia",569,372,"GEO",2019,2019,"Ghakaria govt","0","1","0",0,"0",1,0,1,0,0,692,1343,155,1,2.015,1.359,79.9,2.293,0.886,0.902,1.947,1.905,0.894,1.968,1.191,1.61,0.588,7,8.47081900128808,15.1292775048827,7.81983749589706,63.7808751662009,54.8184931411381,NA,NA,NA,NA,"1",118.599368307339,NA,45.1535059311799,81.2439498901367,73.3419952392578,71.1519470214844,NA,NA,9.11472443141266,0,0,0,"1",6.53958595561767,NA,"REGCHANGE",0.115413253909159,"1",0,0
"2019 Iranian protests","Iran",571,630,"IRN",2019,2019,"Khomenei regime","0","0","1",1,"0",1,0,1,0,0,505,1157,135,1,1.338,1.592,89.429,-1.501,0.502,0.163,1.333,-0.836,0.256,-1.583,-1.503,0.727,-1.49,-7,8.52061078824859,18.2763969162465,0.531459953106263,27.2704670825754,23.4838671400312,NA,NA,NA,NA,"3",50.7543342226066,NA,NA,28.0333461761475,56.953426361084,54.3405876159668,NA,NA,3.40736817547605,0,0,0,"0",6.22455842927536,NA,"REGCHANGE",0.116681071737252,"1",0,0
"97000 Resist campaign","Montenegro",574,341,"MNE",2019,2019,"Đukanović govt","0","0","1",0,"0",1,0,1,0,0,29,77,9,1,1.805,2.031,100,1.637,0.904,0.807,2.063,2.062,0.83,1.458,0.181,2.063,2.123,9,8.94691502777197,13.3407403867853,7.53492968014838,64.9979426211158,43.8466414367843,NA,NA,NA,NA,"1",108.8445840579,NA,NA,76.9474334716797,78.7130584716797,70.6489105224609,NA,NA,8.51268534001064,0,0,0,"0",3.36729582998647,NA,"REGCHANGE",0.116883116883117,"1",0,0
