"ID","Campaign","Year","CAMPAIGN","LOCATION","BYEAR","EYEAR","TARGET","SUCCESS","LIMITED","FAILURE","ONGOING","VIOL","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","match_key","protest_clean","Num_Image","Num_Banner","Eng_Banner","eng_prop_year","Protest","match_dist","cow","iso3","colonized_english","colonized","navco21_id","match_quality","camp_name","location","progress","repression","camp_size","prim_meth","camp_beyear","end_year","status","camp_goals","goalschange","territory","country_name","cow.vdem","v2svdomaut","v2svstterr","v2csreprss","v2x_civlib","v2xcl_dmove","v2x_clpol","p_polity2","wdi_gdpcapcon2015","wdi_pop","wdi_fdiin","wdi_import","wdi_export","fi_ftradeint_pd","aid_crsc","aid_crsio","aid_crnio","ht_colonial","panel_campaign_key","panel_campaign_id","any_progress","concession","full_success","failure_yr","progress_ord","nonviolent","repression_yr","lnpop_yr","lngdp_yr","lnaid_yr","duration","time_in_campaign","goals","viol"
255,"2011 Bahrain Anti-King Hamad Campaign protest banner",2011,"Anti-King Hamad Campaign","Bahrain",2011,2019,"Monarchy of King Hamad",0,0,1,1,0,1,0,1,0,0,"Bahrain Anti-King Hamad Campaign","Bahrain Anti-King Hamad Campaign",101,234,13,0.0555555555555556,"2011 Bahrain Anti-King Hamad Campaign protest",0,692,"BHR","1",1,255,"exact","Anti-King Hamad Campaign","Bahrain",1,3,3,1,0,2013,1,0,0,"","Bahrain",692,-0.691,97.333,-1.454,0.185,0.312,0.163,-8,21906.7464253804,1212077,2.71349353049908,74.7365988909427,99.4186691312384,8.0471298640182,343668,1428572,1,5,"NAVCO2.1 ID 255",255,1,0,0,0,"1",1,3,14.0078459749465,9.99454992431854,14.3877554054141,9,1,"0","0"
255,"2012 Bahrain Anti-King Hamad Campaign protest banner",2012,"Anti-King Hamad Campaign","Bahrain",2011,2019,"Monarchy of King Hamad",0,0,1,1,0,1,0,1,0,0,"Bahrain Anti-King Hamad Campaign","Bahrain Anti-King Hamad Campaign",47,137,11,0.0802919708029197,"2012 Bahrain Anti-King Hamad Campaign protest",0,692,"BHR","1",1,255,"exact","Anti-King Hamad Campaign","Bahrain",0,3,3,1,0,2013,1,0,0,"","Bahrain",692,-0.691,97.333,-1.559,0.191,0.312,0.141,-10,22484.8548156338,1224939,5.02346532615333,83.7391257717264,102.14552480855,7.89674407413202,NA,NA,NA,5,"NAVCO2.1 ID 255",255,0,0,0,0,"0",1,3,14.0184016048027,10.0205972422408,NA,9,2,"0","0"
255,"2013 Bahrain Anti-King Hamad Campaign protest banner",2013,"Anti-King Hamad Campaign","Bahrain",2011,2019,"Monarchy of King Hamad",0,0,1,1,0,1,0,1,0,0,"Bahrain Anti-King Hamad Campaign","Bahrain Anti-King Hamad Campaign",35,134,14,0.104477611940299,"2013 Bahrain Anti-King Hamad Campaign protest",0,692,"BHR","1",1,255,"exact","Anti-King Hamad Campaign","Bahrain",2,3,1,1,0,2013,1,0,0,"","Bahrain",692,-0.691,97.333,-1.694,0.194,0.312,0.133,-10,23012.7083415266,1261673,11.4559732697771,87.0677507838272,104.804803332124,7.87381487553334,NA,NA,NA,5,"NAVCO2.1 ID 255",255,1,1,0,0,"2",1,3,14.047949175988,10.0438018789073,NA,9,3,"0","0"
260,"2011 Djibouti Djibouti Arab Spring protest banner",2011,"Djibouti Arab Spring","Djibouti",2011,2011,"Gov't of Djibouti (President Guelleh)",0,0,1,0,0,1,0,1,0,0,"Djibouti Djibouti Arab Spring","Djibouti Djibouti Arab Spring",101,248,26,0.104838709677419,"2011 Djibouti Djibouti Arab Spring protest",0,522,"DJI","0",1,260,"exact","Djibouti Arab Spring","Djibouti",5,2,2,1,1,2011,0,0,0,"","Djibouti",522,1.452,92.583,0.285,0.429,0.63,0.377,2,NA,936811,6.37538483893526,NA,NA,NA,93828304,38457152,9,6,"NAVCO2.1 ID 260",260,0,0,0,1,"5",1,2,13.7502368332975,NA,18.7004726986288,1,1,"0","0"
262,"2013 Egypt Anti-Morsi Protests banner",2013,"Anti-Morsi Protests","Egypt",2013,2013,"President Morsi",1,0,0,0,0,1,0,1,0,0,"Egypt Anti-Morsi Protests","Egypt Anti-Morsi Protests",615,1125,132,0.117333333333333,"2013 Egypt Anti-Morsi Protests",0,651,"EGY","1",1,262,"exact","Anti-Morsi Protests","Egypt",4,3,5,1,1,2013,0,0,0,"","Egypt",651,1.158,84.727,-1.182,0.217,0.429,0.226,-4,3283.74071993724,93377890,1.45343420769727,23.3551924317351,17.0178456245969,5.98558994941592,6917741568,1746383360,15,5,"NAVCO2.1 ID 262",262,1,1,1,0,"4",1,3,18.3521651514068,8.09673851493934,22.8824567658625,1,1,"0","0"
266,"2009 Honduras Frente Nacionalæde Resistencia Popular (FNRP) protest banner",2009,"Frente Nacionalæde Resistencia Popular (FNRP)","Honduras",2009,2009,"Coup government, led by Roberto Micheletti",0,0,1,0,0,1,0,1,0,0,"Honduras Frente Nacionalæde Resistencia Popular (FNRP)","Honduras Frente Nacionalæde Resistencia Popular (FNRP)",21,56,10,0.178571428571429,"2009 Honduras Frente Nacionalæde Resistencia Popular (FNRP) protest",0,91,"HND","0",1,266,"exact","Frente Nacionalæde Resistencia Popular (FNRP)","Honduras",0,3,2,1,0,2011,0,0,0,"","Honduras",91,0.266,86.111,0.491,0.653,0.695,0.678,7,2054.38177155339,8277302,3.38987200238322,57.3747551991386,39.5302508197518,7.45759917450966,223163616,149067456,9,2,"NAVCO2.1 ID 266",266,0,0,0,0,"0",1,3,15.9290276278517,7.62773024057533,19.7350253833734,1,1,"0","0"
269,"2010 Kyrgyzstan Second Revolution protest banner",2010,"Second Revolution","Kyrgyzstan",2010,2010,"Kyrgyz president Kurmanbek Bakiyev",1,0,0,0,0,1,0,1,0,0,"Kyrgyzstan Second Revolution","Kyrgyzstan Second Revolution",127,218,21,0.0963302752293578,"2010 Kyrgyzstan Second Revolution protest",0,703,"KGZ","0",0,269,"close","Kyrgyz Second Revolution","Kyrgyzstan",4,3,1,1,1,2010,0,0,0,"","Kyrgyzstan",703,0.98,90,0.81,0.626,0.633,0.716,4,966.150729977601,5447900,9.860930706632,81.6785278167149,51.5543226756177,6.75021616607895,214706224,429607904,14,0,"NAVCO2.1 ID 269",269,1,1,1,0,"4",1,3,15.5107407712833,6.8733198572138,20.2836969430939,1,1,"0","0"
270,"2011 Libya Libyan Civil War protest banner",2011,"Libyan Civil War","Libya",2011,2011,"Qaddafi regime",1,0,0,0,1,0,0,1,0,0,"Libya Libyan Civil War","Libya Libyan Civil War",687,1281,161,0.12568306010929,"2011 Libya Libyan Civil War protest",0,620,"LBY","0",1,270,"exact","Libyan Civil War","Libya",4,3,-99,0,1,2011,0,0,0,"","Libya",620,-0.011,65.981,0.593,0.314,0.332,0.507,0,6734.27376811136,6188132,0,24.8595388907261,38.1458963988027,NA,330040640,48820356,5,3,"NAVCO2.1 ID 270",270,1,1,1,0,"4",0,3,15.6381438220571,8.81496525349984,19.7526799332399,1,1,"0","1"
272,"2009 Madagascar anti-Ravalomanana movement protest banner",2009,"anti-Ravalomanana movement","Madagascar",2009,2009,"Ravalomanana government",1,0,0,0,0,1,0,1,0,0,"Madagascar anti-Ravalomanana movement","Madagascar anti-Ravalomanana movement",52,76,5,0.0657894736842105,"2009 Madagascar anti-Ravalomanana movement protest",0,580,"MDG","0",1,272,"exact","Anti-Ravalomanana Movement","Madagascar",4,3,2,1,1,2009,0,0,0,"","Madagascar",580,0.906,78.375,0.747,0.579,0.602,0.686,0,467.115649259186,21117092,13.4485425615454,42.0358677611163,20.3758298360304,6.19500680977869,675083712,242804928,13,6,"NAVCO2.1 ID 272",272,1,1,1,0,"4",1,3,16.8655933179283,6.14657686996373,20.6375866351264,1,1,"0","0"
274,"2010 Nepal Maoist Anti-Govt Protests banner",2010,"Maoist Anti-Govt Protests","Nepal",2010,2010,"Madhav Kumar Nepal Govt",1,0,0,0,0,1,0,1,0,0,"Nepal Maoist Anti-Govt Protests","Nepal Maoist Anti-Govt Protests",72,121,11,0.0909090909090909,"2010 Nepal Maoist Anti-Govt Protests",0,790,"NPL","0",0,274,"close","Maoist Anti-Government Protests","Nepal",4,1,3,1,1,2010,0,0,0,"","Nepal",790,1.203,89.538,2.019,0.833,0.769,0.907,6,726.055102233968,27161567,0.548294665887946,36.4023696022884,9.58253617198229,6.22443129429205,524467136,913935744,13,0,"NAVCO2.1 ID 274",274,1,1,1,0,"4",1,1,17.1173135541304,6.58762591033855,21.0867992245995,1,1,"0","0"
