"model","ll_change","max_abs_score","beta_change","ll_threshold","score_threshold","beta_threshold","converged","accepted_values_preserved","reporting_class"
"M3q",1.4210854715202e-14,1.84603528019522e-08,6.14329899572011e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M4q",1.4210854715202e-14,6.37465686903482e-08,4.46959225098972e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M9q",0.00067233690889168,0.865640016930682,0.5,1e-05,1e-05,1e-05,FALSE,TRUE,"accepted_archival_nonconverged"
"M10q",7.105427357601e-15,9.39780129133316e-08,5.37723684556634e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M3qs",7.105427357601e-15,3.08269294535535e-08,4.90263122602014e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M4qs",3.5527136788005e-14,1.63863638213968e-08,2.38262301973444e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M9qs",1.06581410364015e-14,4.10054203092702e-08,5.48364043639929e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M10qs",3.90798504668055e-14,4.48689783327794e-07,9.73097822362105e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M3l",1.27897692436818e-13,1.57528601250206e-07,3.4885925308605e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M4l",3.24611448832002e-11,6.91473820416122e-06,7.59260787252542e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M9l",2.77111666946439e-13,2.46088608185646e-07,6.79595309637198e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
"M10l",8.87645512648305e-12,2.31843746675842e-06,6.48610914155808e-06,1e-05,1e-05,1e-05,TRUE,TRUE,"accepted_replicated"
