"family","model","estimator_class","iterations","iteration_limit","geese_error","affected_terms","finite_output","converged","accepted_values_preserved","reporting_class","reason"
"H1","M1","survreg",6,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M1s","survreg",19,FALSE,,"REGCHANGE;(Intercept)",TRUE,FALSE,TRUE,"accepted_archival_nonconverged","survreg_monotone_likelihood"
"H1","M2","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M2s","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M4","coxph",5,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M4s","coxph",19,FALSE,,"REGCHANGE",TRUE,FALSE,TRUE,"accepted_archival_nonconverged","cox_monotone_likelihood"
"H1","M5","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M5s","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M1_ln","survreg",5,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M1_cox","coxph",5,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M4_AG","coxph",5,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H1","M5_GEE","geeglm",,FALSE,0,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M1","survreg",6,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M1s","survreg",19,FALSE,,"REGCHANGE;(Intercept)",TRUE,FALSE,TRUE,"accepted_archival_nonconverged","survreg_monotone_likelihood"
"H21","M2","survreg",6,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M2s","survreg",19,FALSE,,"REGCHANGE;(Intercept)",TRUE,FALSE,TRUE,"accepted_archival_nonconverged","survreg_monotone_likelihood"
"H21","M3","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M3s","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M4","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
"H21","M4s","logistf",,FALSE,,"",TRUE,TRUE,TRUE,"accepted_replicated","none"
