"exhibit_id","component_id","reference_path","output_path","precopy_origin","rebuilt_sha256","rebuilt_exact_string_match","rebuild_detail","rebuild_mismatches","rebuild_mismatch_fit_key","reference_sha256","output_sha256","lineage_class","status"
"Table_1","body","reference/accepted/main_tables/H1_main_table_body.csv","output/tables/main/H1_main_table_body.csv","independent_table_builder","75283c06aab437b4dfda5aa2b2b877e5dae349c67c140052d5c00551f11d6267",TRUE,"all displayed strings match","","","75283c06aab437b4dfda5aa2b2b877e5dae349c67c140052d5c00551f11d6267","75283c06aab437b4dfda5aa2b2b877e5dae349c67c140052d5c00551f11d6267","accepted_display_copy","PASS"
"Table_2","body","reference/accepted/main_tables/H21_main_table_body.csv","output/tables/main/H21_main_table_body.csv","independent_table_builder","de9d1de08f7472aa062515a4431df766fccdad73ae016ce4532a9401c0eeb6e1",TRUE,"all displayed strings match","","","de9d1de08f7472aa062515a4431df766fccdad73ae016ce4532a9401c0eeb6e1","de9d1de08f7472aa062515a4431df766fccdad73ae016ce4532a9401c0eeb6e1","accepted_display_copy","PASS"
"Table_3","body","reference/accepted/main_tables/H22_main_table_body.csv","output/tables/main/H22_main_table_body.csv","independent_table_builder","99f65e8ef593c9559918bef06b8c6cf3e327185dfbb625ecd01324f0cfd4cbc9",TRUE,"all displayed strings match","","","99f65e8ef593c9559918bef06b8c6cf3e327185dfbb625ecd01324f0cfd4cbc9","99f65e8ef593c9559918bef06b8c6cf3e327185dfbb625ecd01324f0cfd4cbc9","accepted_display_copy","PASS"
"Table_4","body","reference/accepted/main_tables/H3_main_table_body.csv","output/tables/main/H3_main_table_body.csv","independent_table_builder","df862d8347bcf78eab8273830bde9aed940cadd635198c25dcdcae07ad6eb63f",TRUE,"all displayed strings match","","","df862d8347bcf78eab8273830bde9aed940cadd635198c25dcdcae07ad6eb63f","df862d8347bcf78eab8273830bde9aed940cadd635198c25dcdcae07ad6eb63f","accepted_display_copy","PASS"
"C1","body","reference/accepted/appendix_tables/H1_strict_success_appendix_table_body.csv","output/tables/appendix/H1_strict_success_appendix_table_body.csv","independent_table_builder","fa526214b6f3da33e713fe8795906bb1bf12ec6afcc73f433dfa021ca56f4723",TRUE,"all displayed strings match","","","fa526214b6f3da33e713fe8795906bb1bf12ec6afcc73f433dfa021ca56f4723","fa526214b6f3da33e713fe8795906bb1bf12ec6afcc73f433dfa021ca56f4723","accepted_display_copy","PASS"
"C2","body","reference/accepted/appendix_tables/H1_sensitivity_appendix_table_body.csv","output/tables/appendix/H1_sensitivity_appendix_table_body.csv","independent_table_builder","30ee98a58b4db98525fc850c5eac283d7cb93b439fc0b35397facbf493bb5c52",TRUE,"all displayed strings match","","","30ee98a58b4db98525fc850c5eac283d7cb93b439fc0b35397facbf493bb5c52","30ee98a58b4db98525fc850c5eac283d7cb93b439fc0b35397facbf493bb5c52","accepted_display_copy","PASS"
"C3","body","reference/accepted/appendix_tables/H21_curvi_appendix_table_body.csv","output/tables/appendix/H21_curvi_appendix_table_body.csv","independent_table_builder","e9862bb8260e97b57ac70e7b824cbeeef739195a0e99187db8ac803c8a4d2d23",TRUE,"all displayed strings match","","","e9862bb8260e97b57ac70e7b824cbeeef739195a0e99187db8ac803c8a4d2d23","e9862bb8260e97b57ac70e7b824cbeeef739195a0e99187db8ac803c8a4d2d23","accepted_display_copy","PASS"
"C4","body","reference/accepted/appendix_tables/H21_strict_success_table_body.csv","output/tables/appendix/H21_strict_success_table_body.csv","independent_table_builder","a406dac899e14d4b43c39a0672df6a97bcba267d50af68adbd7054fe99ddcead",FALSE,"col2 differs at rows 26","col2[row=26]:rebuilt={(3301.631)};accepted={(3301.632)}","H21::M2s","7f7bbe6316422ef87cc3ae72f74ced7c2ec3eab9adb6c31281d17ecd75c97f7b","7f7bbe6316422ef87cc3ae72f74ced7c2ec3eab9adb6c31281d17ecd75c97f7b","accepted_display_copy","PASS"
"C5","body","reference/accepted/appendix_tables/H21_limited_success_table_body.csv","output/tables/appendix/H21_limited_success_table_body.csv","independent_table_builder","e03c76812ad2cb71fca5eda0247033840e25eca3f6c98dfeaadec58e0d70c975",TRUE,"all displayed strings match","","","e03c76812ad2cb71fca5eda0247033840e25eca3f6c98dfeaadec58e0d70c975","e03c76812ad2cb71fca5eda0247033840e25eca3f6c98dfeaadec58e0d70c975","accepted_display_copy","PASS"
"C6","body","reference/accepted/appendix_tables/H21_rest_appendix_table_body.csv","output/tables/appendix/H21_rest_appendix_table_body.csv","independent_table_builder","a2c97929287f4275cdb528f25377dd800bf3a0579b2ecb7ff21bce063f35d98e",TRUE,"all displayed strings match","","","a2c97929287f4275cdb528f25377dd800bf3a0579b2ecb7ff21bce063f35d98e","a2c97929287f4275cdb528f25377dd800bf3a0579b2ecb7ff21bce063f35d98e","accepted_display_copy","PASS"
