"Family","Main table","Model","Role","Moderator","Response / estimand","Cox estimand","Outcome source","N","Events","Global PH p","Focal PH p","Diagnostic status","Source","Note"
"H1","Table 1","M4","Main panel","","Hazard of first concession (CY)","first_concession","",59,13,0.496012184729402,0.311550759537914,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M4s","Appendix strict-success","","Hazard of success (CY, strict)","strict_success","",65,8,0.691470559525075,0.629134244191893,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M1_cox","Appendix robustness","","Hazard of concession (Cox PH, campaign-lvl)","campaign_level_concession","",100,45,0.536605293695392,0.248752418452036,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M4_AG","Recurrent-event robustness","","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H1_curvilinear_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M7","Main panel","domaut_c","Hazard of first concession (CY)","first_concession","",59,13,0.793136998297843,0.462501889191783,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M7s","Appendix strict-success","domaut_c","Hazard of success (CY, strict)","strict_success","",65,8,0.883789503353697,0.686815608951168,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M8","Main panel","stterr_c","Hazard of first concession (CY)","first_concession","",59,13,0.887754482730675,0.314346151207299,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M8s","Appendix strict-success","stterr_c","Hazard of success (CY, strict)","strict_success","",65,8,0.861495060135238,0.844569999307142,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M7_AG","Recurrent-event robustness","domaut_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M8_AG","Recurrent-event robustness","stterr_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M13","Appendix robustness","fdiin_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",55,13,0.622663181933091,0.314530481648888,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M13s","Appendix strict-success","fdiin_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",61,8,0.797739002567486,0.191708004146323,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M14","Appendix robustness","trade_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",54,12,0.166166328040503,0.25243763401712,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M14s","Appendix strict-success","trade_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",60,7,0.7955087995549,0.708569859682382,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M15","Appendix robustness","lnaid_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",53,11,0.877164362740902,0.390791677685277,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M15s","Appendix strict-success","lnaid_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",59,8,0.852293854897298,0.724001078423373,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M16","Appendix robustness","iodonor_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",53,11,0.793874092845067,0.779293007046936,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M16s","Appendix strict-success","iodonor_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",59,8,0.955767762969181,0.524309039400371,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M13_AG","Recurrent-event robustness","fdiin_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",61,15,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M14_AG","Recurrent-event robustness","trade_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",60,14,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M15_AG","Recurrent-event robustness","lnaid_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",59,13,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M16_AG","Recurrent-event robustness","iodonor_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",59,13,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M13","Appendix robustness","repress_c","Hazard of first concession (CY)","first_concession","",58,13,0.689797619160745,0.816268197252554,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M13s","Appendix strict-success","repress_c","Hazard of success (CY, strict)","strict_success","",64,8,0.897723278502007,0.764691586426719,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M14","Appendix robustness","civlib_c","Hazard of first concession (CY)","first_concession","",58,13,0.412663358887684,0.809754878862822,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M14s","Appendix strict-success","civlib_c","Hazard of success (CY, strict)","strict_success","",64,8,0.863673711892466,0.36470615152437,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M15","Appendix robustness","clpol_c","Hazard of first concession (CY)","first_concession","",58,13,0.767525324513318,0.921899278241762,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M15s","Appendix strict-success","clpol_c","Hazard of success (CY, strict)","strict_success","",64,8,0.845264558683867,0.887662294497945,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M16","Appendix robustness","polity_c","Hazard of first concession (CY)","first_concession","",56,13,0.202145373643429,0.519843867370506,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M16s","Appendix strict-success","polity_c","Hazard of success (CY, strict)","strict_success","",62,8,0.934097956169045,0.96346009152342,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M13_AG","Recurrent-event robustness","repress_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M14_AG","Recurrent-event robustness","civlib_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M15_AG","Recurrent-event robustness","clpol_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M16_AG","Recurrent-event robustness","polity_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",62,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
