"Family","Main table","Model","Role","Moderator","Response / estimand","Cox estimand","Outcome source","N","Events","Global PH p","Focal PH p","Diagnostic status","Source","Note"
"H1","Table 1","M4","Main panel","","Hazard of first concession (CY)","first_concession","",59,13,0.496,0.312,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M4s","Appendix strict-success","","Hazard of success (CY, strict)","strict_success","",65,8,0.691,0.629,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M1_cox","Appendix robustness","","Hazard of concession (Cox PH, campaign-lvl)","campaign_level_concession","",100,45,0.537,0.249,"No cox.zph flag","H1_curvilinear_results.csv",""
"H1","Table 1","M4_AG","Recurrent-event robustness","","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H1_curvilinear_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M7","Main panel","domaut_c","Hazard of first concession (CY)","first_concession","",59,13,0.793,0.463,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M7s","Appendix strict-success","domaut_c","Hazard of success (CY, strict)","strict_success","",65,8,0.884,0.687,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M8","Main panel","stterr_c","Hazard of first concession (CY)","first_concession","",59,13,0.888,0.314,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M8s","Appendix strict-success","stterr_c","Hazard of success (CY, strict)","strict_success","",65,8,0.861,0.845,"No cox.zph flag","H21_results.csv",""
"H2.1","Table 2","M7_AG","Recurrent-event robustness","domaut_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.1","Table 2","M8_AG","Recurrent-event robustness","stterr_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",65,15,NA,NA,"Not reported for recurrent-event robustness","H21_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M13","Appendix robustness","fdiin_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",55,13,0.623,0.315,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M13s","Appendix strict-success","fdiin_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",61,8,0.798,0.192,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M14","Appendix robustness","trade_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",54,12,0.166,0.252,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M14s","Appendix strict-success","trade_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",60,7,0.796,0.709,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M15","Appendix robustness","lnaid_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",53,11,0.877,0.391,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M15s","Appendix strict-success","lnaid_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",59,8,0.852,0.724,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M16","Appendix robustness","iodonor_c","Hazard of first success (CY)","first_success_broad","event_concession_broad_navco21_progress_2_4",53,11,0.794,0.779,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M16s","Appendix strict-success","iodonor_c","Hazard of success (CY, strict)","strict_success","event_success_yr_strict_navco21_progress_4",59,8,0.956,0.524,"No cox.zph flag","H22_results.csv",""
"H2.2","Table 3","M13_AG","Recurrent-event robustness","fdiin_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",61,15,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M14_AG","Recurrent-event robustness","trade_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",60,14,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M15_AG","Recurrent-event robustness","lnaid_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",59,13,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H2.2","Table 3","M16_AG","Recurrent-event robustness","iodonor_c","Hazard of recurrent campaign success (CY)","recurrent_event_success_broad","event_concession_broad_navco21_progress_2_4",59,13,NA,NA,"Not reported for recurrent-event robustness","H22_results.csv","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M13","Appendix robustness","repress_c","Hazard of first concession (CY)","first_concession","",58,13,0.69,0.816,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M13s","Appendix strict-success","repress_c","Hazard of success (CY, strict)","strict_success","",64,8,0.898,0.765,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M14","Appendix robustness","civlib_c","Hazard of first concession (CY)","first_concession","",58,13,0.413,0.81,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M14s","Appendix strict-success","civlib_c","Hazard of success (CY, strict)","strict_success","",64,8,0.864,0.365,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M15","Appendix robustness","clpol_c","Hazard of first concession (CY)","first_concession","",58,13,0.768,0.922,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M15s","Appendix strict-success","clpol_c","Hazard of success (CY, strict)","strict_success","",64,8,0.845,0.888,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M16","Appendix robustness","polity_c","Hazard of first concession (CY)","first_concession","",56,13,0.202,0.52,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M16s","Appendix strict-success","polity_c","Hazard of success (CY, strict)","strict_success","",62,8,0.934,0.963,"No cox.zph flag","H3_results.csv",""
"H3","Table 4","M13_AG","Recurrent-event robustness","repress_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M14_AG","Recurrent-event robustness","civlib_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M15_AG","Recurrent-event robustness","clpol_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",64,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"H3","Table 4","M16_AG","Recurrent-event robustness","polity_c","Hazard of concession (CY, recurrent-event)","recurrent_event_concession","",62,15,NA,NA,"Not reported for recurrent-event robustness","H3_results.csv","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
