"family","spec","moderator","focal_coef","beta_int_obs","z_obs_nominal","p_nominal","z_critical_emp_05","z_critical_emp_10","z_critical_holm","inflation_factor","empirical_alpha_at_nominal_z196","p_calibrated_emp","n_boot_reps_ok","fit_ok_rate"
"H1","M1",NA,"I(eng_prob_general^2)",163.412537985835,2.10103276621188,0.0356380900446185,2.15045200482384,1.80925034007719,2.83575370499023,1.09716939021625,0.0770770770770771,0.0600600600600601,999,1
"H2.1","M1","domaut_c","eng_c:domaut_c",-4.29158817723511,1.14222612884102,0.253360037759286,2.24981075074445,1.85749229583674,3.08628082763431,1.14786262793084,0.0810810810810811,0.323323323323323,999,1
"H2.1","M2","stterr_c","eng_c:stterr_c",-0.14150102767615,0.654592842968747,0.512729933302325,2.10615993724386,1.80663384952059,2.72785124117659,1.07457139655299,0.0760760760760761,0.564564564564565,999,1
"H2.2","M1","fdiin_c","eng_c:fdiin_c",-1.67706539494655,1.85931171842588,0.0629829669313773,2.44501284272071,2.02394503294063,3.45515396272424,1.24745553200036,0.108108108108108,0.125125125125125,999,1
"H2.2","M2","trade_c","eng_c:trade_c",-5.7936391883341,2.51996178955332,0.0117367574359995,2.13719089750923,1.86970282131227,3.0854365976357,1.09040351913736,0.0840840840840841,0.022022022022022,999,1
"H2.2","M3","lnaid_c","eng_c:lnaid_c",0.687251652121105,0.172416464404022,0.863110129282788,2.44522613001986,2.07445468484116,3.48977168305625,1.24756435205095,0.115115115115115,0.895895895895896,999,1
"H2.2","M4","iodonor_c","eng_c:iodonor_c",-0.778795545638797,0.847387425589388,0.396779210973459,2.51739351565512,2.04852601267673,4.18889332312209,1.28438444676282,0.114114114114114,0.537537537537538,999,1
"H3","M1","repress_c","eng_c:repress_c",-5.15351672290983,1.92660430329804,0.0540289619578622,2.23101512295055,1.92084745181579,3.17865548267371,1.13827302191355,0.0940940940940941,0.1001001001001,999,1
"H3","M2","civlib_c","eng_c:civlib_c",-23.7369425578998,1.56212511476558,0.118258517456935,2.25416945202887,1.87450546320689,3.20220269632364,1.15008645511677,0.0820820820820821,0.159159159159159,999,1
"H3","M3","clpol_c","eng_c:clpol_c",-28.7579761836397,1.77198259413635,0.0763974465956462,2.15598047658221,1.81652919116177,3.10259937000283,1.09999003907256,0.0700700700700701,0.107107107107107,999,1
"H3","M4","polity_c","eng_c:polity_c",-0.122879680424706,0.17949834113274,0.857546419761906,2.19413620104892,1.8659366796082,3.05531446225468,1.11945724543312,0.0800800800800801,0.870870870870871,999,1
