"model","estimator","data","response","beta_eng","p_eng","beta_eng2","p_eng2","any_eng_effect_p","curvature_lr_p","turning_point","tp_in_range","tp_se","tp_lower_delta","tp_upper_delta","tp_lower_fieller","tp_upper_fieller","tp_fieller_unbounded","tp_ci_in_support_delta","tp_ci_in_support_fieller","expected_b2_sign","concavity_consistent","N","n_events","epv","sig_05_eng2","sig_10_eng2","p_eng_holm","p_eng_bh","p_eng2_holm","p_eng2_bh","any_eng_effect_holm","any_eng_effect_bh","curvature_lr_holm","curvature_lr_bh","sig_05_eng2_holm","sig_10_eng2_holm","sig_05_eng2_bh","sig_10_eng2_bh","ph_global_p","ph_int_p","ph_focal_p","ph_flag","cox_estimand","interpretation_note"
"M1","Weibull AFT","NAVCO 1.3","Time to concession",-33.1673171227211,0.0448099424066678,163.412537985835,0.0356380900446177,0.104660304423635,0.0246230780409908,0.101483391456769,TRUE,0.00945560004571174,0.0829507559149583,0.120016026998579,0.0265587879200257,0.136805938307165,FALSE,TRUE,FALSE,"+",TRUE,100,45,5,TRUE,TRUE,0.448099424066678,0.249392184616446,0.356380900446177,0.238247190098433,1,0.577512104091892,0.246230780409908,0.238626569943137,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M1s","Weibull AFT","NAVCO 1.3","Time to success (strict)",-37.8555129604155,0.0756881378253616,186.394568925721,0.0634666638799827,0.173253631227568,0.0477253139886275,0.101546716673652,TRUE,0.0108321012466352,0.080316188353356,0.122777244993949,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,33,3.66666666666667,FALSE,TRUE,0.605505102602892,0.252293792751205,0.571199974919845,0.238247190098433,1,0.577512104091892,0.429527825897647,0.238626569943137,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2","Firth PML","NAVCO 1.3","Concession (binary)",37.1395247620112,0.406901489269677,-190.225681705387,0.331737203113857,0.477866256288641,0.331737203113857,0.0976196390231136,TRUE,0.0231856509392465,0.0521765982240732,0.143062679822154,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,45,4.5,FALSE,FALSE,1,0.508626861587096,1,0.414671503892322,1,0.638934944521567,1,0.473910290162654,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2s","Firth PML","NAVCO 1.3","Success (strict, binary)",49.6568797271395,0.332359279426445,-238.238952126783,0.304525112102375,0.511147955617253,0.304525112102375,0.104216542433233,TRUE,0.017327906475158,0.0702544698144445,0.138178615052021,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,33,3.3,FALSE,FALSE,1,0.474798970609208,1,0.414671503892322,1,0.638934944521567,1,0.473910290162654,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M3","bracl","NAVCO 1.3","success3 (0/1/2) APP",-25.933048866895,0.313678569164527,128.842582214345,0.267033317159582,0.476103948575831,0.185822328663077,0.100638501732883,TRUE,0.0187710053803311,0.0638480072338268,0.13742899623194,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,NA,NA,FALSE,FALSE,1,0.474798970609208,1,0.414671503892322,1,0.638934944521567,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M4","Cox PH","NAVCO 2.1","Hazard of first concession (CY)",94.1636023670459,0.0498784369232893,-348.970737133568,0.0714741570295299,0.135759187469459,0.189107784009908,0.134916186870713,TRUE,0.0190733372914672,0.0975331327144527,0.172299241026973,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,59,13,1.625,FALSE,TRUE,0.448905932309603,0.249392184616446,0.57179325623624,0.238247190098433,1,0.577512104091892,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,0.496012184729402,NA,0.311550759537914,"","first_concession",""
"M4s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)",78.1312562557882,0.252099604396855,-338.444651334689,0.300849783912093,0.478496161844437,0.416340950081288,0.115426933100686,TRUE,0.024918207879543,0.0665881430974994,0.164265723103872,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,8,1,FALSE,FALSE,1,0.474798970609208,1,0.414671503892322,1,0.638934944521567,1,0.52042618760161,FALSE,FALSE,FALSE,FALSE,0.691470559525075,NA,0.629134244191893,"","strict_success",""
"M5","Firth PML","NAVCO 2.1","Concession (CY, binary)",83.2859382483272,0.13403329896018,-337.165563795722,0.171493497305971,0.280111702838537,0.171493497305971,0.123508962941998,TRUE,0.0171737690383314,0.089848994148059,0.157168931735936,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,15,1.5,FALSE,FALSE,0.938233092721258,0.335083247400449,1,0.414671503892322,1,0.638934944521567,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M5s","Firth PML","NAVCO 2.1","Success (CY, strict, bin.)",38.7258361684952,0.575333602666241,-143.344980290279,0.652874614076454,0.698217229544632,0.652874614076454,0.13507914992933,TRUE,0.0609259597576121,0.015666463080874,0.254491836777787,NA,NA,TRUE,FALSE,FALSE,"-",TRUE,65,8,0.8,FALSE,FALSE,1,0.575333602666241,1,0.652874614076454,1,0.698217229544632,1,0.652874614076454,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M6","bracl","NAVCO 2.1","progress_ord (6-level; failure separate) APP",-8.17736600769893,0.548097120233626,27.9468955287303,0.638168614169454,0.696515552769947,0.620092255464302,0.146301867398694,TRUE,0.0867605980118232,-0.0237457799816364,0.316349514779025,NA,NA,TRUE,FALSE,FALSE,"+",TRUE,65,NA,NA,FALSE,FALSE,1,0.575333602666241,1,0.652874614076454,1,0.698217229544632,1,0.652874614076454,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M1_ln","log-normal AFT","NAVCO 1.3","Time to concession (log-normal)",-23.2937628620094,0.202798938192032,123.788371408035,0.133233602582784,0.152469770875826,0.111396964859228,0.0940870398287562,TRUE,0.0160483701346821,0.0626328123542112,0.125541267303301,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,45,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"M1_cox","Cox PH","NAVCO 1.3","Hazard of concession (Cox PH, campaign-lvl)",42.6505269951419,0.179344463654826,-212.086697729624,0.149353887000264,0.32862907235667,0.116734069084881,0.100549745579787,TRUE,0.0147186319844721,0.0717017569885224,0.129397734171052,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,45,5.625,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536605293695392,NA,0.248752418452036,"","campaign_level_concession",""
"M4_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)",75.6468834578081,0.0657021501002557,-282.965177539009,0.109268329397257,0.133655579578503,0.257046187138047,0.133668185102705,TRUE,0.021363042865594,0.0917973904859554,0.175538979719454,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,15,1.875,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M5_GEE","GEE logit","NAVCO 2.1","Concession (CY, binary, source-clustered GEE)",131.507332037333,0.038270377711216,-552.026643061491,0.0422687094178291,0.116835904341059,NA,0.11911321101098,TRUE,0.0107753717931281,0.0979938703764205,0.14023255164554,0.0782162977019649,0.278084159132378,FALSE,TRUE,FALSE,"-",TRUE,65,15,1.5,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
