"model","estimator","data","response","moderator","beta_eng_lin","p_eng_lin","beta_eng_sq","p_eng_sq","beta_mod","p_mod","beta_int_lin","p_int_lin","beta_int_sq","p_int_sq","joint_wald_int_p","joint_wald_eng_p","N","n_events","epv","family","p_int_lin_bh","p_int_sq_bh","joint_wald_int_p_bh","joint_wald_eng_p_bh","epv_warning"
"M1q","Weibull AFT","NAVCO 1.3","Time to concession","domaut_c",1.94581722242877,0.560043967187927,159.007020556731,0.04741555147361,0.00987054750011454,0.938516480635599,-5.44249723032722,0.223786291756396,29.9781727203717,0.778474081949394,0.465237705631189,0.273161390018529,101,45,4.5,"concession",0.447572583512792,0.889684665085022,0.599819569342955,0.510928255962112,TRUE
"M2q","Weibull AFT","NAVCO 1.3","Time to concession","stterr_c",1.89480642294677,0.597140536762845,138.608972202173,0.13584282169691,0.0128755688437432,0.189853146959449,-0.0816388893749015,0.793916256712548,-7.91216063364681,0.330984222841762,0.524842123175086,0.31933015997632,101,45,4.5,"concession",0.862534271625709,0.724842533132688,0.599819569342955,0.510928255962112,TRUE
"M3q","Firth PML","NAVCO 1.3","Concession (binary)","domaut_c",-3.05205628301099,0.694509233659124,-181.831322066208,0.403441203219714,-0.0779628689585883,0.818484334420525,14.4426947642421,0.148255212882676,-220.253536045571,0.362421266566344,0.34287352502419,0.443518120909706,101,45,4.09090909090909,"concession",0.395347234353802,0.724842533132688,0.599819569342955,0.557650478209459,TRUE
"M4q","Firth PML","NAVCO 1.3","Concession (binary)","stterr_c",-0.063414624604466,0.993682440461092,-279.799900046969,0.218043957464384,-0.0267334225541138,0.347559751183891,0.728791365182183,0.311977910145566,-5.93977295340602,0.74382636702558,0.523306932880763,0.487944168433276,101,45,4.09090909090909,"concession",0.460179880909828,0.889684665085022,0.599819569342955,0.557650478209459,TRUE
"M7q","Cox PH","NAVCO 2.1","Hazard of first concession","domaut_c",16.9452924639548,0.298865873335168,-884.327603479793,0.0637036988455093,-2.28928634182245,7.33135884234458e-06,40.6705093481314,0.0172389058313834,1187.06061491575,0.00314765729827068,0.00720456357994235,0.00981260672530045,59,13,1.44444444444444,"concession",0.0689556233255335,0.0251812583861655,0.0576365086395388,0.0785008538024036,TRUE
"M8q","Cox PH","NAVCO 2.1","Hazard of first concession","stterr_c",24.8294722329315,0.115154357389679,-700.149844124423,0.0128748312606342,-0.067001810696196,0.00566988669426019,1.82888414857642,0.00709585330946684,11.2935000214171,0.575566685088124,0.0197515544842296,0.0615808921529218,59,13,1.44444444444444,"concession",0.0567668264757347,0.889684665085022,0.0790062179369185,0.246323568611687,TRUE
"M9q","Firth PML","NAVCO 2.1","Yearly concession (binary)","domaut_c",13.9714159894447,0.22768408122657,-338.928770486186,0.113276731047453,-1.73311765164209,0.00944969779625471,11.1892208121934,0.345134910682371,471.708692760275,0.174499651405861,0.279112269239043,0.260764654935412,65,15,1.36363636363636,"concession",0.460179880909828,0.697998605623444,0.599819569342955,0.510928255962112,TRUE
"M10q","Firth PML","NAVCO 2.1","Yearly concession (binary)","stterr_c",12.781860297468,0.22762987496476,-315.843685324326,0.160949647764795,-0.058807687764101,0.140624814012992,0.147406998747831,0.862534271625709,-1.44725579391337,0.926056232216988,0.979935947905505,0.607683352819149,65,15,1.36363636363636,"concession",0.862534271625709,0.926056232216988,0.979935947905505,0.607683352819149,TRUE
"M1qs","Weibull AFT","NAVCO 1.3","Time to success (strict)","domaut_c",2.09455319752449,0.630972185465653,186.271304681298,0.0789388976363948,-0.0497900296199983,0.761269851115635,-8.66227035002836,0.136179239885422,107.673247447531,0.414707936626804,0.327940765475694,0.295539738489814,101,33,3.3,"strict_success",0.641254386950246,0.829415873253609,0.874508707935185,0.90289866070984,TRUE
"M2qs","Weibull AFT","NAVCO 1.3","Time to success (strict)","stterr_c",1.79105251654013,0.690896932223114,162.340122960767,0.17432141951828,0.00645137657865711,0.613257888938234,-0.119125360519258,0.761294878168958,-4.37071207347563,0.642497812959669,0.752165853328754,0.521236172424209,101,33,3.3,"strict_success",0.986735049199299,0.921482104603705,0.992005768052776,0.90289866070984,TRUE
"M3qs","Firth PML","NAVCO 1.3","Success (strict, binary)","domaut_c",-1.97618064109539,0.821629804858067,-237.36258029571,0.329781852530834,0.0873951952949085,0.815468061959998,16.1945659951791,0.160313596737561,-356.271025147889,0.133971979097256,0.239682243819105,0.435951148586651,101,33,3,"strict_success",0.641254386950246,0.535887916389024,0.874508707935185,0.90289866070984,TRUE
"M4qs","Firth PML","NAVCO 1.3","Success (strict, binary)","stterr_c",1.38510200225154,0.872828417102455,-303.432372702404,0.205982736757151,0.00140384587030255,0.963195464243413,0.760001306242184,0.33505455824944,-19.2903360076154,0.315364636483146,0.535167166885155,0.65197432002655,101,33,3,"strict_success",0.893478821998506,0.829415873253609,0.992005768052776,0.90289866070984,TRUE
