"model","estimator","data","response","moderator","mod_direction","beta_eng_c","p_eng_c","beta_mod_c","p_mod_c","beta_int","p_int","joint_wald_p","expected_int_sign","sign_consistent","N","n_events","epv","sig_05_int","sig_10_int","epv_warning","main_panel","p_int_holm","p_int_bh","sig_05_int_holm","sig_10_int_holm","sig_05_int_bh","sig_10_int_bh","robustness_row","ph_global_p","ph_int_p","ph_focal_p","ph_flag","cox_estimand","interpretation_note"
"M1","Weibull AFT","NAVCO 1.3","Time to concession","repress_c","pos",4.81033937347762,0.152981396812935,-0.298788364136977,0.00940382982665487,-5.15351672290983,0.0540289619578621,0.133137247557213,"-",TRUE,94,43,4.77777777777778,FALSE,TRUE,TRUE,TRUE,0.295604145435206,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M1s","Weibull AFT","NAVCO 1.3","Time to success (strict)","repress_c","pos",3.04529805248803,0.498135416496307,-0.308530226423558,0.0387549147189534,-2.85853832002244,0.413981863292156,0.687176075343516,"-",TRUE,94,31,3.44444444444444,FALSE,FALSE,TRUE,FALSE,NA,0.702962059324224,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2","Weibull AFT","NAVCO 1.3","Time to concession","civlib_c","pos",3.78406618774416,0.241867371070525,-0.514866991950511,0.520697141786699,-23.7369425578997,0.118258517456935,0.255949682022442,"-",TRUE,98,45,5,FALSE,FALSE,FALSE,TRUE,0.295604145435206,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2s","Weibull AFT","NAVCO 1.3","Time to success (strict)","civlib_c","pos",2.27682267307405,0.585294872159973,-0.252311196600494,0.810101928555606,-12.6502479315169,0.52980373925239,0.785896238790196,"-",TRUE,98,33,3.66666666666667,FALSE,FALSE,TRUE,FALSE,NA,0.737118245916368,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M3","Weibull AFT","NAVCO 1.3","Time to concession","clpol_c","pos",4.84755022918893,0.170067658160807,-0.996717120308693,0.296064015004272,-28.7579761836397,0.0763974465956462,0.188598923201328,"-",TRUE,98,45,5,FALSE,TRUE,FALSE,TRUE,0.295604145435206,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M3s","Weibull AFT","NAVCO 1.3","Time to success (strict)","clpol_c","pos",3.22651015785186,0.486911675888379,-1.27254160486131,0.292938416315736,-15.7930745599189,0.465437017008624,0.726914573397481,"-",TRUE,98,33,3.66666666666667,FALSE,FALSE,TRUE,FALSE,NA,0.717275253457382,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M4","Weibull AFT","NAVCO 1.3","Time to concession","polity_c","pos",2.22036618997976,0.478190073152785,-0.0218446082718368,0.399172425673029,-0.122879680424706,0.857546419761906,0.774703449863835,"-",TRUE,94,43,4.77777777777778,FALSE,FALSE,TRUE,TRUE,0.857546419761906,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M4s","Weibull AFT","NAVCO 1.3","Time to success (strict)","polity_c","pos",0.544579797514144,0.893663278740269,-0.0336671314744437,0.337597708770092,0.355785600740581,0.705195390097773,0.886571402202386,"-",FALSE,94,31,3.44444444444444,FALSE,FALSE,TRUE,FALSE,NA,0.778146637349266,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M5","Firth PML","NAVCO 1.3","Concession (binary)","repress_c","pos",-10.3328897430527,0.225460261785824,0.789132051853584,0.00352447688498492,15.0626967330279,0.0433626053668358,0.101874920427877,"+",TRUE,94,43,4.3,TRUE,TRUE,TRUE,TRUE,0.295604145435206,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M5s","Firth PML","NAVCO 1.3","Success (strict, binary)","repress_c","pos",-1.88695543821266,0.845440292504775,0.558901787705028,0.0387835474442315,2.94789950419552,0.679477366765961,0.898950036032601,"+",TRUE,94,31,3.1,FALSE,FALSE,TRUE,FALSE,NA,0.776545562018241,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
