"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged","Fit_Status"
"NVH1","Firth PML","concession (nonviolent)","English share squared","(Intercept)",-5.89700959661474,3.25939932487286,0.0660206995440655,-13.0681397558266,0.380904937187836,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","eng_c",-2.10543889142367,8.0233364972375,0.795691634812673,-18.4222885889447,13.8805784360807,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","I(eng_c^2)",-173.978852683442,218.751897301939,0.429074950524523,-628.889053969726,257.30552856678,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","REGCHANGE",2.37223027757097,1.46899872162813,0.0541298419414906,-0.0367527257893844,7.28503968429687,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","v2csreprss",0.575703214677269,0.220868125783639,0.0064356586074924,0.155461300517044,1.05399153641267,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnlengthofcam",-0.142516498127949,0.420597866951541,0.739169580115593,-1.00656179385256,0.696326702982056,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnnum_image_sum",-0.122050695556562,0.228990560956701,0.601771060307044,-0.588192041710475,0.340067753973164,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnpop",0.242162282876014,0.162245304021008,0.139157813441554,-0.0785369381655494,0.579108711564289,87,,
"NVH1","Firth PML","concession (nonviolent)","English share squared","colonized_english1",1.03954990390215,0.654981720224181,0.106556028469257,-0.218633355625376,2.42101259535928,87,,
"NV1","Firth PML","concession (nonviolent)","domaut","(Intercept)",-1.94394872208818,1.86775319885203,0.274938200311489,-7.31453910914222,1.36806617138191,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","eng_c",-2.93798346712399,8.23036266213048,0.724371909076851,-19.7770235139728,13.5169203774854,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","domaut_c",-0.222538243503706,0.302836651819566,0.470664467375891,-0.847072793042337,0.383967244903193,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","REGCHANGE",1.80943837905724,1.4284265432405,0.140133474398477,-0.494870464357219,6.71322072396842,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","v2csreprss",0.404108046016167,0.19758948366378,0.0389528350772902,0.0201219471869903,0.824708888430752,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","lnlengthofcam",-0.281173351021129,0.411831076882191,0.501363054368874,-1.12494576456966,0.54045925862131,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","lnnum_image_sum",0.0116872950992296,0.216388272324058,0.95768095995719,-0.421721707983519,0.450958939374771,88,,
"NV1","Firth PML","concession (nonviolent)","domaut","eng_c:domaut_c",6.44406123299882,11.7503385882118,0.592916075147757,-17.4019033895146,30.7131916587167,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","(Intercept)",-2.24515595338248,1.89204461004588,0.213027924156406,-7.610554064117,1.14992927987971,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","eng_c",-1.08409069580777,8.54873857862295,0.900712612658479,-18.4231277943716,16.1695406548963,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","stterr_c",-0.0339461720590312,0.026728383636797,0.207246037948312,-0.0908883357964167,0.0186708832706201,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","REGCHANGE",2.03071795737897,1.46648459138517,0.106525815593718,-0.362581824710409,6.9707703222954,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","v2csreprss",0.427236104206227,0.202301363561569,0.0324448220372475,0.0349080874060353,0.858657199006062,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","lnlengthofcam",-0.247156625699242,0.425111113959732,0.567025489714348,-1.12036699409032,0.597932547337691,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","lnnum_image_sum",0.0370842559725494,0.216190915944807,0.866037659446787,-0.394404675664572,0.476939168773199,88,,
"NV2","Firth PML","concession (nonviolent)","stterr","eng_c:stterr_c",-0.165164839480871,1.02568023979322,0.875776815384103,-2.28131356828197,1.93714720216418,88,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","(Intercept)",-2.98420737696866,2.29264171587829,0.196173911722125,-8.38052120588601,1.4481863449461,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","eng_c",10.348234159999,9.93857616376252,0.314158244201358,-9.78744342429799,33.1479753950164,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","domaut_c",-1.08936271438417,0.553484108102558,0.0471749288728662,-2.3784161634531,-0.0132162658990493,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","REGCHANGE",0.835406487997813,0.995036552913377,0.402076489404023,-1.03971449231807,3.28992562480602,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","v2csreprss",0.805266598791769,0.390064392019731,0.0306218426967894,0.0688679655010798,1.73203906763638,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","time_in_campaign",0.0179663358442264,0.416142599308679,0.968107323668366,-0.960151200328494,0.887719288069112,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","lnnum_image_sum",0.272606188094318,0.385419493774266,0.498055760686939,-0.51366495717365,1.13430055105646,50,,
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","eng_c:domaut_c",7.10700426082982,12.5917539222158,0.586947810305144,-20.1506071858203,33.1485702526263,50,,
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","(Intercept)",-4.28586539841926,2.72411051900529,0.115647473143739,-9.62512201566963,1.05339121883111,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","eng_c",16.7237265477941,13.4706475182813,0.214423355019195,-9.67874258803722,43.1261956836254,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","domaut_c",-1.37693105186817,0.600273974547677,0.0217998250718789,-2.55346804198162,-0.200394061754723,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","REGCHANGE",1.45313954869516,1.18809017104738,0.221296232416619,-0.875517186557696,3.78179628394802,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","v2csreprss",1.00715506675371,0.436262309283671,0.0209658007426284,0.152080940557718,1.86222919294971,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","time_in_campaign",0.0450516026076487,0.443198685136042,0.919033673525648,-0.823617820258994,0.913721025474291,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","lnnum_image_sum",0.384558016921982,0.401271211943787,0.337886611782247,-0.40193355848784,1.1710495923318,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","eng_c:domaut_c",6.11636160279707,18.5808308914852,0.742022743035558,-30.302066944514,42.5347901501081,50,TRUE,"reported"
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","(Intercept)",-1.57764123982303,2.04724157963932,0.455165013952159,-6.04254523966909,2.54221435940804,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","eng_c",11.219224785832,10.8373337884576,0.30533577683982,-10.3687301470656,34.5340361094725,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","stterr_c",-0.0541367246865691,0.0417397991881722,0.192012325194189,-0.144747362878711,0.0269982629623509,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","REGCHANGE",0.699254337413557,0.987351810749768,0.479646362886036,-1.16353759573648,3.11939159099188,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","v2csreprss",0.410197179173398,0.324966731516593,0.204873173486793,-0.216148876939715,1.14016204247044,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","time_in_campaign",-0.0840643268071321,0.381216939049216,0.834446662187298,-0.996629638399148,0.670107155977497,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","lnnum_image_sum",0.0836025537425622,0.343557685854001,0.814215031196833,-0.629416898210172,0.801582597342113,50,,
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","eng_c:stterr_c",-0.342165151782995,1.11157309067948,0.761082296638555,-2.78495111470439,1.8255451313103,50,,
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","(Intercept)",-2.37077557113678,2.16867238530556,0.274309454362196,-6.62137344633568,1.87982230406211,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","eng_c",15.9163245317305,12.6705719657991,0.209056282314964,-8.91799652123562,40.7506455846967,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","stterr_c",-0.0671266895805737,0.0507599730630729,0.186023834874503,-0.166616236784197,0.0323628576230493,50,TRUE,"reported"
