"model","family","moderator","estimator","treatment","estimate","se","p","rv_q1","rv_qa1","benchmark","bench1_r2y","bench1_r2d","bench1_adjusted_estimate","N"
"H2.1_domaut","H2.1 Political","domaut","LPM + sensemakr","eng_c:domaut_c",2.21574097693724,1.58666066732421,0.165929902168999,0.135379753899409,0,"1",0.0561099435706967,0.000707238099173535,2.11983750305277,101
"H2.1_stterr","H2.1 Political","stterr","LPM + sensemakr","eng_c:stterr_c",0.157440525478448,0.115055879461926,0.174524677274176,0.132849817012318,0,"1",0.057582749552103,0.000767443595610643,0.150101491901577,101
"H2.2_FDI","H2.2 Economic","FDI","LPM + sensemakr","eng_c:fdiin_c",-0.107468505552235,0.492909665155328,0.827935456954456,0.0235076200087094,0,"1",0.0714901220000639,0.00242814811668335,-0.0478754724041701,97
"H2.2_Trade","H2.2 Economic","Trade","LPM + sensemakr","eng_c:trade_c",2.60874476425996,1.05305520531839,0.01540029066688,0.24390530447788,0.0521597270390301,"1",0.136095039216324,0.00111052208738142,2.49434517391908,91
"H2.2_Aid","H2.2 Economic","Aid","LPM + sensemakr","eng_c:lnaid_c",3.21797353948123,2.3311783498802,0.176470304143865,0.210368085912119,0,"1",0.117905047182752,0.062328684262682,2.01460176145701,44
"H2.2_IODonor","H2.2 Economic","IODonor","LPM + sensemakr","eng_c:iodonor_c",1.94776537581582,0.656384556229504,0.0054662021000754,0.395630728805891,0.143233483689713,"1",0.123854693157675,0.00674399673711221,1.83677581752986,44
"H3_Repress","H3 Domestic","Repress","LPM + sensemakr","eng_c:repress_c",2.08405259549324,1.23024883788222,0.0941057168838298,0.171340939477157,0,"1",0.0152245546860648,0.0135241345047105,1.92408969120638,94
"H3_CivLib","H3 Domestic","CivLib","LPM + sensemakr","eng_c:civlib_c",11.2135310764746,6.9459242430897,0.110146064127421,0.160445429764971,0,"1",0.00971818562258916,0.000948872891314853,11.0189761363824,98
"H3_Clpol","H3 Domestic","Political Liberty","LPM + sensemakr","eng_c:clpol_c",10.1085404971821,6.83590499983204,0.142905653932411,0.148044233969686,0,"1",0.00114639271355429,0.0055635957203634,9.94892999468089,98
"H3_Polity","H3 Domestic","Polity","LPM + sensemakr","eng_c:polity_c",0.62970429343539,0.331838047495306,0.0613083751674341,0.189787433566523,0,"1",0.109537995244836,0.0173357476923659,0.49841787732966,94
