"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power"
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0,0,2000,1,0.05,0.0445,0.005,0.0445,0.005,0.0445,0.005
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0,0,2000,1,0.1,0.0975,0.0115,0.0975,0.0115,0.0975,0.0115
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0.25,3.18514519527811,2000,1,0.05,0.0555,0.008,0.0555,0.008,0.0555,0.008
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0.25,3.18514519527811,2000,1,0.1,0.1115,0.0175,0.1115,0.0175,0.1115,0.0175
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0.5,6.37029039055623,2000,1,0.05,0.096,0.019,0.096,0.019,0.096,0.019
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,0.5,6.37029039055623,2000,1,0.1,0.167,0.0325,0.167,0.0325,0.167,0.0325
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,1,12.7405807811125,2000,1,0.05,0.2355,0.063,0.2355,0.063,0.2355,0.063
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,1,12.7405807811125,2000,1,0.1,0.3585,0.101,0.3585,0.101,0.3585,0.101
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,2,25.4811615622249,2000,1,0.05,0.711,0.3685,0.711,0.3685,0.711,0.3685
"M3","Firth PML","domaut_c","eng_c:domaut_c",12.7405807811125,2,25.4811615622249,2000,1,0.1,0.807,0.475,0.807,0.475,0.807,0.475
"M4","Firth PML","stterr_c","eng_c:stterr_c",0.654526537990731,0,0,2000,1,0.05,0.06,0.008,0.06,0.008,0.06,0.008
