"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0,0,2000,1,0.05,0.04,0.004,0.04,0.004,0.04,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0,0,2000,1,0.1,0.0935,0.009,0.0935,0.009,0.0935,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0.25,0.0502852649347523,2000,1,0.05,0.0485,0.0035,0.0485,0.0035,0.0485,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0.25,0.0502852649347523,2000,1,0.1,0.091,0.011,0.091,0.011,0.091,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0.5,0.100570529869505,2000,1,0.05,0.0435,0.0055,0.0435,0.0055,0.0435,0.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,0.5,0.100570529869505,2000,1,0.1,0.0935,0.007,0.0935,0.007,0.0935,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,1,0.201141059739009,2000,1,0.05,0.049,0.008,0.049,0.008,0.049,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,1,0.201141059739009,2000,1,0.1,0.099,0.0135,0.099,0.0135,0.099,0.0135,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,2,0.402282119478018,2000,1,0.05,0.0505,0.0075,0.0505,0.0075,0.0505,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","fdiin_c","eng_c:fdiin_c",0.201141059739009,2,0.402282119478018,2000,1,0.1,0.1035,0.0145,0.1035,0.0145,0.1035,0.0145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","trade_c","eng_c:trade_c",15.0501074941505,0,0,2000,1,0.05,0.042,0.004,0.042,0.004,0.042,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","trade_c","eng_c:trade_c",15.0501074941505,0,0,2000,1,0.1,0.091,0.01,0.091,0.01,0.091,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","trade_c","eng_c:trade_c",15.0501074941505,0.25,3.76252687353762,2000,1,0.05,0.097,0.013,0.097,0.013,0.097,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","trade_c","eng_c:trade_c",15.0501074941505,0.25,3.76252687353762,2000,1,0.1,0.161,0.0275,0.161,0.0275,0.161,0.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","trade_c","eng_c:trade_c",15.0501074941505,0.5,7.52505374707524,2000,1,0.05,0.252,0.0605,0.252,0.0605,0.252,0.0605,NA,NA,NA,NA,NA,NA,NA,NA,NA
