"model","estimator","term","beta","se","ci_lo","ci_hi","panel"
"M1","Weibull AFT","I(eng_prob_general^2)",163.412537985835,77.7772439410661,10.9719410445593,315.853134927111,"Main"
"M1s","Weibull AFT","I(eng_prob_general^2)",186.394568925721,100.433083347425,-10.4506572915408,383.239795142983,"Main"
"M2","Firth PML","I(eng_prob_general^2)",-190.225681705387,187.126773616307,-556.98741853653,176.536055125755,"Main"
"M2s","Firth PML","I(eng_prob_general^2)",-238.238952126783,212.791892769104,-655.303398156336,178.82549390277,"Main"
"M3","bracl","I(eng_prob_general^2)",128.842582214345,116.08272002307,-98.6753682583184,356.360532687008,"Main"
"M4","Cox PH","I(eng_prop_year^2)",-348.970737133568,193.608781919472,-728.436976786403,30.4955025192671,"Main"
"M4s","Cox PH","I(eng_prop_year^2)",-338.444651334689,327.122048352182,-979.592084653937,302.702781984558,"Main"
"M5","Firth PML","I(eng_prop_year^2)",-337.165563795722,240.142419887886,-807.836057936274,133.504930344829,"Main"
"M5s","Firth PML","I(eng_prop_year^2)",-143.344980290279,263.435610049357,-659.669288232358,372.979327651798,"Main"
"M6","bracl","I(eng_prop_year^2)",27.9468955287303,59.4284881220071,-88.53080084607,144.424591903531,"Main"
"M1_ln","log-normal AFT","I(eng_prob_general^2)",123.788371408035,82.444692027442,-37.8002556822474,285.376998498318,"Sensitivity"
"M1_cox","Cox PH","I(eng_prob_general^2)",-212.086697729624,147.096778450629,-500.391085734725,76.2176902754765,"Sensitivity"
"M4_AG","Cox PH","I(eng_prop_year^2)",-282.965177539009,176.688642903058,-629.268554106261,63.3381990282427,"Sensitivity"
"M5_GEE","GEE logit","I(eng_prop_year^2)",-552.026643061491,271.818506960117,-1084.78112703477,-19.2721590882117,"Sensitivity"
