"model","estimator","moderator","term","beta","se","ci_lo","ci_hi","panel"
"M1","Weibull AFT","repress_c","eng_c:repress_c",-5.15351672290983,2.6749222526327,-10.3962679995147,0.089234553695003,"Main"
"M1s","Weibull AFT","repress_c","eng_c:repress_c",-2.85853832002244,3.49922337775424,-9.71689011428134,3.99981347423646,"Appendix"
"M2","Weibull AFT","civlib_c","eng_c:civlib_c",-23.7369425578997,15.19528899032,-53.519161713605,6.0452765978055,"Main"
"M2s","Weibull AFT","civlib_c","eng_c:civlib_c",-12.6502479315169,20.1339080469328,-52.1119825715463,26.8114867085126,"Appendix"
"M3","Weibull AFT","clpol_c","eng_c:clpol_c",-28.7579761836397,16.2292656140091,-60.5667522826319,3.05079991535242,"Main"
"M3s","Weibull AFT","clpol_c","eng_c:clpol_c",-15.7930745599189,21.6366195106429,-58.2000695479757,26.6139204281378,"Appendix"
"M4","Weibull AFT","polity_c","eng_c:polity_c",-0.122879680424706,0.684572791309733,-1.46461769618784,1.21885833533842,"Main"
"M4s","Weibull AFT","polity_c","eng_c:polity_c",0.355785600740581,0.940443979854777,-1.48745072925229,2.19902193073345,"Appendix"
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,7.51871918476944,0.326277921009424,29.7991155450463,"Main"
"M5s","Firth PML","repress_c","eng_c:repress_c",2.94789950419552,6.42962082116919,-9.65392573954494,15.549724747936,"Appendix"
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,39.5845768840115,0.380629946403758,155.549320018242,"Main"
"M6s","Firth PML","civlib_c","eng_c:civlib_c",25.6682954082027,36.3925939645808,-45.6598780663655,96.9964688827709,"Appendix"
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,41.2593930115546,2.94210269835655,164.675951351618,"Main"
"M7s","Firth PML","clpol_c","eng_c:clpol_c",21.5348649026098,38.9722228325669,-54.8492882466909,97.9190180519105,"Appendix"
"M8","Firth PML","polity_c","eng_c:polity_c",4.81923687228229,1.98297167931565,0.932683798460717,8.70578994610386,"Main"
"M8s","Firth PML","polity_c","eng_c:polity_c",2.47825439260517,2.03318784240915,-1.50672055232147,6.46322933753181,"Appendix"
"M9","bracl","repress_c","eng_c:repress_c",-5.61161003692482,4.11433139433579,-13.6755513902854,2.45233131643579,"Appendix"
