"Family","Model","Estimator","Dataset","Moderator","Beta","SE","p","95% CI","N","Status"
"Curvilinear","NVH1","Firth PML","concession (nonviolent)","English share squared","-173.979","218.752","0.429","[-628.889, 257.306]","87","reported"
"Political","NV1","Firth PML","concession (nonviolent)","domaut","6.444","11.750","0.593","[-17.402, 30.713]","88","reported"
"Political","NV2","Firth PML","concession (nonviolent)","stterr","-0.165","1.026","0.876","[-2.281, 1.937]","88","reported"
"Political","NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","7.107","12.592","0.587","[-20.151, 33.149]","50","reported"
"Political","NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","6.116","18.581","0.742","[-30.302, 42.535]","50","reported"
"Political","NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","-0.342","1.112","0.761","[-2.785, 1.826]","50","reported"
"Political","NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","-0.288","1.188","0.808","[-2.617, 2.040]","50","reported"
"Economic","NV5","Firth PML","concession (nonviolent)","FDI inflow","-1.350","2.464","0.596","[-8.660, 3.236]","85","reported"
"Economic","NV9","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","FDI inflow","-0.928","1.947","0.649","[-5.006, 3.393]","49","reported"
"Economic","NV9_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","FDI inflow","-1.179","1.386","0.395","[-3.896, 1.539]","49","reported"
"Economic","NV6","Firth PML","concession (nonviolent)","Trade openness","19.210","9.663","0.042","[0.702, 41.031]","80","reported"
"Economic","NV10","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","Trade openness","6.268","10.555","0.574","[-15.775, 30.772]","47","reported"
"Economic","NV10_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","Trade openness","10.541","13.973","0.451","[-16.847, 37.929]","47","reported"
"Economic","NV7","Firth PML","concession (nonviolent)","ln(Aid)","12.843","10.163","0.208","[-7.067, 35.940]","36","reported"
"Economic","NV11","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","ln(Aid)","8.332","7.713","0.857","[-28.699, 27.998]","44","reported"
"Economic","NV11_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","ln(Aid)","","","","","44","gee_error_not_reported"
"Economic","NV8","Firth PML","concession (nonviolent)","IO donor count","7.542","4.045","0.042","[0.221, 18.633]","36","reported"
"Economic","NV12","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","IO donor count","1.623","3.524","0.740","[-7.670, 10.189]","44","reported"
"Economic","NV12_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","IO donor count","","","","","44","gee_error_not_reported"
"Domestic","NV13","Firth PML","concession (nonviolent)","CSO repression","15.352","8.077","0.054","[-0.267, 33.828]","81","reported"
"Domestic","NV17","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","CSO repression","8.644","10.528","0.415","[-11.424, 36.569]","49","reported"
"Domestic","NV17_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","CSO repression","9.873","13.056","0.450","[-15.717, 35.464]","49","reported"
"Domestic","NV14","Firth PML","concession (nonviolent)","Civil liberties","84.140","49.883","0.090","[-12.623, 192.900]","85","reported"
"Domestic","NV18","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","Civil liberties","40.075","64.417","0.549","[-93.767, 178.953]","49","reported"
"Domestic","NV18_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","Civil liberties","26.535","88.942","0.765","[-147.791, 200.861]","49","reported"
"Domestic","NV15","Firth PML","concession (nonviolent)","Political liberty","87.909","46.206","0.056","[-2.245, 189.237]","85","reported"
"Domestic","NV19","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","Political liberty","35.624","57.073","0.552","[-82.082, 162.197]","49","reported"
"Domestic","NV19_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","Political liberty","25.555","75.003","0.733","[-121.450, 172.560]","49","reported"
"Domestic","NV16","Firth PML","concession (nonviolent)","Polity","3.810","2.245","0.093","[-0.621, 8.780]","81","reported"
"Domestic","NV20","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","Polity","1.770","2.194","0.428","[-2.559, 6.954]","47","reported"
"Domestic","NV20_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","Polity","1.773","2.953","0.548","[-4.016, 7.561]","47","reported"
