"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","2.162","0.628","-3.607","-1.027","436.497***","38.622***","6.708","6.435"
"","(4.365)","(4.576)","(9.546)","(9.771)","(6.368)","(13.019)","(13.478)","(11.554)"
"Domestic Autonomy","0.028","","-0.188","","-39.233***","","-1.166*",""
"","(0.170)","","(0.323)","","(0.240)","","(0.629)",""
"Proportion English-Language Signs X Domestic Autonomy","-1.243","","2.255","","410.990***","","-1.854",""
"","(5.441)","","(9.017)","","(6.223)","","(12.682)",""
"State Authority Over Territory","","0.010","","-0.033","","-0.261**","","-0.064"
"","","(0.012)","","(0.024)","","(0.118)","","(0.049)"
"Proportion English-Language Signs X State Authority Over Territory","","-0.141","","0.563","","-2.136","","0.278"
"","","(0.329)","","(0.639)","","(1.977)","","(0.694)"
"Campaign Length, in Years (ln)","","","0.677","0.665","","","",""
"","","","(0.510)","(0.519)","","","",""
"Time in Campaign (years)","","","","","","","0.263","0.106"
"","","","","","","","(0.439)","(0.393)"
"Campaign Primarily Nonviolent","-0.451","-0.648","0.447","0.711","43.139***","35.680***","1.096","1.183"
"","(0.648)","(0.764)","(1.070)","(1.150)","(0.037)","(9.905)","(1.706)","(1.754)"
"Campaign Purpose Regime Change","-0.306","-0.257","-0.258","-0.392","25.227***","20.071***","1.005","0.516"
"","(0.493)","(0.513)","(0.994)","(1.001)","(1.047)","(1.756)","(1.483)","(1.313)"
"Campaign Location V-Dem CSO Repression","-0.317**","-0.302**","0.255","0.288","28.973***","-0.058","0.251","-0.162"
"","(0.135)","(0.138)","(0.255)","(0.260)","(0.075)","(0.476)","(0.414)","(0.394)"
"Number of Images on Campaign (ln)","0.141","0.143","-0.021","-0.008","","","",""
"","(0.125)","(0.132)","(0.270)","(0.279)","","","",""
"Number of Images in Campaign-Year (ln)","","","","","11.532***","-0.444","-0.185","-0.546"
"","","","","","(0.074)","(0.405)","(0.554)","(0.561)"
"Constant","2.024*","2.167*","-2.466","-2.685","","","-3.976","-1.541"
"","(1.155)","(1.246)","(1.977)","(2.027)","","","(4.116)","(3.352)"
"","","","","","","","",""
"Observations","101","101","101","101","64","64","65","65"
"EPV (Firth only; * = <5)","","","1.3*","1.3*","","","0.2*","0.2*"
