"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","1.687","1.419","-2.378","-1.848","15.886","11.856","11.631","9.819"
"","(4.344)","(4.433)","(2.660)","(2.522)","(10.965)","(8.515)","(10.001)","(9.179)"
"Domestic Autonomy","0.105","","0.248*","","-1.099***","","-1.271***",""
"","(0.158)","","(0.144)","","(0.408)","","(0.421)",""
"Proportion English-Language Signs X Domestic Autonomy","-7.182","","-2.830","","17.946*","","16.295",""
"","(5.305)","","(2.880)","","(10.890)","","(11.998)",""
"State Authority Over Territory","","0.010","","0.012","","-0.046*","","-0.057"
"","","(0.012)","","(0.010)","","(0.024)","","(0.037)"
"Proportion English-Language Signs X State Authority Over Territory","","-0.285","","-0.065","","0.341","","0.354"
"","","(0.319)","","(0.163)","","(0.621)","","(0.550)"
"Campaign Length, in Years (ln)","0.393*","0.405*","","","","","",""
"","(0.231)","(0.235)","","","","","",""
"Time in Campaign (years)","","","0.084","0.087","","","-0.077","-0.075"
"","","","(0.104)","(0.099)","","","(0.292)","(0.252)"
"Campaign Primarily Nonviolent","0.276","0.092","-0.129","-0.185","0.809","0.946","1.007","1.244"
"","(0.512)","(0.566)","(0.264)","(0.313)","(0.505)","(0.625)","(0.683)","(0.881)"
"Campaign Purpose Regime Change","-0.816","-0.767","-0.097","-0.059","0.766","0.462","0.596","0.556"
"","(0.667)","(0.660)","(0.238)","(0.235)","(0.976)","(0.986)","(0.914)","(0.799)"
"Campaign Location V-Dem CSO Repression","-0.208*","-0.210*","-0.239***","-0.177**","1.137***","0.766***","1.227***","0.832**"
"","(0.108)","(0.107)","(0.093)","(0.082)","(0.392)","(0.283)","(0.381)","(0.377)"
"Number of Images on Campaign (ln)","-0.006","-0.025","","","","","",""
"","(0.121)","(0.121)","","","","","",""
"Number of Images in Campaign-Year (ln)","","","-0.155","-0.124","0.508*","0.375","0.547","0.388"
"","","","(0.103)","(0.098)","(0.308)","(0.305)","(0.377)","(0.412)"
"Constant","","","","","","","-5.313**","-4.523*"
"","","","","","","","(2.249)","(2.315)"
"","","","","","","","",""
"Observations","101","101","65","65","65","65","65","65"
"EPV (* = <5)","","","","","2.1*","2.1*","1.7*","1.7*"
