"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","2.478","2.017","-1.500","-1.914","16.220","10.712","14.392","11.654"
"","(3.745)","(3.783)","(7.817)","(7.995)","(15.791)","(11.189)","(12.011)","(11.330)"
"Domestic Autonomy","0.017","","-0.159","","-1.297***","","-1.317**",""
"","(0.139)","","(0.287)","","(0.439)","","(0.615)",""
"Proportion English-Language Signs X Domestic Autonomy","-6.068","","11.044","","1.000","","1.629",""
"","(4.837)","","(9.444)","","(6.923)","","(11.256)",""
"State Authority Over Territory","","-0.004","","-0.010","","-0.066***","","-0.080**"
"","","(0.011)","","(0.023)","","(0.020)","","(0.038)"
"Proportion English-Language Signs X State Authority Over Territory","","-0.120","","0.276","","0.032","","-0.000"
"","","(0.272)","","(0.545)","","(0.436)","","(0.664)"
"Campaign Length, in Years (ln)","","","-0.948**","-0.982**","","","",""
"","","","(0.439)","(0.446)","","","",""
"Time in Campaign (years)","","","","","","","0.091","0.044"
"","","","","","","","(0.453)","(0.439)"
"Campaign Primarily Nonviolent","0.063","-0.074","-0.731","-0.510","2.075*","2.320*","1.803","2.425"
"","(0.613)","(0.673)","(0.914)","(1.012)","(1.079)","(1.202)","(1.267)","(1.506)"
"Campaign Purpose Regime Change","-11.352","-11.244","1.777","1.729","19.076***","17.951***","1.652","0.981"
"","(3269.165)","(3301.631)","(1.384)","(1.374)","(0.941)","(0.838)","(1.383)","(1.336)"
"Campaign Location V-Dem CSO Repression","-0.401***","-0.368***","0.301","0.300","1.055***","0.783***","0.971**","0.736**"
"","(0.117)","(0.110)","(0.197)","(0.194)","(0.370)","(0.299)","(0.379)","(0.344)"
"Number of Images on Campaign (ln)","0.307***","0.295***","0.006","0.038","","","",""
"","(0.101)","(0.099)","(0.223)","(0.222)","","","",""
"Number of Images in Campaign-Year (ln)","","","","","0.932*","0.786*","0.800*","0.647"
"","","","","","(0.515)","(0.446)","(0.435)","(0.423)"
"Constant","11.344","11.382","-1.297","-1.600","","","-8.780**","-7.867**"
"","(3269.165)","(3301.632)","(1.873)","(1.929)","","","(3.584)","(3.265)"
"","","","","","","","",""
"Observations","101","101","101","101","65","65","65","65"
"EPV (Firth only; * = <5)","","","3.7*","3.7*","","","0.9*","0.9*"
