"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","15.383**","6.716","19.323*","14.645","7.057","3.296","20.064*","4.992"
"","(7.065)","(8.753)","(11.526)","(10.713)","(7.996)","(9.726)","(11.680)","(9.597)"
"Campaign Location FDI Inflows (% of GDP)","0.028","0.007","","","","","",""
"","(0.097)","(0.081)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-0.569","-0.905","","","","","",""
"","(1.534)","(1.882)","","","","","",""
"International Trade Freedom","","","1.415***","0.990**","","","",""
"","","","(0.342)","(0.468)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","6.944","-1.193","","","",""
"","","","(8.068)","(7.612)","","","",""
"Foreign Aid (ln)","","","","","0.108","0.160","",""
"","","","","","(0.243)","(0.252)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","5.989","3.521","",""
"","","","","","(8.307)","(7.210)","",""
"Number of IO Donors","","","","","","","0.109","-0.035"
"","","","","","","","(0.188)","(0.115)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-7.045","-0.461"
"","","","","","","","(4.388)","(3.177)"
"Time in Campaign (years)","","-0.123","","0.041","","-0.103","","0.023"
"","","(0.324)","","(0.366)","","(0.371)","","(0.414)"
"Campaign Primarily Nonviolent","-0.124","-0.103","1.168","0.713","0.633","0.184","1.119","0.470"
"","(0.759)","(0.868)","(0.812)","(1.027)","(1.002)","(0.897)","(0.867)","(0.926)"
"Campaign Purpose Regime Change","0.548","0.635","1.663","1.416","-0.729","0.273","-1.185","-0.049"
"","(0.944)","(0.806)","(1.247)","(1.001)","(1.246)","(0.928)","(1.236)","(0.871)"
"Campaign Location V-Dem CSO Repression","0.670**","0.576*","0.732*","0.277","1.156***","0.794***","1.479***","0.837***"
"","(0.262)","(0.306)","(0.437)","(0.338)","(0.274)","(0.320)","(0.417)","(0.337)"
"Number of Images in Campaign-Year (ln)","0.524","0.275","1.131**","0.500","1.345***","0.579","1.837***","0.737*"
"","(0.377)","(0.359)","(0.457)","(0.386)","(0.455)","(0.418)","(0.513)","(0.432)"
"Campaign-Year GDP per Capita (ln)","-0.189","0.068","-1.037**","-0.598","-0.898*","-0.197","-0.959*","-0.461"
"","(0.404)","(0.355)","(0.501)","(0.510)","(0.532)","(0.426)","(0.528)","(0.525)"
"Constant","","-3.107","","-0.762","","-2.689","","-1.565"
"","","(3.061)","","(3.520)","","(3.150)","","(3.709)"
"","","","","","","","",""
"Observations","55","61","54","60","53","59","53","59"
