"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","22.939*","12.303","34.740**","26.944","3.347","6.778","32.061*","8.934"
"","(13.111)","(10.582)","(17.112)","(15.152)","(8.692)","(10.145)","(19.484)","(11.173)"
"Proportion of English-Language Signs Squared","-517.787**","-332.077","-595.883","-414.238","-947.082","-147.359","-974.950*","-250.429"
"","(227.510)","(224.509)","(420.231)","(287.504)","(576.966)","(226.997)","(514.878)","(229.402)"
"Campaign Location FDI Inflows (% of GDP)","0.005","-0.009","","","","","",""
"","(0.088)","(0.083)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-3.231","-1.846","","","","","",""
"","(4.244)","(2.285)","","","","","",""
"Proportion English-Language Signs Squared X FDI Inflows (% of GDP)","1.303","16.971","","","","","",""
"","(37.906)","(34.138)","","","","","",""
"International Trade Freedom","","","2.754***","2.198***","","","",""
"","","","(0.628)","(0.752)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","18.930**","-2.041","","","",""
"","","","(9.477)","(9.972)","","","",""
"Proportion English-Language Signs Squared X International Trade Freedom","","","-611.000**","-361.904*","","","",""
"","","","(284.206)","(202.959)","","","",""
"Foreign Aid (ln)","","","","","0.331","0.413","",""
"","","","","","(0.213)","(0.316)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","21.697","4.065","",""
"","","","","","(17.363)","(5.773)","",""
"Proportion English-Language Signs Squared X Foreign Aid (ln)","","","","","-303.661","-228.175","",""
"","","","","","(349.220)","(166.722)","",""
"Number of IO Donors","","","","","","","0.083","-0.036"
"","","","","","","","(0.194)","(0.119)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-10.173","-1.852"
"","","","","","","","(6.629)","(3.460)"
"Proportion English-Language Signs Squared X Number of IO Donors","","","","","","","65.310","31.325"
"","","","","","","","(115.028)","(72.638)"
"Time in Campaign (years)","","-0.088","","0.123","","-0.080","","0.074"
"","","(0.328)","","(0.460)","","(0.396)","","(0.438)"
"Campaign Primarily Nonviolent","-0.007","0.024","1.449**","1.155","1.638","0.429","1.904*","0.581"
"","(0.705)","(0.870)","(0.667)","(1.146)","(1.656)","(0.903)","(1.133)","(0.937)"
"Campaign Purpose Regime Change","0.566","0.625","3.424***","2.685**","-3.248","-0.093","-3.305**","-0.147"
"","(0.939)","(0.781)","(0.819)","(1.327)","(2.027)","(0.943)","(1.610)","(0.866)"
"Campaign Location V-Dem CSO Repression","0.608**","0.548*","0.572","0.289","1.667***","0.884***","1.747***","0.810**"
"","(0.252)","(0.308)","(0.427)","(0.377)","(0.513)","(0.359)","(0.543)","(0.346)"
"Number of Images in Campaign-Year (ln)","0.369","0.182","0.980*","0.463","2.806**","0.599","2.614***","0.651"
"","(0.444)","(0.364)","(0.503)","(0.427)","(1.272)","(0.451)","(1.003)","(0.437)"
"Campaign-Year GDP per Capita (ln)","-0.248","0.056","-1.617***","-1.108*","-2.086**","-0.335","-1.784***","-0.471"
"","(0.400)","(0.362)","(0.413)","(0.621)","(1.018)","(0.447)","(0.651)","(0.521)"
"Constant","","-2.340","","2.042","","-1.471","","-0.870"
"","","(3.196)","","(4.086)","","(3.235)","","(3.765)"
"","","","","","","","",""
"Observations","55","61","54","60","53","59","53","59"
