"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","11.966","8.647","20.715*","15.704","9.041","10.420","8.360","11.039"
"","(8.270)","(9.309)","(12.019)","(12.748)","(7.661)","(9.823)","(12.020)","(15.335)"
"Campaign Location FDI Inflows (% of GDP)","-0.008","0.006","","","","","",""
"","(0.086)","(0.105)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-1.082","-0.915","","","","","",""
"","(1.383)","(1.851)","","","","","",""
"International Trade Freedom","","","1.343***","1.529***","","","",""
"","","","(0.335)","(0.558)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","2.992","3.571","","","",""
"","","","(6.972)","(11.679)","","","",""
"Foreign Aid (ln)","","","","","0.221","0.314","",""
"","","","","","(0.257)","(0.334)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","-2.873","-4.118","",""
"","","","","","(6.812)","(9.264)","",""
"Number of IO Donors","","","","","","","0.006","-0.079"
"","","","","","","","(0.148)","(0.182)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-1.349","-2.391"
"","","","","","","","(4.105)","(5.566)"
"Time in Campaign (years)","","-0.152","","0.120","","-0.088","","0.191"
"","","(0.261)","","(0.296)","","(0.274)","","(0.441)"
"Campaign Primarily Nonviolent","0.083","0.015","1.396*","1.068","0.692","0.800","0.736","0.953"
"","(0.711)","(0.821)","(0.784)","(0.823)","(0.935)","(1.140)","(0.966)","(1.072)"
"Campaign Purpose Regime Change","0.704","0.780","1.950*","2.052*","-0.277","-0.130","-0.398","0.051"
"","(0.818)","(0.799)","(1.101)","(1.201)","(0.875)","(1.036)","(0.751)","(0.921)"
"Campaign Location V-Dem CSO Repression","0.608**","0.734**","0.614","0.487","0.892***","1.169***","0.965**","1.228**"
"","(0.241)","(0.341)","(0.374)","(0.478)","(0.282)","(0.408)","(0.385)","(0.533)"
"Number of Images in Campaign-Year (ln)","0.387","0.385","1.017***","0.748*","0.786*","1.027","0.945*","1.223*"
"","(0.325)","(0.390)","(0.384)","(0.453)","(0.435)","(0.629)","(0.532)","(0.732)"
"Campaign-Year GDP per Capita (ln)","-0.049","0.052","-0.901**","-0.782","-0.491","-0.640","-0.551","-0.935"
"","(0.379)","(0.453)","(0.437)","(0.519)","(0.515)","(0.644)","(0.524)","(0.684)"
"Constant","","-3.917","","-1.966","","-2.160","","-1.487"
"","","(3.198)","","(4.196)","","(3.461)","","(4.885)"
"","","","","","","","",""
"Observations","61","61","60","60","59","59","59","59"
