"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","14.036","18.193","54.418","32.587","11.349","10.557","39.197**","31.614*"
"","(20.037)","(13.138)","(43.769)","(17.343)","(10.747)","(12.219)","(17.944)","(16.882)"
"Campaign Location FDI Inflows (% of GDP)","-0.183","-0.088","","","","","",""
"","(0.306)","(0.138)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-10.464","-5.203","","","","","",""
"","(7.780)","(2.869)","","","","","",""
"International Trade Freedom","","","1.684**","0.820","","","",""
"","","","(0.838)","(0.661)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","18.762","-11.135","","","",""
"","","","(14.200)","(9.849)","","","",""
"Foreign Aid (ln)","","","","","0.371","0.277","",""
"","","","","","(0.357)","(0.302)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","19.614","14.742","",""
"","","","","","(13.939)","(8.054)","",""
"Number of IO Donors","","","","","","","0.129","0.056"
"","","","","","","","(0.177)","(0.138)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-12.039**","-9.558"
"","","","","","","","(5.132)","(5.182)"
"Time in Campaign (years)","","0.204","","0.710","","0.199","","0.947"
"","","(0.495)","","(0.549)","","(0.489)","","(0.705)"
"Campaign Primarily Nonviolent","2.518","2.069","26.603***","4.316**","2.967","1.641","3.206","2.567*"
"","(2.227)","(1.285)","(3.178)","(1.767)","(2.716)","(1.227)","(2.418)","(1.390)"
"Campaign Purpose Regime Change","19.135***","1.842","21.211***","2.380","20.162***","3.033","19.509***","2.024"
"","(1.494)","(1.511)","(1.628)","(1.609)","(1.578)","(1.833)","(1.171)","(1.536)"
"Campaign Location V-Dem CSO Repression","0.858**","0.741","1.272*","0.519","0.802***","0.657*","1.252***","1.152**"
"","(0.348)","(0.430)","(0.746)","(0.430)","(0.236)","(0.337)","(0.363)","(0.523)"
"Number of Images in Campaign-Year (ln)","1.561***","1.232*","3.565**","1.388*","1.303**","0.766","1.947***","1.671**"
"","(0.589)","(0.629)","(1.755)","(0.678)","(0.630)","(0.527)","(0.701)","(0.765)"
"Campaign-Year GDP per Capita (ln)","-0.989","-0.875","-3.929***","-1.997**","-1.190","-0.562","-1.321*","-1.050"
"","(0.870)","(0.535)","(1.219)","(0.861)","(1.158)","(0.515)","(0.798)","(0.665)"
"Constant","","-4.905","","-0.336","","-5.502","","-7.709"
"","","(3.986)","","(4.282)","","(3.881)","","(4.941)"
"","","","","","","","",""
"Observations","61","61","60","60","59","59","59","59"
