"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs (centered)","7.078","9.520","6.485","8.114","1.183","3.026","1.794","5.409"
"","(7.310)","(7.797)","(8.141)","(9.437)","(9.544)","(9.611)","(9.561)","(9.663)"
"Campaign Location V-Dem CSO Repression (centered)","0.739***","","","","0.697**","","",""
"","(0.257)","","","","(0.315)","","",""
"Campaign Location V-Dem Civil Liberties (centered)","","-6.900**","","","","-4.366","",""
"","","(3.353)","","","","(3.695)","",""
"Campaign Location V-Dem Political Liberty (centered)","","","-5.104","","","","-4.794",""
"","","","(4.079)","","","","(4.503)",""
"Campaign Location Polity Score (centered)","","","","-0.125","","","","-0.193**"
"","","","","(0.086)","","","","(0.096)"
"Eng x CSO Repression","8.179","","","","8.153","","",""
"","(5.252)","","","","(8.476)","","",""
"Eng x Civil Liberties","","85.070**","","","","52.018","",""
"","","(39.103)","","","","(51.119)","",""
"Eng x Political Liberty","","","50.399*","","","","47.233",""
"","","","(27.943)","","","","(47.431)",""
"Eng x Polity Score","","","","3.352*","","","","2.590"
"","","","","(1.969)","","","","(1.983)"
"Campaign Primarily Nonviolent","0.088","0.781","0.247","0.471","-0.012","0.344","0.081","0.186"
"","(0.853)","(0.692)","(0.754)","(0.604)","(0.906)","(0.926)","(0.884)","(0.983)"
"Campaign Purpose Regime Change","0.263","0.232","0.117","0.190","0.428","0.318","0.350","0.622"
"","(0.881)","(1.001)","(0.936)","(1.038)","(0.802)","(0.824)","(0.815)","(0.912)"
"CSO Repression (control)","","1.793***","1.632**","1.156***","","1.319**","1.506*","1.404***"
"","","(0.542)","(0.756)","(0.285)","","(0.645)","(0.890)","(0.490)"
"Time in Campaign (years)","","","","","-0.109","-0.027","-0.062","-0.083"
"","","","","","(0.327)","(0.323)","(0.315)","(0.333)"
"Number of Images in Campaign-Year (ln)","0.412","0.481","0.513","0.831**","0.268","0.314","0.363","0.741*"
"","(0.359)","(0.330)","(0.400)","(0.377)","(0.336)","(0.346)","(0.353)","(0.406)"
"Campaign-Year GDP per capita (ln)","-0.124","-0.332","-0.376","-0.016","0.057","-0.061","-0.228","0.196"
"","(0.416)","(0.395)","(0.474)","(0.444)","(0.348)","(0.351)","(0.415)","(0.397)"
"Constant","","","","","-3.037","-2.548","-1.152","-6.549*"
"","","","","","(2.888)","(3.009)","(3.331)","(3.760)"
"","","","","","","","",""
"Observations","58","58","58","56","64","64","64","62"
"EPV (* = <5)","1.9*","1.6*","1.6*","1.6*","1.7*","1.5*","1.5*","1.5*"
