"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs (centered)","18.767","28.408","12.486","12.768","15.513","17.396","14.300","12.432"
"","(12.620)","(23.733)","(16.286)","(15.191)","(11.699)","(13.072)","(12.087)","(12.154)"
"Campaign Location V-Dem CSO Repression (centered)","0.793***","","","","0.677*","","",""
"","(0.290)","","","","(0.364)","","",""
"Campaign Location V-Dem Civil Liberties (centered)","","-29.292***","","","","-10.571**","",""
"","","(10.626)","","","","(4.815)","",""
"Campaign Location V-Dem Political Liberty (centered)","","","-12.158*","","","","-6.411",""
"","","","(6.719)","","","","(5.479)",""
"Campaign Location Polity Score (centered)","","","","0.022","","","","-0.005"
"","","","","(0.139)","","","","(0.100)"
"Eng x CSO Repression","-2.719","","","","-3.863","","",""
"","(5.612)","","","","(7.362)","","",""
"Eng x Civil Liberties","","-56.839","","","","-18.296","",""
"","","(55.644)","","","","(56.576)","",""
"Eng x Political Liberty","","","-29.629","","","","-20.644",""
"","","","(55.177)","","","","(45.359)",""
"Eng x Polity Score","","","","2.220","","","","0.586"
"","","","","(3.077)","","","","(2.327)"
"Campaign Primarily Nonviolent","2.674","6.819**","2.334","2.871","1.614","2.310*","1.433","1.532"
"","(2.206)","(3.195)","(1.449)","(2.902)","(1.180)","(1.248)","(1.096)","(1.131)"
"Campaign Purpose Regime Change","18.795***","12.485***","17.540***","18.036***","1.414","1.522","1.144","1.184"
"","(1.040)","(2.915)","(1.174)","(2.085)","(1.363)","(1.646)","(1.359)","(1.402)"
"CSO Repression (control)","","7.298**","3.401**","0.802***","","2.387***","1.877","0.642"
"","","(2.909)","(1.574)","(0.309)","","(0.877)","(1.097)","(0.422)"
"Time in Campaign (years)","","","","","0.188","0.661","0.299","0.091"
"","","","","","(0.469)","(0.555)","(0.459)","(0.442)"
"Number of Images in Campaign-Year (ln)","1.319**","4.703**","1.836***","1.491**","0.931*","1.086*","0.970*","0.928*"
"","(0.570)","(2.378)","(0.704)","(0.745)","(0.507)","(0.593)","(0.516)","(0.506)"
"Campaign-Year GDP per capita (ln)","-1.113","-4.153**","-1.551***","-1.160","-0.805","-1.126*","-0.970*","-0.653"
"","(0.803)","(1.843)","(0.496)","(1.418)","(0.499)","(0.558)","(0.533)","(0.527)"
"Constant","","","","","-2.958","-2.736","-1.479","-3.446"
"","","","","","(3.507)","(4.014)","(3.840)","(3.874)"
"","","","","","","","",""
"Observations","64","64","64","62","64","64","64","62"
"EPV (* = <5)","1.1*","1.0*","1.0*","1.0*","0.9*","0.8*","0.8*","0.8*"
