"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs (centered)","4.563","3.447","4.479","6.047","-0.744","-0.804","-0.438","-1.678"
"","(5.021)","(4.633)","(4.908)","(5.094)","(2.687)","(2.788)","(2.778)","(2.825)"
"Campaign Location V-Dem CSO Repression (centered)","-0.392**","","","","-0.180**","","",""
"","(0.159)","","","","(0.087)","","",""
"Campaign Location V-Dem Civil Liberties (centered)","","0.152","","","","1.201","",""
"","","(1.037)","","","","(1.121)","",""
"Campaign Location V-Dem Political Liberty (centered)","","","-0.652","","","","1.065",""
"","","","(1.193)","","","","(1.326)",""
"Campaign Location Polity Score (centered)","","","","0.044","","","","0.031"
"","","","","(0.037)","","","","(0.027)"
"Eng x CSO Repression","-5.612","","","","-2.152","","",""
"","(4.114)","","","","(2.326)","","",""
"Eng x Civil Liberties","","-31.831","","","","-17.074","",""
"","","(22.149)","","","","(14.485)","",""
"Eng x Political Liberty","","","-34.246","","","","-13.544",""
"","","","(23.583)","","","","(13.605)",""
"Eng x Polity Score","","","","-2.324**","","","","-0.575"
"","","","","(1.171)","","","","(0.578)"
"Campaign Primarily Nonviolent","-0.150","0.033","0.013","0.061","-0.012","-0.102","-0.019","-0.019"
"","(0.516)","(0.523)","(0.507)","(0.534)","(0.265)","(0.275)","(0.261)","(0.279)"
"Campaign Purpose Regime Change","-0.690","-0.775","-0.781","-0.783","-0.073","-0.026","-0.046","-0.120"
"","(0.675)","(0.682)","(0.688)","(0.710)","(0.235)","(0.244)","(0.240)","(0.265)"
"Polity Score (control)","0.046","","","","","","",""
"","(0.038)","","","","","","",""
"CSO Repression (control)","","-0.264","-0.127","-0.405**","","-0.361*","-0.364","-0.301**"
"","","(0.191)","(0.235)","(0.161)","","(0.193)","(0.261)","(0.130)"
"Time in Campaign (years)","","","","","0.099","0.074","0.086","0.107"
"","","","","","(0.103)","(0.103)","(0.102)","(0.105)"
"Campaign Length, in Years (ln)","0.538**","0.409*","0.425*","0.666**","","","",""
"","(0.256)","(0.243)","(0.246)","(0.275)","","","",""
"Number of Images on Campaign (ln)","-0.148","-0.102","-0.095","-0.261","-0.135","-0.151","-0.154","-0.226*"
"","(0.145)","(0.135)","(0.134)","(0.163)","(0.102)","(0.106)","(0.106)","(0.120)"
"Campaign Location GDP per capita (ln, 1.3)","0.150","0.116","0.120","0.171","","","",""
"","(0.142)","(0.133)","(0.132)","(0.145)","","","",""
"Campaign-Year GDP per capita (ln, 2.1)","","","","","0.025","0.055","0.089","-0.015"
"","","","","","(0.105)","(0.107)","(0.126)","(0.120)"
"","","","","","","","",""
"Observations","94","98","98","94","64","64","64","62"
"EPV (* = <5)","","","","","","","",""
