"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs (centered)","3.045","2.277","3.227","0.545","-1.887","-2.361","-1.963","-5.361"
"","(4.495)","(4.173)","(4.641)","(4.074)","(8.830)","(8.103)","(8.657)","(9.123)"
"Campaign Location V-Dem CSO Repression (centered)","-0.309**","","","","0.559**","","",""
"","(0.149)","","","","(0.273)","","",""
"Campaign Location V-Dem Civil Liberties (centered)","","-0.252","","","","-0.360","",""
"","","(1.050)","","","","(1.885)","",""
"Campaign Location V-Dem Political Liberty (centered)","","","-1.273","","","","1.616",""
"","","","(1.210)","","","","(2.176)",""
"Campaign Location Polity Score (centered)","","","","-0.034","","","","-0.058"
"","","","","(0.035)","","","","(0.068)"
"Eng x CSO Repression","-2.859","","","","2.948","","",""
"","(3.499)","","","","(6.430)","","",""
"Eng x Civil Liberties","","-12.650","","","","25.668","",""
"","","(20.134)","","","","(36.393)","",""
"Eng x Political Liberty","","","-15.793","","","","21.535",""
"","","","(21.637)","","","","(38.972)",""
"Eng x Polity Score","","","","0.356","","","","2.478"
"","","","","(0.940)","","","","(2.033)"
"Campaign Primarily Nonviolent","-0.373","-0.300","-0.290","-0.486","-0.096","-0.200","-0.218","-0.280"
"","(0.523)","(0.623)","(0.538)","(0.567)","(0.912)","(0.918)","(0.894)","(0.929)"
"Campaign Purpose Regime Change","-11.213","-11.131","-11.093","-11.222","1.587","1.680","1.716","1.595"
"","(3331.108)","(3197.530)","(3177.780)","(3351.511)","(1.380)","(1.382)","(1.397)","(1.397)"
"Polity Score (control)","-0.037","","","","-0.051","","",""
"","(0.034)","","","","(0.070)","","",""
"CSO Repression (control)","","-0.367**","-0.205","-0.293*","","0.421","0.085","0.585**"
"","","(0.174)","(0.209)","(0.153)","","(0.343)","(0.424)","(0.275)"
"Campaign Length, in Years (ln)","","","","","-1.280***","-0.991**","-1.045**","-1.365***"
"","","","","","(0.488)","(0.454)","(0.466)","(0.497)"
"Number of Images on Campaign (ln)","0.232**","0.226**","0.221**","0.257**","0.290","0.175","0.171","0.391"
"","(0.118)","(0.109)","(0.110)","(0.120)","(0.270)","(0.248)","(0.248)","(0.288)"
"Campaign Location GDP per capita (ln)","0.118","0.058","0.045","0.102","-0.371","-0.274","-0.265","-0.368"
"","(0.117)","(0.101)","(0.101)","(0.121)","(0.271)","(0.246)","(0.245)","(0.271)"
"Constant","10.964","11.371","11.402","11.055","0.146","-0.414","-0.324","-0.628"
"","(3331.109)","(3197.530)","(3177.780)","(3351.511)","(2.271)","(2.236)","(2.167)","(2.307)"
"","","","","","","","",""
"Observations","94","98","98","94","94","98","98","94"
"EPV (* = <5)","3.4*","3.7*","3.7*","3.4*","3.1*","3.3*","3.3*","3.1*"
