"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","4.810","-10.333","3.784","-7.922","4.848","-10.492","2.220","-12.536"
"","(3.366)","(8.356)","(3.233)","(7.955)","(3.533)","(8.252)","(3.131)","(8.408)"
"Campaign Location V-Dem CSO Repression","-0.299***","0.789***","-0.328**","0.506","-0.250","0.348","-0.302**","0.786***"
"","(0.115)","(0.282)","(0.136)","(0.332)","(0.169)","(0.404)","(0.123)","(0.278)"
"Proportion English-Language Signs X V-Dem CSO Repression","-5.154*","15.063**","","","","","",""
"","(2.675)","(7.519)","","","","","",""
"V-Dem Civil Liberty Index","","","-0.515","-0.230","","","",""
"","","","(0.802)","(1.784)","","","",""
"Proportion English-Language Signs X V-Dem Civil Liberty Index","","","-23.737","77.965**","","","",""
"","","","(15.195)","(39.585)","","","",""
"V-Dem Political Liberty Index","","","","","-0.997","0.723","",""
"","","","","","(0.954)","(2.025)","",""
"Proportion English-Language Signs X V-Dem Political Liberty","","","","","-28.758*","83.809**","",""
"","","","","","(16.229)","(41.259)","",""
"Campaign Location Polity Score","-0.031","-0.096","","","","","-0.022","-0.087"
"","(0.025)","(0.063)","","","","","(0.026)","(0.063)"
"Proportion English-Language Signs X Polity","","","","","","","-0.123","4.819**"
"","","","","","","","(0.685)","(1.983)"
"Campaign Length, in Years (ln)","","-0.691","","-0.491","","-0.516","","-0.971**"
"","","(0.424)","","(0.406)","","(0.411)","","(0.467)"
"Campaign Primarily Nonviolent","-0.439","0.551","-0.173","0.045","-0.322","0.146","-0.445","0.065"
"","(0.389)","(0.839)","(0.443)","(0.854)","(0.403)","(0.819)","(0.402)","(0.860)"
"Campaign Purpose Regime Change","-0.874","0.859","-1.089*","1.073","-1.053*","1.059","-1.016*","1.087"
"","(0.576)","(0.949)","(0.584)","(0.982)","(0.572)","(0.984)","(0.579)","(1.016)"
"Number of Images on Campaign (ln)","0.188**","0.257","0.180**","0.183","0.163*","0.177","0.214**","0.492*"
"","(0.093)","(0.243)","(0.087)","(0.229)","(0.088)","(0.228)","(0.096)","(0.282)"
"Campaign Location GDP (ln)","0.068","-0.200","0.027","-0.145","0.030","-0.178","0.031","-0.252"
"","(0.084)","(0.231)","(0.078)","(0.224)","(0.078)","(0.222)","(0.088)","(0.240)"
"Constant","1.118","-0.568","1.521","-0.950","1.682*","-0.659","1.429","-1.681"
"","(0.923)","(2.014)","(0.935)","(2.012)","(0.888)","(1.931)","(1.000)","(2.069)"
"","","","","","","","",""
"Observations","94","94","98","98","98","98","94","94"
