"figure","title","file","version"
"Article Figure 1","Campaigns in NAVCO 1.3 in Non-English-Speaking Countries","publication_figures/article/Figure_1.png","Author-generated from the frozen analysis data"
"Article Figure 2","Protest Banner Photos of Campaigns in NAVCO 1.3 in Non-English-Speaking Countries","publication_figures/article/Figure_2.png","Accepted article image"
"Article Figure 5","Distribution of the Proportion of English-language Protest Signs in Campaigns in Non-English-Speaking Countries, 2009-2019","publication_figures/article/Figure_5.png","Accepted article image"
"Article Figure 6","Scattershot of the Proportion of English-language Protest Signs in Campaigns in Non-English-Speaking Countries, 2009-2019","publication_figures/article/Figure_6.png","Accepted article image"
"Article Figure 7","The Curvilinear Effects of Proportion of English-Language Signs During Campaign","output/figures/Figure_7.png","Reproduced from the supplied data and code"
"Article Figure 8","International Trade Freedom X Proportion of English-Language Signs During Campaign","output/figures/Figure_8.png","Reproduced from the supplied data and code"
"Article Figure 9","Vulnerability to Domestic Pressure X Proportion of English-Language Signs During Campaign","output/figures/Figure_9.png","Reproduced from the supplied data and code"
"Figure B1","Training results","publication_figures/appendix/Figure_B1.png","Accepted appendix image"
"Figure B2","Evaluation Plots","publication_figures/appendix/Figure_B2.png","Accepted appendix image"
"Figure B3","Distributions of the ground truth bounding boxes","publication_figures/appendix/Figure_B3.png","Accepted appendix image"
"Appendix Figure C1","Forest plot of the squared English-share (curvature) coefficient across all H1 specifications","publication_figures/appendix/Figure_C1_accepted.png","Accepted appendix image"
"Appendix Figure C1","Forest plot of the squared English-share (curvature) coefficient across all H1 specifications","output/figures/Figure_C1.png","Reproduced from the supplied data and code"
"Appendix Figure C2","Forest plot of the interaction coefficient across all specifications, faceted by moderator","publication_figures/appendix/Figure_C2_accepted.png","Accepted appendix image"
"Appendix Figure C2","Forest plot of the interaction coefficient across all specifications, faceted by moderator","output/figures/Figure_C2.png","Reproduced from the supplied data and code"
