"publication_figure","caption","display_path","artifact_role","source_document","source_asset_or_method","source_asset_sha256","display_sha256","width_px","height_px"
"Article Figure 1","Campaigns in NAVCO 1.3 in Non-English-Speaking Countries","publication_figures/article/Figure_1.png","author-generated web reference","data/df_final.csv","yearly BYEAR counts rendered in the author plot style; accepted Word EMF SHA-256 a2ee4989356df2fc967264f81598cd2ec65b572fe8f515ebc625c34915e55b9e","e43ec4118c7594788a62d0ec2d486d242e2706a10d1c4a68acbfc13b81f95764","8e267bc517b994757783126f6c452cb011d66b948711794cbd430232e19d6b10",2100,1200
"Article Figure 2","Protest Banner Photos of Campaigns in NAVCO 1.3 in Non-English-Speaking Countries (aggregate yearly photo-count plot)","publication_figures/article/Figure_2.png","accepted embedded reference","accepted article Word file","word/media/image2.png","a2bbbb21e79660587918ed290843c1620c5e8c9571ccc26309427e0391ccc01c","a2bbbb21e79660587918ed290843c1620c5e8c9571ccc26309427e0391ccc01c",967,642
"Article Figure 5","Distribution of the Proportion of English-language Protest Signs in Campaigns in Non-English-Speaking Countries, 2009-2019","publication_figures/article/Figure_5.png","accepted embedded reference","accepted article Word file","word/media/image5.png","471fae3c388f05185dea864a7cc66c2aa0881e38f56c2643abea785f95e41803","471fae3c388f05185dea864a7cc66c2aa0881e38f56c2643abea785f95e41803",1196,792
"Article Figure 6","Scattershot of the Proportion of English-language Protest Signs in Campaigns in Non-English-Speaking Countries, 2009-2019","publication_figures/article/Figure_6.png","accepted embedded reference","accepted article Word file","word/media/image6.png","43f155cfbf8721d54143c4c780d44e423da61057dd74bd6229ca99312b36bf40","43f155cfbf8721d54143c4c780d44e423da61057dd74bd6229ca99312b36bf40",1196,792
"Article Figure 7","The Curvilinear Effects of Proportion of English-Language Signs During Campaign","output/figures/Figure_7.png","code-generated reproduction","replication pipeline","code/R/31_build_main_figures.R","","f431bce0feb307b6445804bf5a2b071954c8b5acb5d89a8ada18f83e041dc2d6",2460,1260
"Article Figure 8","International Trade Freedom X Proportion of English-Language Signs During Campaign","output/figures/Figure_8.png","code-generated reproduction","replication pipeline","code/R/31_build_main_figures.R","","2ba248555977727d50fa4c6dd1975c36c6303d10f6a3c2728c235197f0c9266e",3300,1350
"Article Figure 9","Vulnerability to Domestic Pressure X Proportion of English-Language Signs During Campaign","output/figures/Figure_9.png","code-generated reproduction","replication pipeline","code/R/31_build_main_figures.R","","2a22960e8c7ea94e9b829759e41acab15f26d2812137fb250181760b66ff64bd",3150,1860
"Appendix Figure B1","Training results","publication_figures/appendix/Figure_B1.png","accepted embedded reference","full online appendix Word file","word/media/image1.png","7548e8a1b0acfd67689a5283e664a9e0dfbcba7fc57da5ba74748cdcaf77d399","7548e8a1b0acfd67689a5283e664a9e0dfbcba7fc57da5ba74748cdcaf77d399",1431,715
"Appendix Figure B2","Evaluation Plots","publication_figures/appendix/Figure_B2.png","accepted embedded reference","full online appendix Word file","word/media/image2.png","9df51713a3bbbc7eb2ebabe92be2687ca5b0d3970011c5b73c72c18f35423171","9df51713a3bbbc7eb2ebabe92be2687ca5b0d3970011c5b73c72c18f35423171",936,624
"Appendix Figure B3","Distributions of the ground truth bounding boxes","publication_figures/appendix/Figure_B3.png","accepted embedded reference","full online appendix Word file","word/media/image3.png","5cd9c1b0de0f002a2bb39b526b8a65fa5b59b80c69642f8a4aff59a50839c346","5cd9c1b0de0f002a2bb39b526b8a65fa5b59b80c69642f8a4aff59a50839c346",1430,794
"Appendix Figure C1","Forest plot of the squared English-share (curvature) coefficient across all H1 specifications","publication_figures/appendix/Figure_C1_accepted.png","accepted embedded reference","full online appendix Word file","word/media/image6.png","bb70dff7d4a274ce2fedbeca41ab2f27cf511a3b905d44e48c07a9c00d723884","bb70dff7d4a274ce2fedbeca41ab2f27cf511a3b905d44e48c07a9c00d723884",1800,1300
"Appendix Figure C1","Forest plot of the squared English-share (curvature) coefficient across all H1 specifications","output/figures/Figure_C1.png","code-generated reproduction","replication pipeline","code/R/36_build_appendix_power_inference.R","","70d13a7105b5cbae96aa5f5ff3266fc3f9180cea18d0f0d15759af13c9a009ff",2700,1950
"Appendix Figure C2","Forest plot of the interaction coefficient across all specifications, faceted by moderator","publication_figures/appendix/Figure_C2_accepted.png","accepted embedded reference","full online appendix Word file","word/media/image7.png","cfc8d275b80583cd26a2a3aaf7ff36e9879d71c82294b95da9577bff3ff674f7","cfc8d275b80583cd26a2a3aaf7ff36e9879d71c82294b95da9577bff3ff674f7",2200,1800
"Appendix Figure C2","Forest plot of the interaction coefficient across all specifications, faceted by moderator","output/figures/Figure_C2.png","code-generated reproduction","replication pipeline","code/R/36_build_appendix_power_inference.R","","0f276e0f3e0a36877cb6aee7fd849ae6cfb794f0dfbca05a1933fc02d7c5e13e",3300,2700
