"Family","Main table","Main-table model label","Estimator","Focal test","Power at fitted effect","False-positive rate","Status / note"
"H1","Table 1","M1","Weibull AFT","English share squared",0.409,0.032,""
"H1","Table 1","M1","Weibull AFT","English share + squared English share",0.282,0.042,""
"H1","Table 1","M2","Firth PML","English share squared",0.119,0.026,""
"H1","Table 1","M2","Firth PML","English share + squared English share",0.063,0.022,""
"H1","Table 1","M5","Firth PML","English share squared",0.114,0.001,""
"H1","Table 1","M5","Firth PML","English share + squared English share",0.048,0,""
"H2.1","Table 2","M1","Weibull AFT","English share x Domestic Autonomy",0.189,0.071,""
"H2.1","Table 2","M2","Weibull AFT","English share x State Authority Over Territory",0.113,0.07,""
"H2.1","Table 2","M3","Firth PML","English share x Domestic Autonomy",0.235,0.044,""
"H2.1","Table 2","M4","Firth PML","English share x State Authority Over Territory",0.197,0.06,""
"H2.1","Table 2","M9","Firth PML","English share x Domestic Autonomy",0.167,0.048,""
"H2.1","Table 2","M10","Firth PML","English share x State Authority Over Territory",0.059,0.043,""
"H2.2","Table 3","M1","Weibull AFT","English share x FDI inflows",0.393,0.078,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H2.2","Table 3","M2","Weibull AFT","English share x Trade openness",0.666,0.082,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H2.2","Table 3","M3","Weibull AFT","English share x Foreign aid",0.121,0.11,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H2.2","Table 3","M4","Weibull AFT","English share x IO donor count",0.203,0.131,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H2.2","Table 3","M5","Firth PML","English share x FDI inflows",0.049,0.04,""
"H2.2","Table 3","M6","Firth PML","English share x Trade openness",0.673,0.042,""
"H2.2","Table 3","M7","Firth PML","English share x Foreign aid",0.217,0.043,""
"H2.2","Table 3","M8","Firth PML","English share x IO donor count",0.695,0.043,""
"H3","Table 4","M1","Weibull AFT","English share x CSO repression",0.436,0.086,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H3","Table 4","M2","Weibull AFT","English share x Civil liberties",0.314,0.081,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H3","Table 4","M3","Weibull AFT","English share x Political liberty",0.377,0.079,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H3","Table 4","M4","Weibull AFT","English share x Polity",0.08,0.089,"Weibull nominal-Wald diagnostic; not size-calibrated."
"H3","Table 4","M5","Firth PML","English share x CSO repression",0.475,0.042,""
"H3","Table 4","M6","Firth PML","English share x Civil liberties",0.461,0.036,""
"H3","Table 4","M7","Firth PML","English share x Political liberty",0.47,0.04,""
"H3","Table 4","M8","Firth PML","English share x Polity",0.677,0.048,""
