"label","col1","col2","col3","col4"
"Proportion of English-Language Signs Squared","123.788","-212.087","-282.965","-552.027**"
"","(82.445)","(147.097)","(176.689)","(271.819)"
"Proportion of English-Language Signs","-23.294","42.651","75.647*","131.507**"
"","(18.289)","(31.763)","(41.102)","(63.470)"
"Campaign Primarily Nonviolent","-0.101","0.306","-0.019","0.043"
"","(0.307)","(0.710)","(0.591)","(0.760)"
"Campaign Purpose Regime Change","-1.014**","1.584","1.553**","1.785**"
"","(0.471)","(1.066)","(0.759)","(0.752)"
"Campaign Location V-Dem CSO Repression","-0.302***","0.580***","1.027***","1.207***"
"","(0.079)","(0.168)","(0.327)","(0.401)"
"Time in Campaign","","","","-0.167"
"","","","","(0.376)"
"Number of Images on Campaign (ln)","0.245***","-0.390**","",""
"","(0.080)","(0.163)","",""
"Number of Images in Campaign-Year (ln)","","","-0.048","-0.071"
"","","","(0.345)","(0.544)"
"Campaign Location Population (ln)","-0.007","0.089","",""
"","(0.061)","(0.114)","",""
"Campaign-Year Population (ln)","","","0.250","0.149"
"","","","(0.232)","(0.377)"
"English Colonial Legacy","-0.019","0.419","2.051***","2.464***"
"","(0.229)","(0.448)","(0.774)","(0.883)"
"Constant","2.003","","","-12.895**"
"","(1.471)","","","(5.539)"
"","","","",""
"Observations","100","100","65","65"
"EPV (* = <5)","5.0","5.6","1.9*","1.5*"
