"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","1.946","1.895","-3.052","-0.063","16.945","24.829","13.971","12.782"
"","(3.339)","(3.585)","(7.595)","(7.861)","(16.311)","(15.760)","(10.542)","(10.207)"
"Proportion of English-Language Signs squared","159.007**","138.609","-181.831","-279.800","-884.328*","-700.150**","-338.929","-315.844"
"","(80.203)","(92.936)","(196.040)","(214.073)","(476.920)","(281.500)","(227.330)","(223.767)"
"Domestic Autonomy","0.010","","-0.078","","-2.289***","","-1.733***",""
"","(0.128)","","(0.329)","","(0.511)","","(0.704)",""
"Proportion English-Language Signs X Domestic Autonomy","-5.442","","14.443","","40.671**","","11.189",""
"","(4.474)","","(9.975)","","(17.077)","","(12.264)",""
"Proportion English-Language Signs squared X Domestic Autonomy","29.978","","-220.254","","1187.061***","","471.709",""
"","(106.567)","","(198.977)","","(401.993)","","(344.609)",""
"State Authority Over Territory","","0.013","","-0.027","","-0.067***","","-0.059"
"","","(0.010)","","(0.027)","","(0.024)","","(0.039)"
"Proportion English-Language Signs X State Authority Over Territory","","-0.082","","0.729","","1.829***","","0.147"
"","","(0.313)","","(0.715)","","(0.679)","","(0.739)"
"Proportion English-Language Signs squared X State Authority Over Territory","","-7.912","","-5.940","","11.294","","-1.447"
"","","(8.139)","","(16.953)","","(20.172)","","(13.765)"
"Campaign Length, in Years (ln)","","","-0.441","-0.447","","","",""
"","","","(0.387)","(0.400)","","","",""
"Time in Campaign (years)","","","","","","","-0.335","-0.138"
"","","","","","","","(0.411)","(0.330)"
"Campaign Primarily Nonviolent","-0.050","-0.259","-0.308","0.124","1.331","0.380","1.041","1.130"
"","(0.424)","(0.447)","(0.821)","(0.918)","(0.930)","(0.714)","(0.977)","(1.124)"
"Campaign Purpose Regime Change","-0.883","-0.854","1.003","0.979","-0.087","0.959","0.493","0.407"
"","(0.572)","(0.561)","(0.934)","(0.941)","(0.922)","(1.197)","(0.802)","(0.789)"
"Campaign Location V-Dem CSO Repression","-0.380***","-0.352***","0.436**","0.437**","1.159***","0.740**","0.862***","0.556**"
"","(0.086)","(0.082)","(0.187)","(0.187)","(0.288)","(0.306)","(0.335)","(0.276)"
"Number of Images on Campaign (ln)","0.276***","0.291***","-0.030","-0.007","","","",""
"","(0.076)","(0.077)","(0.213)","(0.218)","","","",""
"Number of Images in Campaign-Year (ln)","","","","","0.803**","0.179","0.316","0.075"
"","","","","","(0.400)","(0.384)","(0.362)","(0.351)"
"Constant","0.798","0.825","-0.447","-0.830","","","-2.954","-2.030"
"","(0.826)","(0.859)","(1.645)","(1.679)","","","(2.430)","(2.230)"
"","","","","","","","",""
"Observations","101","101","101","101","59","59","65","65"
"EPV (Firth only; * = <5)","","","4.1*","4.1*","","","1.4*","1.4*"
