"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","3.470","-8.581","2.154","-4.528","1.162","-6.736","0.870","-7.921"
"","(2.588)","(7.941)","(3.087)","(8.508)","(3.605)","(9.786)","(3.766)","(11.252)"
"Campaign Location FDI Inflows (% of GDP)","0.062**","-0.167**","","","","","",""
"","(0.031)","(0.071)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-1.677*","0.201","","","","","",""
"","(0.902)","(2.163)","","","","","",""
"International Trade Freedom","","","0.156*","-0.522**","","","",""
"","","","(0.084)","(0.235)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","-5.794**","15.050**","","","",""
"","","","(2.299)","(6.710)","","","",""
"Foreign Aid (ln)","","","","","-0.160","0.192","",""
"","","","","","(0.119)","(0.248)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","0.687","12.875","",""
"","","","","","(3.986)","(9.317)","",""
"Number of IO Donors","","","","","","","-0.064","-0.034"
"","","","","","","","(0.048)","(0.114)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-0.779","10.346***"
"","","","","","","","(0.919)","(4.128)"
"Campaign Length, in Years (ln)","","-0.296","","-0.329","","-0.856","","-1.370**"
"","","(0.404)","","(0.446)","","(0.564)","","(0.652)"
"Campaign Primarily Nonviolent","-0.407","0.335","-0.355","0.542","-0.211","0.110","-0.319","-0.123"
"","(0.329)","(0.816)","(0.455)","(0.990)","(0.468)","(0.972)","(0.506)","(1.063)"
"Campaign Purpose Regime Change","-0.915*","1.194","-0.907","1.038","-0.820","0.881","-0.883","0.891"
"","(0.491)","(0.929)","(0.572)","(1.035)","(0.684)","(1.185)","(0.619)","(1.393)"
"Campaign Location V-Dem CSO Repression","-0.343***","0.468**","-0.432***","0.804***","-0.272*","0.563*","-0.367***","0.564*"
"","(0.068)","(0.197)","(0.088)","(0.259)","(0.149)","(0.321)","(0.138)","(0.321)"
"Number of Images on Campaign (ln)","0.267***","-0.056","0.187**","0.292","0.329***","0.312","0.188","0.495"
"","(0.074)","(0.240)","(0.093)","(0.256)","(0.126)","(0.371)","(0.135)","(0.371)"
"Campaign Location GDP (ln)","0.036","-0.243","-0.065","-0.129","-0.122","0.005","-0.192","-0.314"
"","(0.067)","(0.230)","(0.094)","(0.276)","(0.140)","(0.357)","(0.164)","(0.459)"
"Constant","0.905","0.749","2.262**","-2.355","1.523","-1.915","3.045*","0.344"
"","(0.793)","(2.008)","(0.976)","(2.260)","(1.380)","(2.926)","(1.729)","(3.694)"
"","","","","","","","",""
"Observations","97","97","91","91","44","44","44","44"
