"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","5.564*","-7.878","1.221","-4.863","1.597","-2.415","3.770","-12.877"
"","(3.135)","(8.627)","(3.585)","(9.252)","(4.619)","(9.727)","(4.552)","(13.011)"
"Proportion of English-Language Signs Squared","121.629","-412.867","182.470**","-82.894","230.310**","-233.056","442.658***","-678.442"
"","(82.362)","(240.700)","(88.165)","(199.618)","(115.279)","(263.547)","(139.488)","(455.286)"
"Campaign Location FDI Inflows (% of GDP)","0.026","-0.176**","","","","","",""
"","(0.032)","(0.091)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-1.021","-0.962","","","","","",""
"","(0.911)","(2.293)","","","","","",""
"Proportion English-Language Signs Squared X FDI Inflows (% of GDP)","47.927**","-13.329","","","","","",""
"","(22.974)","(66.243)","","","","","",""
"International Trade Freedom","","","0.145","-0.319","","","",""
"","","","(0.104)","(0.240)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","-7.034**","25.544***","","","",""
"","","","(3.125)","(9.442)","","","",""
"Proportion English-Language Signs Squared X International Trade Freedom","","","7.923","-346.728*","","","",""
"","","","(82.707)","(176.081)","","","",""
"Foreign Aid (ln)","","","","","-0.066","0.232","",""
"","","","","","(0.132)","(0.292)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","1.719","13.474","",""
"","","","","","(5.046)","(9.330)","",""
"Proportion English-Language Signs Squared X Foreign Aid (ln)","","","","","-91.193","-50.935","",""
"","","","","","(148.511)","(239.238)","",""
"Number of IO Donors","","","","","","","0.122**","-0.151"
"","","","","","","","(0.059)","(0.177)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","0.144","9.110**"
"","","","","","","","(1.177)","(3.817)"
"Proportion English-Language Signs Squared X Number of IO Donors","","","","","","","-151.385***","102.607"
"","","","","","","","(50.453)","(169.900)"
"Campaign Length, in Years (ln)","","-0.225","","-0.505","","-0.750","","-1.032"
"","","(0.409)","","(0.467)","","(0.575)","","(0.664)"
"Campaign Primarily Nonviolent","-0.445","0.224","-0.443","1.147","-0.252","0.113","-0.261","-0.007"
"","(0.309)","(0.830)","(0.418)","(1.110)","(0.443)","(0.946)","(0.441)","(1.078)"
"Campaign Purpose Regime Change","-0.735","1.267","-0.815","0.516","-0.681","1.097","-0.465","0.734"
"","(0.458)","(0.947)","(0.541)","(0.962)","(0.777)","(1.215)","(0.524)","(1.357)"
"Campaign Location V-Dem CSO Repression","-0.328***","0.520***","-0.434***","0.763***","-0.278*","0.549*","-0.345***","0.578*"
"","(0.065)","(0.206)","(0.083)","(0.252)","(0.149)","(0.329)","(0.122)","(0.321)"
"Number of Images on Campaign (ln)","0.255***","-0.151","0.170*","0.343","0.336**","0.236","0.157","0.312"
"","(0.074)","(0.249)","(0.088)","(0.279)","(0.135)","(0.392)","(0.134)","(0.359)"
"Campaign Location GDP (ln)","0.085","-0.301","-0.025","-0.098","-0.074","-0.129","0.033","-0.455"
"","(0.067)","(0.243)","(0.095)","(0.275)","(0.145)","(0.365)","(0.182)","(0.469)"
"Constant","0.332","2.046","1.866**","-2.771","0.758","-0.475","0.602","2.775"
"","(0.801)","(2.227)","(0.945)","(2.432)","(1.436)","(3.207)","(1.693)","(4.129)"
"","","","","","","","",""
"Observations","97","97","91","91","44","44","44","44"
