"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","3.454","-1.912","1.442","-3.877","1.659","0.521","3.823","-1.207"
"","(4.612)","(2.694)","(4.934)","(3.012)","(6.129)","(3.044)","(7.254)","(2.728)"
"Campaign Location FDI Inflows (% of GDP)","0.077*","0.016","","","","","",""
"","(0.040)","(0.029)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-0.479","0.816","","","","","",""
"","(1.231)","(0.667)","","","","","",""
"International Trade Freedom","","","0.280**","-0.232*","","","",""
"","","","(0.133)","(0.128)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","-6.813*","0.226","","","",""
"","","","(3.810)","(2.159)","","","",""
"Foreign Aid (ln)","","","","","-0.064","-0.076","",""
"","","","","","(0.163)","(0.078)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","-9.129","-3.460*","",""
"","","","","","(6.243)","(2.090)","",""
"Number of IO Donors","","","","","","","-0.032","0.017"
"","","","","","","","(0.079)","(0.033)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","-7.084**","-0.041"
"","","","","","","","(3.084)","(0.886)"
"Campaign Length / Time in Campaign","0.336","0.112","0.354","0.063","0.815**","0.103","1.205**","0.085"
"","(0.245)","(0.103)","(0.265)","(0.112)","(0.401)","(0.115)","(0.501)","(0.118)"
"Campaign Primarily Nonviolent","-0.058","-0.001","-0.273","-0.169","0.067","-0.017","0.523","-0.088"
"","(0.504)","(0.258)","(0.620)","(0.307)","(0.669)","(0.264)","(0.742)","(0.266)"
"Campaign Purpose Regime Change","-0.858","-0.149","-0.753","-0.300","-0.674","-0.038","-1.276","0.057"
"","(0.665)","(0.243)","(0.718)","(0.290)","(0.879)","(0.273)","(1.129)","(0.247)"
"Campaign Location V-Dem CSO Repression","-0.250**","-0.149*","-0.445***","-0.093","-0.313","-0.245**","-0.251","-0.206**"
"","(0.117)","(0.090)","(0.150)","(0.102)","(0.209)","(0.099)","(0.215)","(0.092)"
"Number of Images on Campaign / in Campaign-Year (ln)","0.005","-0.131","-0.185","-0.181","-0.207","-0.233*","-0.204","-0.221*"
"","(0.141)","(0.108)","(0.151)","(0.114)","(0.246)","(0.134)","(0.237)","(0.121)"
"Campaign Location GDP / Campaign-Year GDP per Capita (ln)","0.163","0.005","0.136","0.153","0.075","0.090","0.100","0.155"
"","(0.136)","(0.108)","(0.161)","(0.147)","(0.232)","(0.126)","(0.304)","(0.150)"
"Constant","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Observations","97","61","91","60","44","59","44","59"
