"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","2.632","-2.777","1.267","0.675","-1.395","1.394","-1.907","-2.899"
"","(3.291)","(8.136)","(3.937)","(8.554)","(4.497)","(9.857)","(4.952)","(11.868)"
"Campaign Location FDI Inflows (% of GDP)","0.037","-0.098","","","","","",""
"","(0.034)","(0.068)","","","","","",""
"Proportion English-Language Signs X FDI Inflows (% of GDP)","-2.787**","1.412","","","","","",""
"","(1.121)","(2.005)","","","","","",""
"International Trade Freedom","","","0.191*","-0.445*","","","",""
"","","","(0.105)","(0.223)","","","",""
"Proportion English-Language Signs X International Trade Freedom","","","-5.464*","6.877","","","",""
"","","","(2.873)","(5.576)","","","",""
"Foreign Aid (ln)","","","","","-0.100","-0.010","",""
"","","","","","(0.178)","(0.275)","",""
"Proportion English-Language Signs X Foreign Aid (ln)","","","","","1.871","17.607","",""
"","","","","","(5.525)","(10.343)","",""
"Number of IO Donors","","","","","","","-0.109","0.197"
"","","","","","","","(0.068)","(0.154)"
"Proportion English-Language Signs X Number of IO Donors","","","","","","","0.129","13.188*"
"","","","","","","","(1.396)","(6.443)"
"Campaign Length, in Years (ln)","","-0.933**","","-0.979**","","-2.033***","","-2.837***"
"","","(0.467)","","(0.498)","","(0.780)","","(1.067)"
"Campaign Primarily Nonviolent","-0.237","-0.206","-0.540","0.289","0.030","-0.372","-0.323","-1.708"
"","(0.432)","(0.910)","(0.698)","(1.084)","(0.713)","(1.180)","(0.709)","(1.226)"
"Campaign Purpose Regime Change","-9.661","1.823","-10.878","1.727","-12.356","1.398","-12.384","2.878*"
"","(3328.433)","(1.384)","(3373.503)","(1.432)","(6330.861)","(1.524)","(6335.110)","(1.786)"
"Campaign Location V-Dem CSO Repression","-0.361***","0.396*","-0.476***","0.737***","-0.326","0.455","-0.339*","0.136"
"","(0.089)","(0.214)","(0.116)","(0.262)","(0.209)","(0.339)","(0.188)","(0.364)"
"Number of Images on Campaign (ln)","0.287***","0.037","0.200*","0.355","0.381**","0.407","0.268","0.187"
"","(0.093)","(0.259)","(0.119)","(0.278)","(0.174)","(0.428)","(0.177)","(0.381)"
"Campaign Location GDP (ln)","0.078","-0.322","-0.013","-0.373","-0.029","-0.263","-0.219","0.139"
"","(0.086)","(0.250)","(0.120)","(0.295)","(0.195)","(0.402)","(0.229)","(0.514)"
"Constant","9.178","0.612","12.131","-1.321","12.114","-0.438","14.566","-1.866"
"","(3328.434)","(2.252)","(3373.503)","(2.413)","(6330.861)","(3.117)","(6335.110)","(3.965)"
"","","","","","","","",""
"Observations","97","97","91","91","44","44","44","44"
