"label","col1","col2","col3","col4"
"Proportion of English-Language Signs (centered)","4.848","-10.492","4.282","-10.920"
"","(3.533)","(8.252)","(3.459)","(8.356)"
"V-Dem Political Liberty (centered)","-0.997","0.723","",""
"","(0.954)","(2.025)","",""
"V-Dem Freedom of Association thick (centered)","","","-1.255","0.078"
"","","","(0.898)","(1.852)"
"Eng x Political Liberty","-28.758*","83.809**","",""
"","(16.229)","(41.259)","",""
"Eng x Freedom of Association","","","-25.350","86.830**"
"","","","(17.118)","(43.144)"
"","","","",""
"Observations","98","98","98","98"
"EPV (* = <5)","5.0","4.5*","5.0","4.5*"
