"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs (centered)","3.203","6.319","3.953","7.252","-1.214","4.695","-0.716","-3.254"
"","(8.926)","(8.559)","(9.213)","(10.468)","(10.638)","(10.518)","(10.443)","(13.844)"
"Campaign Location V-Dem CSO Repression (centered)","0.715***","","","","0.944**","","",""
"","(0.265)","","","","(0.446)","","",""
"Campaign Location V-Dem Civil Liberties (centered)","","-5.394","","","","-5.286","",""
"","","(4.175)","","","","(4.988)","",""
"Campaign Location V-Dem Political Liberty (centered)","","","-5.474","","","","-6.334",""
"","","","(3.691)","","","","(4.930)",""
"Campaign Location Polity Score (centered)","","","","-0.151**","","","","-0.362***"
"","","","","(0.068)","","","","(0.120)"
"Eng x CSO Repression","9.968*","","","","13.932","","",""
"","(6.052)","","","","(9.947)","","",""
"Eng x Civil Liberties","","65.764","","","","65.060","",""
"","","(45.834)","","","","(69.079)","",""
"Eng x Political Liberty","","","52.135*","","","","75.454",""
"","","","(30.789)","","","","(62.454)",""
"Eng x Polity Score","","","","3.230","","","","6.468*"
"","","","","(2.019)","","","","(3.717)"
"Campaign Primarily Nonviolent","0.267","0.598","0.345","0.615","0.202","0.607","0.223","-0.043"
"","(0.844)","(0.696)","(0.681)","(0.538)","(0.913)","(0.856)","(0.840)","(1.049)"
"Campaign Purpose Regime Change","0.379","0.351","0.299","0.484","0.398","0.443","0.274","0.335"
"","(0.789)","(0.798)","(0.816)","(0.992)","(0.846)","(0.792)","(0.888)","(1.280)"
"CSO Repression (control)","","1.513**","1.657**","1.206***","","1.662*","2.026**","2.601***"
"","","(0.717)","(0.701)","(0.261)","","(0.895)","(1.020)","(0.711)"
"Time in Campaign (years)","","","","","-0.112","0.016","-0.076","-0.300"
"","","","","","(0.254)","(0.246)","(0.237)","(0.375)"
"Number of Images in Campaign-Year (ln)","0.329","0.389","0.452","0.782**","0.379","0.440","0.518","1.428***"
"","(0.300)","(0.290)","(0.350)","(0.320)","(0.399)","(0.418)","(0.487)","(0.520)"
"Campaign-Year GDP per capita (ln)","-0.030","-0.171","-0.300","0.087","0.066","-0.126","-0.285","0.627"
"","(0.384)","(0.398)","(0.432)","(0.348)","(0.440)","(0.485)","(0.593)","(0.649)"
"Constant","","","","","-4.101","-3.298","-1.744","-12.949**"
"","","","","","(3.120)","(3.320)","(3.845)","(5.686)"
"","","","","","","","",""
"Observations","64","64","64","62","64","64","64","62"
"EPV (* = <5)","2.1*","1.9*","1.9*","1.9*","1.7*","1.5*","1.5*","1.5*"
