exhibit_id,component_id,artifact_kind,reference_path,reference_sha256,output_path,validation,abs_tolerance,rel_tolerance,provenance_artifact,provenance_reference
Table_1,body,table,reference/accepted/main_tables/H1_main_table_body.csv,75283c06aab437b4dfda5aa2b2b877e5dae349c67c140052d5c00551f11d6267,output/tables/main/H1_main_table_body.csv,display_copy,0,0,,
Table_2,body,table,reference/accepted/main_tables/H21_main_table_body.csv,de9d1de08f7472aa062515a4431df766fccdad73ae016ce4532a9401c0eeb6e1,output/tables/main/H21_main_table_body.csv,display_copy,0,0,,
Table_3,body,table,reference/accepted/main_tables/H22_main_table_body.csv,99f65e8ef593c9559918bef06b8c6cf3e327185dfbb625ecd01324f0cfd4cbc9,output/tables/main/H22_main_table_body.csv,display_copy,0,0,,
Table_4,body,table,reference/accepted/main_tables/H3_main_table_body.csv,df862d8347bcf78eab8273830bde9aed940cadd635198c25dcdcae07ad6eb63f,output/tables/main/H3_main_table_body.csv,display_copy,0,0,,
Figure_7,render,figure,reference/accepted/figures/fig_marginal_h1.pdf,54ad8bd23dff9fafadd4eacba347110f1ea547f5e44e33168a5837e2a95fca85,output/figures/Figure_7.pdf,render,0,0,,
Figure_7,plot_data,figure_data,reference/accepted/figure_data/Figure_7_plot_data.csv,715f7a9139b515f29ee5378b656919c574e38d5d5cad03575247d2ffd08b1b3d,output/figures/Figure_7_plot_data.csv,numeric,0.00000001,0.00000001,code/R/31_build_main_figures.R,reference/accepted/provenance/derived_numeric_references.csv
Figure_8,render,figure,reference/accepted/figures/fig_h22_table3_cols3_4_trade_interaction.pdf,453cdaa3b3cee07904d3b2eead53b721f3fd836665362c9d05ab148b7cd63f9f,output/figures/Figure_8.pdf,render,0,0,,
Figure_8,plot_data,figure_data,reference/accepted/figure_data/Figure_8_plot_data.csv,1fae9ade8d7179baa9445c73b1b5a89e7caa6088df3c3e665ced8911213a20d1,output/figures/Figure_8_plot_data.csv,numeric,0.00000001,0.00000001,code/R/31_build_main_figures.R,reference/accepted/provenance/derived_numeric_references.csv
Figure_9,render,figure,reference/accepted/figures/fig_h3_table4_cols1_2_5_6_interactions.pdf,c2e53a97c552097936730d177ef4d999716c4e1a7b74400b3f65cf965716eab4,output/figures/Figure_9.pdf,render,0,0,,
Figure_9,plot_data,figure_data,reference/accepted/figure_data/Figure_9_plot_data.csv,edba0331d57880a997790ef9ff1a393894c2e4d895c435cf51f6a2aeab780177,output/figures/Figure_9_plot_data.csv,numeric,0.00000001,0.00000001,code/R/31_build_main_figures.R,reference/accepted/provenance/derived_numeric_references.csv
C1,body,table,reference/accepted/appendix_tables/H1_strict_success_appendix_table_body.csv,fa526214b6f3da33e713fe8795906bb1bf12ec6afcc73f433dfa021ca56f4723,output/tables/appendix/H1_strict_success_appendix_table_body.csv,display_copy,0,0,,
C2,body,table,reference/accepted/appendix_tables/H1_sensitivity_appendix_table_body.csv,30ee98a58b4db98525fc850c5eac283d7cb93b439fc0b35397facbf493bb5c52,output/tables/appendix/H1_sensitivity_appendix_table_body.csv,display_copy,0,0,,
