"label","col1","col2","col3","col4"
"Proportion of English-Language Signs Squared","163.413**","-190.226","-348.971*","-337.166"
"","(77.777)","(187.127)","(193.609)","(240.142)"
"Proportion of English-Language Signs","-33.167**","37.140","94.164**","83.286"
"","(16.530)","(42.021)","(48.018)","(54.777)"
"Campaign Primarily Nonviolent","-0.321","-0.270","-0.126","0.037"
"","(0.352)","(0.754)","(0.790)","(0.815)"
"Campaign Purpose Regime Change","-0.894*","1.261","1.151","1.288"
"","(0.535)","(0.952)","(0.795)","(0.915)"
"Campaign Location V-Dem CSO Repression","-0.371***","0.494**","1.073***","0.899***"
"","(0.083)","(0.198)","(0.360)","(0.352)"
"Campaign Length, in Years (ln)","","-0.410","",""
"","","(0.394)","",""
"Time in Campaign","","","","-0.102"
"","","","","(0.353)"
"Number of Images on Campaign (ln)","0.247***","-0.068","",""
"","(0.083)","(0.218)","",""
"Number of Images in Campaign-Year (ln)","","","-0.020","-0.038"
"","","","(0.371)","(0.367)"
"Campaign Location Population (ln)","-0.020","0.130","",""
"","(0.059)","(0.153)","",""
"Campaign-Year Population (ln)","","","0.209","0.120"
"","","","(0.251)","(0.237)"
"English Colonial Legacy","-0.051","0.708","1.950*","1.790**"
"","(0.248)","(0.590)","(1.085)","(0.832)"
"Constant","3.170**","-4.551","","-9.156*"
"","(1.354)","(3.614)","","(5.180)"
"","","","",""
"Observations","100","100","59","65"
