"model","estimator","data","response","beta_eng","p_eng","beta_eng2","p_eng2","any_eng_effect_p","curvature_lr_p","turning_point","tp_in_range","tp_se","tp_lower_delta","tp_upper_delta","tp_lower_fieller","tp_upper_fieller","tp_fieller_unbounded","tp_ci_in_support_delta","tp_ci_in_support_fieller","expected_b2_sign","concavity_consistent","N","n_events","epv","sig_05_eng2","sig_10_eng2","p_eng_holm","p_eng_bh","p_eng2_holm","p_eng2_bh","any_eng_effect_holm","any_eng_effect_bh","curvature_lr_holm","curvature_lr_bh","sig_05_eng2_holm","sig_10_eng2_holm","sig_05_eng2_bh","sig_10_eng2_bh","ph_global_p","ph_int_p","ph_focal_p","ph_flag","cox_estimand","interpretation_note"
"M1","Weibull AFT","NAVCO 1.3","Time to concession",-33.1673171227211,0.0448099424066688,163.412537985835,0.0356380900446185,0.104660304423636,0.0246230780409908,0.101483391456769,TRUE,0.00945560004571184,0.0829507559149581,0.120016026998579,0.026558787920022,0.136805938307165,FALSE,TRUE,FALSE,"+",TRUE,100,45,5,TRUE,TRUE,0.448099424066688,0.249392184616448,0.356380900446185,0.238247190098434,1,0.577512104091903,0.246230780409908,0.238626569943137,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M1s","Weibull AFT","NAVCO 1.3","Time to success (strict)",-37.8555129604155,0.0756881378253627,186.394568925721,0.0634666638799838,0.173253631227571,0.0477253139886275,0.101546716673652,TRUE,0.0108321012466352,0.080316188353356,0.122777244993949,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,33,3.66666666666667,FALSE,TRUE,0.605505102602902,0.252293792751209,0.571199974919854,0.238247190098434,1,0.577512104091903,0.429527825897647,0.238626569943137,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2","Firth PML","NAVCO 1.3","Concession (binary)",37.1395247620101,0.406901489269793,-190.225681705382,0.331737203113861,0.477866256288652,0.331737203113861,0.0976196390231136,TRUE,0.023185650939246,0.0521765982240741,0.143062679822153,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,45,4.5,FALSE,FALSE,1,0.508626861587242,1,0.414671503892326,1,0.638934944521822,1,0.473910290162659,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M2s","Firth PML","NAVCO 1.3","Success (strict, binary)",49.656879727141,0.332359279426391,-238.23895212679,0.304525112102384,0.511147955617457,0.304525112102384,0.104216542433233,TRUE,0.0173279064751585,0.0702544698144435,0.138178615052022,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,33,3.3,FALSE,FALSE,1,0.47479897060913,1,0.414671503892326,1,0.638934944521822,1,0.473910290162659,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M3","bracl","NAVCO 1.3","success3 (0/1/2) APP",-25.9330488668954,0.31367856916452,128.842582214347,0.267033317159576,0.476103948575823,0.185822328663077,0.100638501732884,TRUE,0.0187710053803309,0.0638480072338275,0.13742899623194,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,NA,NA,FALSE,FALSE,1,0.47479897060913,1,0.414671503892326,1,0.638934944521822,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M4","Cox PH","NAVCO 2.1","Hazard of first concession (CY)",94.1636023670459,0.0498784369232895,-348.970737133568,0.0714741570295301,0.135759187469459,0.189107784009908,0.134916186870713,TRUE,0.0190733372914671,0.0975331327144528,0.172299241026973,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,59,13,1.625,FALSE,TRUE,0.448905932309606,0.249392184616448,0.571793256236241,0.238247190098434,1,0.577512104091903,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,0.496012184729404,NA,0.311550759537914,"","first_concession",""
"M4s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)",78.1312562557882,0.252099604396856,-338.444651334689,0.300849783912095,0.478496161844437,0.416340950081288,0.115426933100686,TRUE,0.0249182078795428,0.0665881430974996,0.164265723103872,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,8,1,FALSE,FALSE,1,0.47479897060913,1,0.414671503892326,1,0.638934944521822,1,0.52042618760161,FALSE,FALSE,FALSE,FALSE,0.691470559525078,NA,0.629134244191892,"","strict_success",""
"M5","Firth PML","NAVCO 2.1","Concession (CY, binary)",83.2859382483252,0.134033298960183,-337.165563795714,0.171493497305938,0.280111702838507,0.171493497305938,0.123508962941998,TRUE,0.0171737690383316,0.0898489941480587,0.157168931735937,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,15,1.5,FALSE,FALSE,0.938233092721282,0.335083247400458,1,0.414671503892326,1,0.638934944521822,1,0.378215568019817,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M5s","Firth PML","NAVCO 2.1","Success (CY, strict, bin.)",38.7258361684952,0.575333602666691,-143.34498029028,0.652874614076647,0.698217229544574,0.652874614076647,0.13507914992933,TRUE,0.0609259597576087,0.0156664630808806,0.25449183677778,NA,NA,TRUE,FALSE,FALSE,"-",TRUE,65,8,0.8,FALSE,FALSE,1,0.575333602666691,1,0.652874614076647,1,0.698217229544574,1,0.652874614076647,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M6","bracl","NAVCO 2.1","progress_ord (6-level; failure separate) APP",-8.17736600769918,0.548097120233614,27.9468955287313,0.638168614169442,0.696515552769936,0.620092255464282,0.146301867398693,TRUE,0.0867605980118181,-0.0237457799816274,0.316349514779014,NA,NA,TRUE,FALSE,FALSE,"+",TRUE,65,NA,NA,FALSE,FALSE,1,0.575333602666691,1,0.652874614076647,1,0.698217229544574,1,0.652874614076647,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M1_ln","log-normal AFT","NAVCO 1.3","Time to concession (log-normal)",-23.2937628620094,0.20279893819203,123.788371408035,0.133233602582782,0.152469770875825,0.111396964859231,0.0940870398287562,TRUE,0.016048370134682,0.0626328123542113,0.125541267303301,NA,NA,TRUE,TRUE,FALSE,"+",TRUE,100,45,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"M1_cox","Cox PH","NAVCO 1.3","Hazard of concession (Cox PH, campaign-lvl)",42.6505269951419,0.179344463654826,-212.086697729624,0.149353887000264,0.32862907235667,0.116734069084881,0.100549745579787,TRUE,0.0147186319844721,0.0717017569885224,0.129397734171052,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,100,45,5.625,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536605293695384,NA,0.248752418452036,"","campaign_level_concession",""
"M4_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)",75.6468834578081,0.0657021501002544,-282.965177539009,0.109268329397256,0.133655579578501,0.257046187138047,0.133668185102705,TRUE,0.0213630428655941,0.0917973904859552,0.175538979719455,NA,NA,TRUE,TRUE,FALSE,"-",TRUE,65,15,1.875,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M5_GEE","GEE logit","NAVCO 2.1","Concession (CY, binary, source-clustered GEE)",131.507332037333,0.0382703777112076,-552.026643061488,0.0422687094178497,0.116835904341033,NA,0.11911321101098,TRUE,0.0107753717931738,0.097993870376331,0.14023255164563,0.0782162977018542,0.278084159133721,FALSE,TRUE,FALSE,"-",TRUE,65,15,1.5,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
