"model","estimator","data","response","moderator","beta_eng_lin","p_eng_lin","beta_eng_sq","p_eng_sq","beta_mod","p_mod","beta_int_lin","p_int_lin","beta_int_sq","p_int_sq","joint_wald_int_p","joint_wald_eng_p","N","n_events","epv","family","p_int_lin_bh","p_int_sq_bh","joint_wald_int_p_bh","joint_wald_eng_p_bh","epv_warning"
"M1q","Weibull AFT","NAVCO 1.3","Time to concession","domaut_c",1.94581722242877,0.560043967187927,159.007020556731,0.0474155514736099,0.00987054750011451,0.9385164806356,-5.44249723032722,0.223786291756396,29.9781727203718,0.778474081949394,0.465237705631189,0.273161390018529,101,45,4.5,"concession",0.447572583512793,0.889684665085022,0.599819569342955,0.510928255962113,TRUE
"M2q","Weibull AFT","NAVCO 1.3","Time to concession","stterr_c",1.89480642294677,0.597140536762845,138.608972202173,0.13584282169691,0.0128755688437432,0.189853146959449,-0.0816388893749011,0.793916256712549,-7.91216063364681,0.330984222841762,0.524842123175086,0.31933015997632,101,45,4.5,"concession",0.862534271625725,0.724842533132704,0.599819569342955,0.510928255962113,TRUE
"M3q","Firth PML","NAVCO 1.3","Concession (binary)","domaut_c",-3.05205628301099,0.694509233659124,-181.831322066208,0.403441203219724,-0.0779628689585882,0.818484334420525,14.4426947642421,0.148255212882678,-220.253536045571,0.362421266566352,0.34287352502419,0.443518120909704,101,45,4.09090909090909,"concession",0.395347234353808,0.724842533132704,0.599819569342955,0.557650478209459,TRUE
"M4q","Firth PML","NAVCO 1.3","Concession (binary)","stterr_c",-0.0634146246044667,0.993682440464672,-279.799900046969,0.21804395746439,-0.0267334225541138,0.347559751183895,0.728791365182183,0.311977910145563,-5.93977295340602,0.743826367025597,0.523306932880763,0.487944168433276,101,45,4.09090909090909,"concession",0.460179880909833,0.889684665085022,0.599819569342955,0.557650478209459,TRUE
"M7q","Cox PH","NAVCO 2.1","Hazard of first concession","domaut_c",16.9452924639548,0.298865873335168,-884.327603479793,0.0637036988455093,-2.28928634182245,7.33135884234501e-06,40.6705093481314,0.0172389058313834,1187.06061491575,0.00314765729827069,0.00720456357994239,0.00981260672530068,59,13,1.44444444444444,"concession",0.0689556233255335,0.0251812583861655,0.0576365086395391,0.0785008538024055,TRUE
"M8q","Cox PH","NAVCO 2.1","Hazard of first concession","stterr_c",24.8294722329315,0.115154357389679,-700.149844124423,0.0128748312606342,-0.067001810696196,0.00566988669426028,1.82888414857642,0.00709585330946679,11.2935000214171,0.575566685088124,0.0197515544842296,0.0615808921529216,59,13,1.44444444444444,"concession",0.0567668264757343,0.889684665085022,0.0790062179369183,0.246323568611686,TRUE
"M9q","Firth PML","NAVCO 2.1","Yearly concession (binary)","domaut_c",13.9714159894447,0.227684081226568,-338.928770486186,0.113276731047452,-1.73311765164209,0.00944969779625437,11.1892208121934,0.345134910682375,471.708692760275,0.174499651405858,0.279112269239043,0.260764654935411,65,15,1.36363636363636,"concession",0.460179880909833,0.697998605623431,0.599819569342955,0.510928255962113,TRUE
"M10q","Firth PML","NAVCO 2.1","Yearly concession (binary)","stterr_c",12.781860297468,0.227629874964755,-315.843685324326,0.160949647764801,-0.058807687764101,0.140624814012996,0.147406998747831,0.862534271625725,-1.44725579391337,0.926056232217079,0.979935947905505,0.60768335281915,65,15,1.36363636363636,"concession",0.862534271625725,0.926056232217079,0.979935947905505,0.60768335281915,TRUE
"M1qs","Weibull AFT","NAVCO 1.3","Time to success (strict)","domaut_c",2.09455319752448,0.630972185465655,186.271304681298,0.0789388976363946,-0.0497900296199978,0.761269851115638,-8.66227035002834,0.136179239885423,107.673247447531,0.414707936626805,0.327940765475697,0.295539738489816,101,33,3.3,"strict_success",0.641254386950276,0.829415873253611,0.874508707935193,0.90289866070984,TRUE
"M2qs","Weibull AFT","NAVCO 1.3","Time to success (strict)","stterr_c",1.79105251654014,0.690896932223113,162.340122960766,0.17432141951828,0.0064513765786571,0.613257888938234,-0.119125360519258,0.761294878168957,-4.37071207347564,0.642497812959668,0.752165853328754,0.521236172424208,101,33,3.3,"strict_success",0.986735049201345,0.92148210460402,0.992005768052776,0.90289866070984,TRUE
"M3qs","Firth PML","NAVCO 1.3","Success (strict, binary)","domaut_c",-1.97618064109538,0.821629804857944,-237.36258029571,0.329781852530838,0.0873951952949087,0.81546806196014,16.1945659951791,0.160313596737569,-356.271025147889,0.133971979097257,0.239682243819106,0.435951148586652,101,33,3,"strict_success",0.641254386950276,0.535887916389028,0.874508707935193,0.90289866070984,TRUE
"M4qs","Firth PML","NAVCO 1.3","Success (strict, binary)","stterr_c",1.38510200225154,0.87282841710235,-303.432372702404,0.205982736757155,0.00140384587030254,0.963195464243903,0.760001306242183,0.335054558249444,-19.2903360076154,0.315364636483153,0.535167166885156,0.65197432002655,101,33,3,"strict_success",0.893478821998516,0.829415873253611,0.992005768052776,0.90289866070984,TRUE
"M7qs","Cox PH","NAVCO 2.1","Hazard of success (strict)","domaut_c",17.0351232143057,0.278223106320519,-364.227110421873,0.252533328725555,-1.770748770073,0.00377166846397737,-4.26642359740731,0.631353684041259,431.824162689027,0.130022778568959,0.31711693732466,0.570086290038117,65,8,0.888888888888889,"strict_success",0.986735049201345,0.535887916389028,0.874508707935193,0.90289866070984,TRUE
"M8qs","Cox PH","NAVCO 2.1","Hazard of success (strict)","stterr_c",7.92098237235936,0.587580992952991,-360.979700348179,0.268566302520361,-0.066739139338297,0.0322104225351264,0.17843527906606,0.727493198243095,2.11080187695921,0.915775121795774,0.940881168182818,0.714872437250307,65,8,0.888888888888889,"strict_success",0.986735049201345,0.92148210460402,0.992005768052776,0.90289866070984,TRUE
"M9qs","Firth PML","NAVCO 2.1","Yearly success (strict, binary)","domaut_c",13.558720205285,0.312859761387718,-70.821971202993,0.811263855072312,-1.31604900583272,0.0884067769560368,-0.969376565308907,0.948466032421715,32.9783544933116,0.92148210460402,0.992005768052776,0.849708639115617,65,8,0.727272727272727,"strict_success",0.986735049201345,0.92148210460402,0.992005768052776,0.90289866070984,TRUE
"M10qs","Firth PML","NAVCO 2.1","Yearly success (strict, binary)","stterr_c",10.9271016701009,0.405208928276673,-102.452725676478,0.734155125389315,-0.0747055128714453,0.111864263922185,0.0184531526862268,0.986735049201345,-2.00304826882338,0.913610220084654,0.987122497452898,0.90289866070984,65,8,0.727272727272727,"strict_success",0.986735049201345,0.92148210460402,0.992005768052776,0.90289866070984,TRUE
"M5q","bracl","NAVCO 1.3","success3 (0/1/2) ordered","domaut_c",1.58397510650381,0.730227515110852,122.422918888556,0.313108626031859,0.00110827523765515,0.995480590386597,-8.82695980652714,0.154055090832095,162.550863343451,0.192585222350502,0.321033461357677,0.462899729075132,101,NA,NA,"ordered",0.616220363328382,0.74281961114808,0.825584409002726,0.904621610350191,FALSE
"M6q","bracl","NAVCO 1.3","success3 (0/1/2) ordered","stterr_c",-0.254640584663267,0.956431244438297,169.729411456299,0.181631495401224,0.00795819942210723,0.61727774048058,-0.420293936948877,0.328021133081314,6.54530702874131,0.525298513936584,0.619188306752045,0.608473723257818,101,NA,NA,"ordered",0.626529757518832,0.74281961114808,0.825584409002726,0.904621610350191,FALSE
"M11q","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","domaut_c",-3.03198101035852,0.28954249380984,42.9765824933572,0.47803443139115,0.329925044063903,0.0769418897251781,-2.32506422249945,0.469897318139124,-45.7157188103287,0.55711470836106,0.577583494908279,0.682343336910192,65,NA,NA,"ordered",0.626529757518832,0.74281961114808,0.825584409002726,0.904621610350191,FALSE
"M12q","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","stterr_c",-2.33281538462565,0.389403513990425,39.8055223464039,0.495051411354726,0.0137057871988826,0.231452571727141,-0.0403895084781361,0.839085892364437,-0.486171376844093,0.901825061480596,0.945126450184293,0.904621610350191,65,NA,NA,"ordered",0.839085892364437,0.901825061480596,0.945126450184293,0.904621610350191,FALSE
