"model","estimator","data","response","moderator","mod_direction","beta_eng_c","p_eng_c","beta_mod_c","p_mod_c","beta_int","p_int","joint_wald_p","expected_int_sign","sign_consistent","N","n_events","epv","sig_05_int","sig_10_int","epv_warning","main_panel","p_int_holm","p_int_bh","sig_05_int_holm","sig_10_int_holm","sig_05_int_bh","sig_10_int_bh","robustness_row","ph_global_p","ph_int_p","ph_focal_p","ph_flag","source_outcome","cox_estimand","interpretation_note"
"M1","Weibull AFT","NAVCO 1.3","Time to success","fdiin_c","pos",3.4700693003751,0.18003630674372,0.0623414656113671,0.0431898907946628,-1.67706539494655,0.0629829669313773,0.0506484496629278,"-",TRUE,97,45,5,FALSE,TRUE,FALSE,TRUE,0.314914834656886,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_concession_broad_navco13_success_or_limited","",""
"M1s","Weibull AFT","NAVCO 1.3","Time to success (strict)","fdiin_c","pos",2.63199336345676,0.423801895324531,0.0366138140078365,0.285922917390275,-2.78664668992676,0.0129420709038676,0.0305736659588183,"-",TRUE,97,33,3.66666666666667,TRUE,TRUE,TRUE,FALSE,NA,0.230337394442526,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_success_strict_navco13_success","",""
"M2","Weibull AFT","NAVCO 1.3","Time to success","trade_c","pos",2.15370866789113,0.48534142398994,0.155877780642907,0.0627874286333,-5.7936391883341,0.0117367574359995,0.0342186178769616,"-",TRUE,91,40,4.44444444444444,TRUE,TRUE,TRUE,TRUE,0.0721265914173255,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_concession_broad_navco13_success_or_limited","",""
"M2s","Weibull AFT","NAVCO 1.3","Time to success (strict)","trade_c","pos",1.26708743658959,0.747570303938174,0.191056025998491,0.0680508902188053,-5.46438000457234,0.0571872358704277,0.1539026645123,"-",TRUE,91,30,3.33333333333333,FALSE,TRUE,TRUE,FALSE,NA,0.365998309570737,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_success_strict_navco13_success","",""
"M3","Weibull AFT","NAVCO 1.3","Time to success","lnaid_c","pos",1.16153561058959,0.747303089196725,-0.160140811076856,0.179004656950523,0.687251652121105,0.863110129282788,0.939328242347981,"-",FALSE,44,25,2.77777777777778,FALSE,FALSE,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_concession_broad_navco13_success_or_limited","",""
"M3s","Weibull AFT","NAVCO 1.3","Time to success (strict)","lnaid_c","pos",-1.39540095701047,0.756340128128352,-0.100056109122346,0.574733539336312,1.8714097062394,0.73482487544454,0.895541247427333,"-",FALSE,44,17,1.88888888888889,FALSE,FALSE,TRUE,FALSE,NA,0.904399846700973,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_success_strict_navco13_success","",""
"M4","Weibull AFT","NAVCO 1.3","Time to success","iodonor_c","pos",0.870492892292216,0.817215010770019,-0.0636067411821963,0.183884449087371,-0.778795545638797,0.396779210973459,0.691200379795767,"-",TRUE,44,25,2.77777777777778,FALSE,FALSE,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_concession_broad_navco13_success_or_limited","",""
"M4s","Weibull AFT","NAVCO 1.3","Time to success (strict)","iodonor_c","pos",-1.90663214653941,0.700220078843813,-0.109241975429555,0.109813020733067,0.128694311935228,0.926534662181419,0.92822979361571,"-",FALSE,44,17,1.88888888888889,FALSE,FALSE,TRUE,FALSE,NA,0.960399920896641,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","event_success_strict_navco13_success","",""
"M5","Firth PML","NAVCO 1.3","Success (binary)","fdiin_c","pos",-8.5812408801167,0.290624261235104,-0.166582315596713,0.0125961960747459,0.201141059739007,0.929885575741787,0.552706744785799,"+",TRUE,97,45,4.5,FALSE,FALSE,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco13_success_or_limited","",""
"M5s","Firth PML","NAVCO 1.3","Success (strict, binary)","fdiin_c","pos",-2.77666042583059,0.741357898248516,-0.0980991393279514,0.141694964559836,1.41170456142305,0.492098258651084,0.724605193882097,"+",TRUE,97,33,3.3,FALSE,FALSE,TRUE,FALSE,NA,0.749864013182604,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_strict_navco13_success","",""
"M6","Firth PML","NAVCO 1.3","Success (binary)","trade_c","pos",-4.52826231436414,0.618019055814072,-0.521615057333119,0.0386892694413076,15.0501074941505,0.0103037987739036,0.0800449230942106,"+",TRUE,91,40,4,TRUE,TRUE,TRUE,TRUE,0.0721265914173255,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco13_success_or_limited","",""
"M6s","Firth PML","NAVCO 1.3","Success (strict, binary)","trade_c","pos",0.675382766189952,0.940177338558138,-0.444773625359066,0.051760541928793,6.876678202856,0.218627372201776,0.462153708457672,"+",TRUE,91,30,3,FALSE,FALSE,TRUE,FALSE,NA,0.392971452233333,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_strict_navco13_success","",""
"M7","Firth PML","NAVCO 1.3","Success (binary)","lnaid_c","pos",-6.73562055797461,0.50118741431904,0.191554343496529,0.448764375263509,12.8750013411108,0.170629396170213,0.273178107019369,"+",TRUE,44,25,2.5,FALSE,FALSE,TRUE,TRUE,0.68251758468085,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco13_success_or_limited","",""
"M7s","Firth PML","NAVCO 1.3","Success (strict, binary)","lnaid_c","pos",1.39411730876401,0.892096381482847,-0.00972711649489743,0.973516930606287,17.6067913028485,0.108062630562638,0.234663052887486,"+",TRUE,44,17,1.7,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_strict_navco13_success","",""
"M8","Firth PML","NAVCO 1.3","Success (binary)","iodonor_c","pos",-7.92115212845825,0.503557714137133,-0.0342090062986016,0.772641008495539,10.3461361613876,0.00605150061678883,0.0314968560889436,"+",TRUE,44,25,2.5,TRUE,TRUE,TRUE,TRUE,0.0484120049343106,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco13_success_or_limited","",""
"M8s","Firth PML","NAVCO 1.3","Success (strict, binary)","iodonor_c","pos",-2.89877077998428,0.825398078416933,0.197204024641759,0.248848774278271,13.1880411618459,0.0530670979787685,0.123005299295732,"+",TRUE,44,17,1.7,FALSE,TRUE,TRUE,FALSE,NA,0.365998309570737,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_strict_navco13_success","",""
"M9","bracl","NAVCO 1.3","success3 (0/1/2) ordered","fdiin_c","pos",3.45429097497623,0.453890897852331,0.0768547552373224,0.0566828831308063,-0.479175256698745,0.697164215774403,0.689182492619002,"-",TRUE,97,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.904399846700973,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success3_ordered_navco13","",""
"M10","bracl","NAVCO 1.3","success3 (0/1/2) ordered","trade_c","pos",1.44241007653936,0.770039602815044,0.279711574187722,0.0360495767977567,-6.81286258097887,0.0737358366329405,0.202114531771608,"-",TRUE,91,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success3_ordered_navco13","",""
"M11","bracl","NAVCO 1.3","success3 (0/1/2) ordered","lnaid_c","pos",1.6588054238876,0.78666560218332,-0.0644129096382082,0.692060567560779,-9.12917459021665,0.14363569393373,0.325087339799198,"-",TRUE,44,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success3_ordered_navco13","",""
"M12","bracl","NAVCO 1.3","success3 (0/1/2) ordered","iodonor_c","pos",3.82310512038027,0.598150604605912,-0.0315585090974634,0.691223310017193,-7.0843600831301,0.0215941307289868,0.0660536842678112,"-",TRUE,44,NA,NA,TRUE,TRUE,FALSE,FALSE,NA,0.230337394442526,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success3_ordered_navco13","",""
"M13","Cox PH","NAVCO 2.1","Hazard of first success (CY)","fdiin_c","pos",15.3834650703467,0.0294565109389115,0.0283802138215261,0.770087352235305,-0.569163336833968,0.710641118933561,0.0928283581860787,"+",FALSE,55,13,1.625,FALSE,FALSE,TRUE,FALSE,NA,0.904399846700973,FALSE,FALSE,FALSE,FALSE,FALSE,0.622663181933091,0.314530481648888,0.314530481648888,"","event_concession_broad_navco21_progress_2_4","first_success_broad",""
"M13s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","fdiin_c","pos",14.0356319964074,0.483614896836772,-0.183285916882192,0.549420677786509,-10.46428729195,0.178623203974914,0.121791347240063,"+",FALSE,61,8,1,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,0.79773900256749,0.191708004146324,0.191708004146324,"","event_success_yr_strict_navco21_progress_4","strict_success",""
"M14","Cox PH","NAVCO 2.1","Hazard of first success (CY)","trade_c","pos",19.3225579680976,0.0936581401921531,1.41493759060648,3.5234532369452e-05,6.9435188955292,0.38943978185181,0.0331366680640271,"+",TRUE,54,12,1.5,FALSE,FALSE,TRUE,FALSE,NA,0.655898579960943,FALSE,FALSE,FALSE,FALSE,FALSE,0.166166328040503,0.252437634017121,0.252437634017121,"","event_concession_broad_navco21_progress_2_4","first_success_broad",""
"M14s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","trade_c","pos",54.4176146890806,0.213759194882246,1.6838651501233,0.0445687370513452,18.7622942534535,0.186399152912008,0.0855404524318828,"+",TRUE,60,7,0.875,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,0.795508799554906,0.708569859682382,0.708569859682382,"","event_success_yr_strict_navco21_progress_4","strict_success",""
"M15","Cox PH","NAVCO 2.1","Hazard of first success (CY)","lnaid_c","pos",7.05710530174252,0.37747465468885,0.107617105044177,0.65796735491293,5.9894514252403,0.470918931858071,0.359253275480896,"+",TRUE,53,11,1.375,FALSE,FALSE,TRUE,FALSE,NA,0.749864013182604,FALSE,FALSE,FALSE,FALSE,FALSE,0.877164362740903,0.390791677685277,0.390791677685277,"","event_concession_broad_navco21_progress_2_4","first_success_broad",""
"M15s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","lnaid_c","pos",11.3490383888336,0.290957916995485,0.37059058266421,0.298936739560982,19.6141741981175,0.159370814081883,0.114970781879544,"+",TRUE,59,8,1,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,0.852293854897297,0.724001078423374,0.724001078423374,"","event_success_yr_strict_navco21_progress_4","strict_success",""
"M16","Cox PH","NAVCO 2.1","Hazard of first success (CY)","iodonor_c","pos",20.0641792982087,0.0858188250454319,0.109368779409538,0.560843369207874,-7.04476106303275,0.1083532030918,0.145306016735609,"+",FALSE,53,11,1.375,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,0.793874092845067,0.779293007046936,0.779293007046936,"","event_concession_broad_navco21_progress_2_4","first_success_broad",""
"M16s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","iodonor_c","pos",39.1966743471888,0.0289303532443701,0.12947880307536,0.46339637497884,-12.0388402412926,0.018993615520957,0.0168188840552983,"+",FALSE,59,8,1,TRUE,TRUE,TRUE,FALSE,NA,0.230337394442526,FALSE,FALSE,FALSE,FALSE,FALSE,0.955767762969181,0.524309039400367,0.524309039400367,"","event_success_yr_strict_navco21_progress_4","strict_success",""
"M17","Firth PML","NAVCO 2.1","Yearly success (CY, binary)","fdiin_c","pos",6.71559370355856,0.462443761431485,0.0071681984515636,0.931583943758993,-0.905267065335737,0.653536619630554,0.711498289027972,"+",FALSE,61,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,0.904399846700973,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M17s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","fdiin_c","pos",18.1932834452805,0.233443926908733,-0.0884878609221746,0.585318772808479,-5.20280827630657,0.135320523111964,0.126464823825264,"+",FALSE,61,8,0.8,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_yr_strict_navco21_progress_4","",""
"M18","Firth PML","NAVCO 2.1","Yearly success (CY, binary)","trade_c","pos",14.6452639133795,0.292931871785137,0.98955036815009,0.0318576775522607,-1.19259795709368,0.908241955109486,0.352303877073558,"+",FALSE,60,14,1.4,FALSE,FALSE,TRUE,FALSE,NA,0.960399920896641,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M18s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","trade_c","pos",32.5867119141513,0.135018277556088,0.82029459034282,0.317656390923278,-11.1352957012301,0.588057830884989,0.165712727370171,"+",FALSE,60,7,0.7,FALSE,FALSE,TRUE,FALSE,NA,0.855356844923621,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_yr_strict_navco21_progress_4","",""
"M19","Firth PML","NAVCO 2.1","Yearly success (CY, binary)","lnaid_c","pos",3.29591054360581,0.779295504299425,0.159623469488528,0.562088184428453,3.52075337308142,0.93038742336862,0.783785635848191,"+",TRUE,59,13,1.3,FALSE,FALSE,TRUE,FALSE,NA,0.960399920896641,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M19s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","lnaid_c","pos",10.5571965234667,0.477944859307137,0.276782273831074,0.421500297631234,14.7416493958259,0.17164690131556,0.121648261654012,"+",TRUE,59,8,0.8,FALSE,FALSE,TRUE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","success_bin_yr_strict_navco21_progress_4","",""
"M20","Firth PML","NAVCO 2.1","Yearly success (CY, binary)","iodonor_c","pos",4.99210948846845,0.640351574985746,-0.0352081126408214,0.777779885178274,-0.460914108342736,0.913637309300257,0.87323792188784,"+",FALSE,59,13,1.3,FALSE,FALSE,TRUE,FALSE,NA,0.960399920896641,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
