"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged","Fit_Status"
"NVH1","Firth PML","concession (nonviolent)","English share squared","(Intercept)",-5.89700959661472,3.25939932487277,0.0660206995440703,-13.0681397558265,0.380904937187959,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","eng_c",-2.10543889142367,8.0233364972375,0.795691634812651,-18.4222885889451,13.8805784360812,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","I(eng_c^2)",-173.978852683442,218.751897301939,0.429074950524486,-628.889053969728,257.305528566775,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","REGCHANGE",2.37223027757096,1.46899872162812,0.0541298419414883,-0.036752725789362,7.28503968429615,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","v2csreprss",0.575703214677269,0.220868125783637,0.00643565860749229,0.155461300517051,1.05399153641268,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnlengthofcam",-0.14251649812795,0.420597866951541,0.739169580115625,-1.00656179385255,0.696326702982044,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnnum_image_sum",-0.122050695556562,0.228990560956704,0.601771060307053,-0.58819204171048,0.340067753973149,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","lnpop",0.242162282876014,0.162245304021004,0.13915781344155,-0.0785369381655469,0.579108711564291,87,NA,NA
"NVH1","Firth PML","concession (nonviolent)","English share squared","colonized_english1",1.03954990390215,0.654981720224179,0.106556028469259,-0.218633355625383,2.42101259535931,87,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","(Intercept)",-1.94394872208817,1.86775319885196,0.274938200311492,-7.3145391091407,1.36806617138192,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","eng_c",-2.937983467124,8.23036266213047,0.724371909076836,-19.7770235139728,13.5169203774853,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","domaut_c",-0.222538243503706,0.302836651819566,0.470664467375891,-0.847072793042335,0.383967244903187,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","REGCHANGE",1.80943837905724,1.42842654324047,0.140133474398478,-0.49487046435722,6.71322072396749,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","v2csreprss",0.404108046016166,0.19758948366378,0.0389528350772905,0.0201219471869905,0.824708888430749,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","lnlengthofcam",-0.281173351021128,0.411831076882189,0.501363054368881,-1.12494576456966,0.540459258621307,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","lnnum_image_sum",0.0116872950992288,0.216388272324052,0.957680959957297,-0.42172170798352,0.450958939374774,88,NA,NA
"NV1","Firth PML","concession (nonviolent)","domaut","eng_c:domaut_c",6.44406123299882,11.7503385882118,0.592916075147757,-17.4019033895149,30.7131916587168,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","(Intercept)",-2.24515595338249,1.89204461004589,0.213027924156408,-7.61055406411623,1.14992927987972,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","eng_c",-1.08409069580777,8.54873857862295,0.900712612658479,-18.4231277943716,16.1695406548963,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","stterr_c",-0.0339461720590312,0.026728383636797,0.207246037948314,-0.0908883357964172,0.01867088327062,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","REGCHANGE",2.03071795737898,1.46648459138518,0.10652581559372,-0.362581824710411,6.97077032229289,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","v2csreprss",0.427236104206227,0.202301363561569,0.0324448220372486,0.0349080874060345,0.858657199006064,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","lnlengthofcam",-0.247156625699242,0.425111113959732,0.567025489714399,-1.12036699409032,0.597932547337688,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","lnnum_image_sum",0.0370842559725494,0.216190915944807,0.866037659446787,-0.39440467566458,0.476939168773199,88,NA,NA
"NV2","Firth PML","concession (nonviolent)","stterr","eng_c:stterr_c",-0.165164839480872,1.02568023979322,0.875776815384103,-2.28131356828198,1.93714720216419,88,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","(Intercept)",-2.98420737696867,2.29264171587832,0.196173911722117,-8.38052120588599,1.44818634494608,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","eng_c",10.348234159999,9.93857616376254,0.314158244201353,-9.78744342429794,33.1479753950161,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","domaut_c",-1.08936271438417,0.553484108102559,0.0471749288728649,-2.3784161634531,-0.0132162658990584,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","REGCHANGE",0.835406487997813,0.995036552913379,0.402076489404019,-1.03971449231806,3.28992562480602,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","v2csreprss",0.80526659879177,0.390064392019732,0.0306218426967888,0.0688679655010832,1.73203906763638,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","time_in_campaign",0.017966335844227,0.416142599308681,0.968107323668012,-0.960151200328482,0.887719288069111,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","lnnum_image_sum",0.27260618809432,0.38541949377427,0.498055760686929,-0.513664957173646,1.13430055105646,50,NA,NA
"NV3","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","domaut","eng_c:domaut_c",7.10700426082982,12.5917539222158,0.586947810305117,-20.1506071858203,33.148570252626,50,NA,NA
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","(Intercept)",-4.28586539841926,2.72411051900527,0.115647473143737,-9.62512201566959,1.05339121883108,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","eng_c",16.7237265477941,13.4706475182813,0.214423355019195,-9.67874258803721,43.1261956836254,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","domaut_c",-1.37693105186817,0.600273974547675,0.0217998250718785,-2.55346804198161,-0.200394061754726,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","REGCHANGE",1.45313954869516,1.18809017104738,0.221296232416619,-0.875517186557699,3.78179628394802,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","v2csreprss",1.00715506675371,0.436262309283669,0.0209658007426277,0.152080940557722,1.8622291929497,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","time_in_campaign",0.0450516026076477,0.44319868513604,0.91903367352565,-0.823617820258991,0.913721025474287,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","lnnum_image_sum",0.384558016921981,0.401271211943783,0.337886611782243,-0.401933558487833,1.17104959233179,50,TRUE,"reported"
"NV3_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","domaut","eng_c:domaut_c",6.11636160279708,18.5808308914852,0.742022743035558,-30.302066944514,42.5347901501082,50,TRUE,"reported"
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","(Intercept)",-1.57764123982303,2.04724157963934,0.455165013952165,-6.04254523966909,2.54221435940804,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","eng_c",11.219224785832,10.8373337884576,0.305335776839821,-10.3687301470656,34.5340361094725,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","stterr_c",-0.0541367246865691,0.0417397991881722,0.192012325194193,-0.144747362878711,0.0269982629623508,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","REGCHANGE",0.699254337413557,0.987351810749768,0.479646362886036,-1.16353759573648,3.11939159099188,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","v2csreprss",0.410197179173398,0.324966731516594,0.204873173486792,-0.216148876939714,1.14016204247044,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","time_in_campaign",-0.0840643268071321,0.381216939049217,0.834446662187285,-0.996629638399144,0.670107155977495,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","lnnum_image_sum",0.0836025537425622,0.343557685854005,0.814215031196821,-0.629416898210175,0.801582597342117,50,NA,NA
"NV4","Firth PML","concession (nonviolent, 2.1 pooled-year Firth diagnostic)","stterr","eng_c:stterr_c",-0.342165151782994,1.11157309067948,0.761082296638599,-2.78495111470437,1.82554513131029,50,NA,NA
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","(Intercept)",-2.37077557113678,2.1686723853056,0.274309454362206,-6.62137344633576,1.8798223040622,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","eng_c",15.9163245317305,12.6705719657991,0.209056282314964,-8.91799652123561,40.7506455846967,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","stterr_c",-0.0671266895805737,0.0507599730630729,0.186023834874503,-0.166616236784197,0.0323628576230493,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","REGCHANGE",1.12575190101515,0.98031877252625,0.250822910952463,-0.795672893136302,3.0471766951666,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","v2csreprss",0.550278732148826,0.4021309799526,0.171184804398815,-0.237897988558269,1.33845545285592,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","time_in_campaign",-0.0193699419009023,0.332450410331374,0.953538219961677,-0.670972746150396,0.632232862348591,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","lnnum_image_sum",0.123569175087964,0.403815428479883,0.759601527228731,-0.667909064732606,0.915047414908535,50,TRUE,"reported"
"NV4_GEE","GEE logit","concession (nonviolent, 2.1 clustered GEE companion)","stterr","eng_c:stterr_c",-0.288358754497694,1.18790322445406,0.808202171213328,-2.61664907442766,2.03993156543227,50,TRUE,"reported"
"NV5","Firth PML","concession (nonviolent)","FDI inflow","(Intercept)",-0.337194589525382,3.92985699762892,0.93323298996518,-8.586359186716,7.56009651289505,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","eng_c",-4.16641687763238,8.6874989354734,0.641355272085875,-21.9930461643913,13.6836476775791,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","fdiin_c",-0.162165846960356,0.0805388631696338,0.0302138099819068,-0.393548791281814,-0.0141997209511311,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","goalsREGCHANGE",1.75002892479657,1.62829130395212,0.24159025765263,-1.0703108747372,6.79448183980336,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","goalsSECESSION",0.304306605976264,2.28617938802794,0.899010189181285,-5.37403153009219,5.93727672710118,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","v2csreprss",0.561354192804665,0.223100306156973,0.00961520040946817,0.132540687231757,1.04730468385971,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","lngdp",-0.274173780748291,0.258911997140974,0.303281102485261,-0.812371499217555,0.254962058612729,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","lnpop",0.0420588218328865,0.183219881034558,0.829591945440167,-0.380021480497641,0.412818387139921,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","colonized_english1",1.07474298230346,0.692792856941721,0.116908768099588,-0.263811333691397,2.55119940975912,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","lnlengthofcam",-0.050833548459109,0.42230245802968,0.907505353220275,-0.932680329328268,0.809168612305367,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","lnnum_image_sum",-0.0381291105840125,0.256035483068449,0.886035292586274,-0.558304567265569,0.499980170300543,85,NA,NA
"NV5","Firth PML","concession (nonviolent)","FDI inflow","eng_c:fdiin_c",-1.34997829647052,2.46356630561482,0.595505810777234,-8.6595434274748,3.23598303915161,85,NA,NA
