"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged"
"S1","Firth PML","concession_resolved","FDI","(Intercept)",-1.47223372547293,4.89852295866639,0.771588744971187,-11.9369292514855,8.49334668323167,66,NA
"S1","Firth PML","concession_resolved","FDI","eng_c",2.52147292581474,11.5472576691923,0.836709102731144,-21.611929100361,27.680823642854,66,NA
"S1","Firth PML","concession_resolved","FDI","fdiin_c",-0.273877516004757,0.105309256100143,0.00475715509394992,-0.554334665197412,-0.0741945000882603,66,NA
"S1","Firth PML","concession_resolved","FDI","nonviolent_camp1",0.948559872088066,1.28050464168491,0.486840016681184,-1.85340558489025,3.69910606243234,66,NA
"S1","Firth PML","concession_resolved","FDI","goalsREGCHANGE",1.95926485472019,1.83119621954482,0.25953035036842,-1.41638247473723,7.1482737817066,66,NA
"S1","Firth PML","concession_resolved","FDI","goalsSECESSION",1.45935525115723,2.51686297322264,0.661635235658076,-5.0596937080495,8.57829619384809,66,NA
"S1","Firth PML","concession_resolved","FDI","v2csreprss",0.519210452718546,0.270369789120949,0.0556403650311371,-0.012293647544739,1.12087818270049,66,NA
"S1","Firth PML","concession_resolved","FDI","lngdp",-0.129765492744611,0.34797877077501,0.725512923970786,-0.889021629910242,0.612057960440665,66,NA
"S1","Firth PML","concession_resolved","FDI","lnpop",-0.176196562629084,0.242338929460344,0.491707991599581,-0.705661218359674,0.327853912166235,66,NA
"S1","Firth PML","concession_resolved","FDI","colonized_english1",0.108879326806437,0.824108847969578,0.898647887933632,-1.54996477764732,1.89651993373649,66,NA
"S1","Firth PML","concession_resolved","FDI","lnlengthofcam",0.869591489157096,0.607353526375886,0.160579557392109,-0.337755643404783,2.20973765787564,66,NA
"S1","Firth PML","concession_resolved","FDI","lnnum_image_sum",0.527545169809789,0.331539873944425,0.113024966666345,-0.120652071815651,1.2750340176336,66,NA
"S1","Firth PML","concession_resolved","FDI","eng_c:fdiin_c",-3.35434165412897,3.38375911529283,0.367448696071823,-12.0618073608663,3.65350978258889,66,NA
"S2","Firth PML","concession_resolved","Trade","(Intercept)",-6.4693416734981,5.05904725085554,0.204665339171115,-17.6568997084901,3.44994732007209,60,NA
"S2","Firth PML","concession_resolved","Trade","eng_c",4.48668849226447,11.4022024693223,0.714305468225333,-19.928780328336,29.1096880028926,60,NA
"S2","Firth PML","concession_resolved","Trade","trade_c",-0.417288633217237,0.324374829713379,0.209171681929523,-1.25658955009956,0.222483498950404,60,NA
"S2","Firth PML","concession_resolved","Trade","nonviolent_camp1",1.16847196132911,1.46444215827431,0.44035466611834,-1.88643582022426,4.29860569150131,60,NA
"S2","Firth PML","concession_resolved","Trade","goalsREGCHANGE",1.08108912866209,1.90355760468032,0.564332879608591,-2.51140498512579,6.33564549343491,60,NA
"S2","Firth PML","concession_resolved","Trade","goalsSECESSION",0.616742861780574,2.31928081872674,0.802136385635976,-5.33252428819201,6.6451304164855,60,NA
"S2","Firth PML","concession_resolved","Trade","v2csreprss",0.769494666276863,0.310954899658888,0.00949838939078651,0.175240588698297,1.50381798346205,60,NA
"S2","Firth PML","concession_resolved","Trade","lngdp",-0.0110745143300777,0.354280374528882,0.976858855235006,-0.748530900686008,0.789653844821209,60,NA
"S2","Firth PML","concession_resolved","Trade","lnpop",0.0304317519592254,0.259489373182043,0.912377014654177,-0.524343504289504,0.583780439769463,60,NA
"S2","Firth PML","concession_resolved","Trade","colonized_english1",-0.28383921027498,0.998652202940682,0.794769063422501,-2.32907980878048,1.96252900720428,60,NA
"S2","Firth PML","concession_resolved","Trade","lnlengthofcam",0.740771049428289,0.649431675141577,0.272212453665319,-0.572999542518251,2.18345072399599,60,NA
"S2","Firth PML","concession_resolved","Trade","lnnum_image_sum",0.728108320704993,0.323024011500413,0.0202091041118503,0.109081616379503,1.46729953900209,60,NA
"S2","Firth PML","concession_resolved","Trade","eng_c:trade_c",4.48199943243706,11.2067374353599,0.716209699342142,-17.2428628773958,34.9761830892438,60,NA
"S3","Firth PML","concession_resolved","Aid","(Intercept)",-3.61160409763227,3.29487782591968,0.285330868865925,-10.9890477818026,2.99150806219371,37,NA
"S3","Firth PML","concession_resolved","Aid","eng_c",1.22146941740358,11.9895815729482,0.922827389107957,-24.8987935673592,26.7876836097082,37,NA
"S3","Firth PML","concession_resolved","Aid","lnaid_c",0.266588549896002,0.337246281938399,0.442156278264066,-0.41453979402438,1.03655657420233,37,NA
"S3","Firth PML","concession_resolved","Aid","nonviolent_camp1",-0.872351461740336,1.32903342089526,0.519603209105016,-4.02773582564024,1.69978613229792,37,NA
"S3","Firth PML","concession_resolved","Aid","REGCHANGE",2.11380234052585,1.58105291971734,0.190105620254207,-1.1099994299278,5.79799181857959,37,NA
"S3","Firth PML","concession_resolved","Aid","v2csreprss",0.45811191936264,0.33855210859303,0.182667461704463,-0.214850638918425,1.20027423187395,37,NA
"S3","Firth PML","concession_resolved","Aid","lngdp",0.293542655489789,0.428787168941423,0.506548553260506,-0.561955308159806,1.2568703416586,37,NA
"S3","Firth PML","concession_resolved","Aid","lnlengthofcam",0.0868880181976893,0.787258542287006,0.915388659710388,-1.51787771130241,1.8396840898569,37,NA
"S3","Firth PML","concession_resolved","Aid","lnnum_image_sum",0.120102333766704,0.423770459880423,0.783686765572075,-0.773182228031794,1.01910097173812,37,NA
"S3","Firth PML","concession_resolved","Aid","eng_c:lnaid_c",30.3247196289867,14.9437770390511,0.0341938554067908,2.15826072314887,66.1816011410479,37,NA
"S4","Firth PML","concession_resolved","IODonor","(Intercept)",0.356530272003984,3.92271896688156,0.930806811737056,-7.93700586437583,9.17009973944967,37,NA
"S4","Firth PML","concession_resolved","IODonor","eng_c",-17.5440836719481,15.2997647622123,0.261239303428782,-61.9554342871795,12.0330621672246,37,NA
"S4","Firth PML","concession_resolved","IODonor","iodonor_c",-0.130813436066698,0.150873031181373,0.422711709673791,-0.489670574401866,0.205643103841519,37,NA
"S4","Firth PML","concession_resolved","IODonor","nonviolent_camp1",-1.34989012122521,1.39456027975698,0.344370754569114,-4.95180296272997,1.37455625427492,37,NA
"S4","Firth PML","concession_resolved","IODonor","REGCHANGE",1.98467873869648,1.66572373325717,0.266751459068813,-1.80124044257184,7.4554608664143,37,NA
"S4","Firth PML","concession_resolved","IODonor","v2csreprss",0.300964643937739,0.366202643823848,0.475403647029361,-0.630631559402813,1.11624464795539,37,NA
"S4","Firth PML","concession_resolved","IODonor","lngdp",-0.00544591561240051,0.532665156767086,0.992268292876842,-1.12983707109993,1.18039529519765,37,NA
"S4","Firth PML","concession_resolved","IODonor","lnlengthofcam",-0.812704913559973,0.888900240705122,0.385586613316936,-3.00980091965411,1.0144761326985,37,NA
"S4","Firth PML","concession_resolved","IODonor","lnnum_image_sum",0.0927266054269509,0.442654916904639,0.850423488416527,-0.954615230739902,1.0623450588264,37,NA
