"spec","test","beta_eng_hat","beta_eng2_hat","magnitude","beta_eng_sim","beta_eng2_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","failure_reason"
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0,0,0,2000,1,0.05,0.0225,5e-04,0.0225,5e-04,0.0225,5e-04,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0,0,0,2000,1,0.1,0.0645,5e-04,0.0645,5e-04,0.0645,5e-04,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0,0,0,2000,1,0.05,0.026,0.001,0.026,0.001,0.026,0.001,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0,0,0,2000,1,0.1,0.077,0.0015,0.077,0.0015,0.077,0.0015,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0.25,9.28488119050253,-47.5564204263454,2000,1,0.05,0.025,0.001,0.025,0.001,0.025,0.001,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0.25,9.28488119050253,-47.5564204263454,2000,1,0.1,0.061,0.002,0.061,0.002,0.061,0.002,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0.25,9.28488119050253,-47.5564204263454,2000,1,0.05,0.0315,0,0.0315,0,0.0315,0,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0.25,9.28488119050253,-47.5564204263454,2000,1,0.1,0.0985,0.0025,0.0985,0.0025,0.0985,0.0025,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0.5,18.5697623810051,-95.1128408526908,2000,1,0.05,0.0195,5e-04,0.0195,5e-04,0.0195,5e-04,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,0.5,18.5697623810051,-95.1128408526908,2000,1,0.1,0.065,0.001,0.065,0.001,0.065,0.001,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0.5,18.5697623810051,-95.1128408526908,2000,1,0.05,0.0385,0,0.0385,0,0.0385,0,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,0.5,18.5697623810051,-95.1128408526908,2000,1,0.1,0.1085,0.001,0.1085,0.001,0.1085,0.001,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,1,37.1395247620101,-190.225681705382,2000,1,0.05,0.063,0.001,0.063,0.001,0.063,0.001,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,1,37.1395247620101,-190.225681705382,2000,1,0.1,0.1925,0.0055,0.1925,0.0055,0.1925,0.0055,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,1,37.1395247620101,-190.225681705382,2000,1,0.05,0.119,0,0.119,0,0.119,0,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,1,37.1395247620101,-190.225681705382,2000,1,0.1,0.203,0.001,0.203,0.001,0.203,0.001,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,2,74.2790495240202,-380.451363410763,2000,1,0.05,0.343,0.025,0.343,0.025,0.343,0.025,NA
"M2","any_eng_effect_eng_eng2",37.1395247620101,-190.225681705382,2,74.2790495240202,-380.451363410763,2000,1,0.1,0.58,0.0565,0.58,0.0565,0.58,0.0565,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,2,74.2790495240202,-380.451363410763,2000,1,0.05,0.3395,0.0025,0.3395,0.0025,0.3395,0.0025,NA
"M2","p_eng2_single_coef",37.1395247620101,-190.225681705382,2,74.2790495240202,-380.451363410763,2000,1,0.1,0.5125,0.012,0.5125,0.012,0.5125,0.012,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,0,0,0,2000,0.331,0.05,0.0415,0.028,0.125377643504532,0.0845921450151057,0.0415,0.028,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,0,0,0,2000,0.331,0.1,0.0525,0.0295,0.158610271903323,0.0891238670694864,0.0525,0.0295,NA
